About|oor
Accept|aanvaar
Accounts software can often be quite complex, and so you'll probably want to refer to the official documentation (https://akaunting.com/docs) for details.|Rekeninge sagteware kan dikwels baie ingewikkeld wees, en jy sal waarskynlik wil verwys na die amptelike dokumentasie (https://akaunting.com/docs) vir besonderhede.
Add|Voeg
New Member|Voeg 'n nuwe gebruiker by
Add custom emoji|Voeg pasgemaakte emoji by
Add mp3 or ogg files to a USB drive|Voeg mp3 of ogg lêers by 'n USB-stasie
Add the following to your Emacs configuration file:|Voeg die volgende by jou Emacs-konfigurasielêer:
Add the Syncthing IDs for your other systems and devices here|Voeg die Syncthing IDs vir jou ander stelsels en toestelle hier
Add your dat links below|Voeg jou data skakels hieronder by
Add your RSS feeds here. Each line should be [title],[feed URL]|Voeg jou RSS feeds hier by. Elke reël moet [titel], [feed URL]
Adding music|Musiek byvoeg
Afrikaans|Afrikaans
Akaunting|Akaunting
Albanian|albanian
Allow new registrations|Laat nuwe registrasies toe
An upgrade is scheduled|'N Opgradering is geskeduleer
App is being removed|Die program word verwyder
App is scheduled to be installed|Program is geskeduleer om geïnstalleer te word
Apps|programme
Arabic|Arabies
Backup|Ondersteuning
Backup / Restore|Rugsteun / herstel
Backup drive space used|Rugsteun dryfruimte gebruik
Backup has failed|Rugsteun het misluk
Backup in progress|Rugsteun aan die gang
Backup is complete|Rugsteun is voltooi
Backup of keys failed|Rugsteun van sleutels misluk
Backup of keys is complete|Rugsteun van sleutels is voltooi
Backup your keys now?|Rugsteun nou jou sleutels?
Basque|Baskies
Beginning app install|Begin app installeer
Beginning removal of app|Begin die verwydering van die program
Belarusian|Wit
Bosnian|Bosniese
Bulgarian|Bulgaars
Cancel|kanselleer
Catalan|Katalaans
Chat system|Kletsstelsel
Chinese (Simplified)|Sjinees (vereenvoudig)
Chinese (Traditional)|Sjinees (tradisioneel)
Choose the language that you wish to translate from the list.|Kies die taal wat u uit die lys wil vertaal.
Choose your language|Kies jou taal
Classic chat system|Klassieke kletsstelsel
Click close and then connect.|Klik naby en maak dan aan.
Click on "add new" to add a new server and enter the domain name or onion address for the LibreServer, your username (which can be anything) and the VoIP server password which is the same as the password you set up the box with. Accept the self-signed SSL certificate if you don't have a Let's Encrypt certificate set up for your default domain. You are now ready to chat.|Kliek op 'Voeg nuwe' by om 'n nuwe bediener by te voeg en voer die domeinnaam of ui-adres in vir die LibreServer, jou gebruikersnaam (wat enigiets kan wees) en die VoIP-bediener wagwoord wat dieselfde is as die wagwoord waarmee jy die boks opgestel het. Aanvaar die self-ondertekende SSL-sertifikaat as u nie 'n Let's Encrypt-sertifikaat het wat vir u verstek domein ingestel is nie. Jy is nou gereed om te klets.
Click on the lock icon at the bottom of the screen and enter the password. It should then appear unlocked. If you don't unlock then any edits you make won't be saved.|Klik op die sluitikoon onderaan die skerm en voer die wagwoord in. Dit moet dan oopgesluit word. As u nie ontsluit nie, sal enige veranderinge wat u maak nie gestoor word nie.
Collaborative document editor|Samewerkende dokumentredakteur
Confirm backup password|Bevestig rugsteunwagwoord
Continue|Aanhou
Copy and paste the translations file and select 'update'.|Kopieer en plak die vertalingslêer en kies 'update'.
Copy and paste the translations file into your favorite editor.|Kopieer en plak die vertalingslêer in jou gunsteling-redakteur.
Copy and paste this into an email or other messaging app and send it to the LibreServer project.|Kopieer en plak dit in 'n e-pos of ander boodskapprogram en stuur dit na die LibreServer-projek.
CPU temperature|CPU temperatuur
CPU usage|CPU gebruik
Croatian|Kroaties
Czech|Tsjeggiese
Danish|Deense
DAT Server|DAT Server
Databaseless blogging|Databaseless blogging
Databaseless wiki|Databaseless wiki
diagnostics|diagnose
diagnostics log|diagnostiese logboek
Different versions of the same page on different servers are represented by boxes at the bottom right of the screen. You can double click on them to see the different versions, and use the flag icon to fork if you prefer that version|Verskillende weergawes van dieselfde bladsy op verskillende bedieners word voorgestel deur bokse onder in die regterkant van die skerm. Jy kan dubbelkliek op hulle om die verskillende weergawes te sien en gebruik die vlagpictogram om vurk te maak as jy die weergawe verkies
Disk I/O Speed|Skyf I / O Spoed
Disk space used|Skyfspasie gebruik
DNS setup|DNS-opstelling
Domain/User Blocking|Domein / gebruiker blokkeer
Domain:|Domein:
Domain|Domein
Dutch|Nederlands
Dynamic DNS|Dinamiese DNS
Edit your translations. The structure of this file is very simple. On the left is English text and on the right is translated text, with the vertical line character as a separator.|Wysig jou vertalings. Die struktuur van hierdie lêer is baie eenvoudig. Aan die linkerkant is Engelse teks en regs is vertaalde teks, met die vertikale lynkarakter as skeiding.
Edit, add or remove blocked domains or users. This applies to Email and XMPP addresses|Wysig, voeg of verwyder geblokkeerde domeine of gebruikers. Dit geld vir e-pos- en XMPP-
Edith enable login|Edith aktiveer inskrywing
Email system|E-pos stelsel
Email/XMPP: USEREMAIL|E-pos / XMPP: USEREMAIL
Enable access via secure shell?|Aktiveer toegang via veilige dop?
Enable Updates|Aktiveer opdaterings
English|Engels
English (US)|Engels (VSA)
Ensure that dat files are always available|Maak seker dat dat lêers altyd beskikbaar is
Ensure that tor is installed onto your local system:|Maak seker dat Tor op u plaaslike stelsel geïnstalleer is:
Enter a label (which can be any name you choose for the server), the default domain name of the LibreServer or preferably the mumble onion address, your username (which can also be anything) and the mumble password which is the same as the one you originally set up the box with. Leave the port number unchanged.|Voer 'n etiket in (wat enige naam kan wees wat u vir die bediener kies), die standaard domeinnaam van die LibreServer of verkieslik die Mumble Onion-adres, u gebruikersnaam (wat ook enigiets kan wees) en die mompel wagwoord wat dieselfde is as die een jy het die boks oorspronklik opgestel. Laat die poortnommer onveranderd.
