About|حول
Accept|قبول
Accounts software can often be quite complex, and so you'll probably want to refer to the official documentation (https://akaunting.com/docs) for details.|غالبًا ما تكون برامج الحسابات معقدة للغاية ، ولذلك قد ترغب في الرجوع إلى الوثائق الرسمية (https://akaunting.com/docs) للحصول على التفاصيل.
Add|إضافة
New Member|إضافة مستخدم جديد
Add custom emoji|إضافة رمز تعبيري مخصص
Add mp3 or ogg files to a USB drive|إضافة ملفات mp3 أو ogg إلى محرك أقراص USB
Add the following to your Emacs configuration file:|أضف ما يلي إلى ملف تكوين Emacs الخاص بك:
Add the Syncthing IDs for your other systems and devices here|أضف معرفات Syncthing للأنظمة والأجهزة الأخرى هنا
Add your dat links below|أضف روابط dat الخاصة بك أدناه
Add your RSS feeds here. Each line should be [title],[feed URL]|أضف خلاصات RSS الخاصة بك هنا. يجب أن يكون كل سطر [title] و [feed URL]
Adding music|مضيفا الموسيقى
Afrikaans|الأفريكانية
Akaunting|Akaunting
Albanian|الألبانية
Allow new registrations|السماح بالتسجيلات الجديدة
An upgrade is scheduled|يتم جدولة ترقية
App is being removed|تتم إزالة التطبيق
App is scheduled to be installed|من المقرر أن يتم تثبيت التطبيق
Apps|التطبيقات
Arabic|عربى
Backup|دعم
Backup / Restore|اسنرجاع البيانات
Backup drive space used|مساحة محرك النسخ الاحتياطي المستخدمة
Backup has failed|فشل النسخ الاحتياطي
Backup in progress|النسخ الاحتياطي قيد التقدم
Backup is complete|اكتمال النسخ الاحتياطي
Backup of keys failed|فشل النسخ الاحتياطي للمفاتيح
Backup of keys is complete|اكتمال النسخ الاحتياطي للمفاتيح
Backup your keys now?|النسخ الاحتياطي للمفاتيح الخاصة بك الآن؟
Basque|الباسكي
Beginning app install|بداية تثبيت التطبيق
Beginning removal of app|بداية إزالة التطبيق
Belarusian|البيلاروسية
Bosnian|البوسنية
Bulgarian|البلغارية
Cancel|إلغاء
Catalan|الكاتالونية
Chat system|نظام الدردشة
Chinese (Simplified)|الصينية المبسطة)
Chinese (Traditional)|تقاليد صينية)
Choose the language that you wish to translate from the list.|اختر اللغة التي تريد ترجمتها من القائمة.
Choose your language|اختر لغتك
Classic chat system|نظام الدردشة الكلاسيكي
Click close and then connect.|انقر فوق إغلاق ثم الاتصال.
Click on "add new" to add a new server and enter the domain name or onion address for the LibreServer, your username (which can be anything) and the VoIP server password which is the same as the password you set up the box with. Accept the self-signed SSL certificate if you don't have a Let's Encrypt certificate set up for your default domain. You are now ready to chat.|انقر فوق "إضافة جديدة" لإضافة خادم جديد وأدخل اسم النطاق أو عنوان البصل الخاص بـ LibreServer ، اسم المستخدم الخاص بك (والذي يمكن أن يكون أي شيء) وكلمة مرور خادم VoIP التي هي نفس كلمة المرور التي قمت بإعدادها. اقبل شهادة SSL موقعة ذاتيًا إذا لم يكن لديك شهادة "تشفير دعونا" تم إعدادها لنطاقك الافتراضي. أنت الآن جاهز للدردشة.
Click on the lock icon at the bottom of the screen and enter the password. It should then appear unlocked. If you don't unlock then any edits you make won't be saved.|انقر فوق رمز القفل في أسفل الشاشة وأدخل كلمة المرور. يجب أن تظهر بعد ذلك غير مقفلة. إذا لم تفتح ، فلن يتم حفظ أي تعديلات تجريها.
Collaborative document editor|محرر الوثيقة التعاونية
Confirm backup password|تأكيد كلمة المرور الاحتياطية
Continue|استمر
Copy and paste the translations file and select 'update'.|انسخ والصق ملف الترجمة وحدد "تحديث".
Copy and paste the translations file into your favorite editor.|انسخ ملف الترجمات والصقه في محرر المفضلات لديك.
Copy and paste this into an email or other messaging app and send it to the LibreServer project.|انسخ هذا العنصر والصقه في بريد إلكتروني أو تطبيق مراسلة آخر وأرسله إلى مشروع LibreServer.
CPU temperature|درجة حرارة وحدة المعالجة المركزية
CPU usage|استخدام المعالج
Croatian|الكرواتية
Czech|تشيكي
Danish|دانماركي
DAT Server|خادم DAT
Databaseless blogging|التدوين Databaseless
Databaseless wiki|ويكي بيانات
diagnostics|التشخيص
diagnostics log|سجل التشخيص
Different versions of the same page on different servers are represented by boxes at the bottom right of the screen. You can double click on them to see the different versions, and use the flag icon to fork if you prefer that version|يتم تمثيل إصدارات مختلفة من نفس الصفحة على خوادم مختلفة من خلال مربعات في أسفل يمين الشاشة. يمكنك النقر المزدوج عليها لمشاهدة الإصدارات المختلفة ، واستخدام رمز العلم للتفرع إذا كنت تفضل ذلك الإصدار
Disk I/O Speed|سرعة القرص I / O
Disk space used|مساحة القرص المستخدمة
DNS setup|إعداد DNS
Domain/User Blocking|المجال / حظر المستخدم
Domain:|نطاق:
Domain|نطاق
Dutch|هولندي
Dynamic DNS|نظام أسماء النطاقات الديناميكية
Edit your translations. The structure of this file is very simple. On the left is English text and on the right is translated text, with the vertical line character as a separator.|تحرير ترجماتك. هيكل هذا الملف بسيط جدا. على اليسار يوجد نص باللغة الإنجليزية ويتم ترجمة النص على اليمين ، مع حرف الخط الرأسي كفاصل.
Edit, add or remove blocked domains or users. This applies to Email and XMPP addresses|تحرير ، إضافة أو إزالة المجالات المحظورة أو المستخدمين. هذا ينطبق على عناوين البريد الإلكتروني و XMPP
Edith enable login|اديث تمكن تسجيل الدخول
Email system|نظام البريد الإلكتروني
Email/XMPP: USEREMAIL|البريد الإلكتروني / XMPP: USEREMAIL
Enable access via secure shell?|تمكين الوصول عبر قشرة آمنة؟
Enable Updates|تمكين التحديثات
English|الإنجليزية
English (US)|الإنجليزية (الولايات المتحدة)
Ensure that dat files are always available|تأكد من أن ملفات dat متوفرة دائمًا
Ensure that tor is installed onto your local system:|تأكد من تثبيت tor على النظام المحلي الخاص بك:
Enter a label (which can be any name you choose for the server), the default domain name of the LibreServer or preferably the mumble onion address, your username (which can also be anything) and the mumble password which is the same as the one you originally set up the box with. Leave the port number unchanged.|أدخل تسمية (والتي يمكن أن تكون أي اسم تختاره للخادم) ، أو اسم النطاق الافتراضي لـ LibreServer أو يفضل أن يكون عنوان البصلة الغامضة ، اسم المستخدم الخاص بك (والذي يمكن أن يكون أيضًا أي شيء) وكلمة المرور المتشابكة التي تكون هي نفسها قمت أصلا بإعداد مربع مع. اترك رقم المنفذ دون تغيير.
Enter a password which will be used to protect the backup|أدخل كلمة المرور التي سيتم استخدامها لحماية النسخة الاحتياطية
Enter first and second nicknames and check connect to this network on startup.|أدخل الألقاب الأولى والثانية وتحقق من الاتصال بهذه الشبكة عند بدء التشغيل.
Estonian|الإستونية
Everything installed will be lost|سيتم فقدان كل شيء مثبت
Extremely simple note taking|بسيطة للغاية تدوين الملاحظات
Factory reset is in progress|جارٍ إعادة ضبط المصنع
Farsi|الفارسية
Favicon|فافيكون
Federated image sharing|مشاركة الصور المتحدة
Federated microblogging|المدونات الصغيرة المتحدة
Federated social network|شبكة اجتماعية موحدة
Federated wiki|ويكي مختص
File storage and sync|تخزين الملفات والمزامنة
File synchronization|تزامن الملفات
Filipino|الفلبينية
Finnish|اللغة الفنلندية
First ensure that tor is installed. Within a terminal:|تأكد أولاً من تثبيت تور. داخل محطة:
For details see the diagnostics|للحصول على التفاصيل ، راجع التشخيص
For details see:|لمزيد من التفاصيل ، انظر:
For further information see the website at https://libreserver.org|لمزيد من المعلومات ، راجع الموقع على https://libreserver.org
For the initial login use username: admin password admin|لاستخدام اسم المستخدم في تسجيل الدخول الأولي: admin admin admin
For the Jabber ID enter the email address from your LibreServer user settings|بالنسبة لـ Jabber ID ، أدخل عنوان البريد الإلكتروني من إعدادات مستخدم LibreServer
For the password use the password which you initially wrote down or stored during the setup of the LibreServer system|بالنسبة لكلمة المرور ، استخدم كلمة المرور التي قمت بتدوينها أو تخزينها في البداية أثناء إعداد نظام LibreServer
Forward port 80 and 443 from your internet router|قم بإعادة توجيه المنفذ 80 و 443 من جهاز توجيه الإنترنت الخاص بك
Forward the following ports from your internet router:|إعادة توجيه المنافذ التالية من موجه الإنترنت الخاص بك:
Forward the port 64738 from your internet router|قم بإعادة توجيه المنفذ 64738 من موجه الإنترنت الخاص بك
Forward the port 6697 from your internet router|إعادة توجيه المنفذ 6697 من جهاز توجيه الإنترنت الخاص بك
Forward the port 8448 from your internet router|إعادة توجيه المنفذ 8448 من جهاز توجيه الإنترنت الخاص بك
FreeDNS code:|كود FreeDNS:
LibreServer started in 2013. It was initially based on the Beaglebone Black hardware and inspired by the FreedomBox idea of an inexpensive and simple to manage internet server for the home.|بدأت LibreServer في عام 2013. كانت مبنية في البداية على أجهزة Beaglebone Black ومستوحاة من فكرة FreedomBox لخادم إنترنت رخيص الثمن وبسيط لإدارة المنزل.
French|الفرنسية
French (Canada)|الفرنسية (كندا)
From the initial screen select 'settings' then 'language'.|من الشاشة الأولية ، اختر "إعدادات" ثم "لغة".
