About|Quant a
Accept|Accepta
Accounts software can often be quite complex, and so you'll probably want to refer to the official documentation (https://akaunting.com/docs) for details.|El programari de comptes sovint pot ser bastant complex, de manera que probablement voldreu referir-vos a la documentació oficial (https://akaunting.com/docs) per obtenir-ne més detalls.
Add|Afegeix
New Member|Afegeix un usuari nou
Add custom emoji|Afegeix emoji personalitzat
Add mp3 or ogg files to a USB drive|Afegiu fitxers mp3 o ogg a una unitat USB
Add the following to your Emacs configuration file:|Afegiu el següent al vostre fitxer de configuració d'Emacs:
Add the Syncthing IDs for your other systems and devices here|Afegiu aquí els identificadors de sincronització dels vostres altres sistemes i dispositius
Add your dat links below|Afegiu els vostres enllaços a continuació
Add your RSS feeds here. Each line should be [title],[feed URL]|Afegiu aquí els vostres feeds RSS. Cada línia ha de ser [títol], [URL del feed]
Adding music|S'està afegint música
Afrikaans|Afrikaans
Akaunting|Acaunting
Albanian|Albanès
Allow new registrations|Permet nous registres
An upgrade is scheduled|S'ha programat una actualització
App is being removed|S'ha eliminat l'aplicació
App is scheduled to be installed|S'ha instal·lat l'aplicació per instal·lar-se
Apps|Aplicacions
Arabic|Àrab
Backup|Còpia de seguretat
Backup / Restore|Restaurar còpia de seguretat
Backup drive space used|Espai de la unitat de còpia de seguretat utilitzat
Backup has failed|La còpia de seguretat ha fallat
Backup in progress|Còpia de seguretat en curs
Backup is complete|La còpia de seguretat s'ha completat
Backup of keys failed|No s'ha pogut fer una còpia de seguretat de les claus
Backup of keys is complete|S'ha completat la còpia de seguretat de les claus
Backup your keys now?|Còpia de seguretat de les vostres claus ara?
Basque|Basc
Beginning app install|Inici de la instal·lació d'aplicacions
Beginning removal of app|Comença l'eliminació de l'aplicació
Belarusian|Bielorús
Bosnian|Bosnià
Bulgarian|Búlgar
Cancel|Cancel · lar
Catalan|Català
Chat system|Sistema de xat
Chinese (Simplified)|Xinès (simplificat)
Chinese (Traditional)|Xinès (tradicional)
Choose the language that you wish to translate from the list.|Trieu l'idioma que voleu traduir de la llista.
Choose your language|Tria el teu idioma
Classic chat system|Sistema de xat clàssic
Click close and then connect.|Feu clic a tancar i, a continuació, connecteu.
Click on "add new" to add a new server and enter the domain name or onion address for the LibreServer, your username (which can be anything) and the VoIP server password which is the same as the password you set up the box with. Accept the self-signed SSL certificate if you don't have a Let's Encrypt certificate set up for your default domain. You are now ready to chat.|Feu clic a "Afegeix nou" per afegir un nou servidor i introduïu el nom del domini o l'adreça de ceba de LibreServer, el vostre nom d'usuari (que pot ser qualsevol cosa) i la contrasenya del servidor VoIP que és el mateix que la contrasenya que heu configurat amb el quadre. Accepteu el certificat SSL autofirmat si no teniu un certificat de xifrat de Let's configurat per al vostre domini predeterminat. Ja esteu a punt per xatejar.
Click on the lock icon at the bottom of the screen and enter the password. It should then appear unlocked. If you don't unlock then any edits you make won't be saved.|Feu clic a la icona de bloqueig que hi ha a la part inferior de la pantalla i introduïu la contrasenya. Hauria d'aparèixer desbloquejat. Si no desbloqueja, les modificacions que feu no es desaran.
Collaborative document editor|Editor de documents col·laboratius
Confirm backup password|Confirma la contrasenya de seguretat
Continue|Continua
Copy and paste the translations file and select 'update'.|Copieu i enganxeu el fitxer de traduccions i seleccioneu "actualitzar".
Copy and paste the translations file into your favorite editor.|Copieu i enganxeu el fitxer de traduccions al vostre editor favorit.
Copy and paste this into an email or other messaging app and send it to the LibreServer project.|Copieu i enganxeu-lo a un correu electrònic o a una altra aplicació de missatgeria i envieu-lo al projecte LibreServer.
CPU temperature|Temperatura de la CPU
CPU usage|ús de la CPU
Croatian|Croat
Czech|Txec
Danish|Danès
DAT Server|Servidor DAT
Databaseless blogging|Blogging sense dades
Databaseless wiki|Wiki lliure de dades
diagnostics|diagnòstic
diagnostics log|registre de diagnòstic
Different versions of the same page on different servers are represented by boxes at the bottom right of the screen. You can double click on them to see the different versions, and use the flag icon to fork if you prefer that version|Les diferents versions de la mateixa pàgina en diferents servidors estan representades per quadres a la part inferior dreta de la pantalla. Podeu fer doble clic sobre ells per veure les diferents versions i utilitzar la icona de la bandera a la forquilla si preferiu aquesta versió
Disk I/O Speed|Velocitat d'E / S del disc
Disk space used|Espai en disc usat
DNS setup|Configuració de DNS
Domain/User Blocking|Bloqueig de dominis / usuaris
Domain:|Domini:
Domain|Domini
Dutch|Holandès
Dynamic DNS|DNS dinàmic
