About|O
Accept|Akceptovat
Accounts software can often be quite complex, and so you'll probably want to refer to the official documentation (https://akaunting.com/docs) for details.|Softwarové účty mohou být často velmi složité, a proto budete pravděpodobně chtít odkazovat na oficiální dokumentaci (https://akaunting.com/docs) pro podrobnosti.
Add|Přidat
New Member|Přidejte nového uživatele
Add custom emoji|Přidejte vlastní emoji
Add mp3 or ogg files to a USB drive|Přidejte soubory mp3 nebo ogg do jednotky USB
Add the following to your Emacs configuration file:|Do konfiguračního souboru Emacs přidejte následující:
Add the Syncthing IDs for your other systems and devices here|Přidejte zde ID synchronizace pro ostatní systémy a zařízení
Add your dat links below|Přidejte níže uvedené datové odkazy
Add your RSS feeds here. Each line should be [title],[feed URL]|Přidejte své RSS kanály zde. Každý řádek by měl být [title], [feed URL]
Adding music|Přidávání hudby
Afrikaans|afrikánština
Akaunting|Akaunting
Albanian|Albánský
Allow new registrations|Povolit nové registrace
An upgrade is scheduled|Aktualizace je naplánována
App is being removed|Aplikace je odebrána
App is scheduled to be installed|Aplikace má být nainstalována
Apps|Aplikace
Arabic|arabština
Backup|Zálohování
Backup / Restore|Obnovení zálohy
Backup drive space used|Použije se místo zálohovacího disku
Backup has failed|Zálohování se nezdařilo
Backup in progress|Zálohování probíhá
Backup is complete|Zálohování je dokončeno
Backup of keys failed|Zálohování klíčů se nezdařilo
Backup of keys is complete|Zálohování klíčů je dokončeno
Backup your keys now?|Zálohujte své klíče teď?
Basque|Baskičtina
Beginning app install|Začátek instalace aplikace
Beginning removal of app|Začátek odebrání aplikace
Belarusian|Běloruské
Bosnian|Bosenský
Bulgarian|bulharský
Cancel|zrušení
Catalan|Katalánština
Chat system|Chatový systém
Chinese (Simplified)|Zjednodušená čínština)
Chinese (Traditional)|Čínština (tradiční)
Choose the language that you wish to translate from the list.|Vyberte jazyk, který chcete přeložit ze seznamu.
Choose your language|Vyberte svůj jazyk
Classic chat system|Klasický systém chatu
Click close and then connect.|Klepněte na tlačítko zavřít a poté se připojte.
Click on "add new" to add a new server and enter the domain name or onion address for the LibreServer, your username (which can be anything) and the VoIP server password which is the same as the password you set up the box with. Accept the self-signed SSL certificate if you don't have a Let's Encrypt certificate set up for your default domain. You are now ready to chat.|Kliknutím na tlačítko "přidat nový" přidáte nový server a zadejte název domény nebo cibulí pro LibreServer, vaše uživatelské jméno (což může být cokoliv) a heslo serveru VoIP, které je stejné jako heslo, které jste nastavili. Pokud nemáte certifikát Nechat šifrovat nastaven pro vaši výchozí doménu, přijměte certifikát SSL s vlastním podpisem. Nyní jste připraveni chatovat.
Click on the lock icon at the bottom of the screen and enter the password. It should then appear unlocked. If you don't unlock then any edits you make won't be saved.|Klikněte na ikonu zámku v dolní části obrazovky a zadejte heslo. Mělo by se pak odemknout. Pokud neodemknete, pak se žádné úpravy, které provedete, nebudou ukládat.
Collaborative document editor|Editor spolupráce dokumentů
Confirm backup password|Potvrďte heslo zálohy
Continue|Pokračovat
Copy and paste the translations file and select 'update'.|Zkopírujte a vložte soubor překlady a vyberte možnost 'update'.
Copy and paste the translations file into your favorite editor.|Zkopírujte a vložte soubor překlady do oblíbeného editoru.
Copy and paste this into an email or other messaging app and send it to the LibreServer project.|Tuto možnost zkopírujte a vložte do e-mailu nebo jiné aplikace pro zasílání zpráv a odešlete je do projektu LibreServer.
CPU temperature|Teplota CPU
CPU usage|využití procesoru
Croatian|chorvatský
Czech|čeština
Danish|dánština
DAT Server|DAT Server
Databaseless blogging|Bezplatné blogování
Databaseless wiki|Bezplatná wiki
diagnostics|diagnostika
diagnostics log|diagnostický protokol
Different versions of the same page on different servers are represented by boxes at the bottom right of the screen. You can double click on them to see the different versions, and use the flag icon to fork if you prefer that version|Různé verze stejné stránky na různých serverech jsou zobrazeny v pravé dolní části obrazovky. Můžete dvakrát kliknout na ně, abyste viděli různé verze, a pokud preferujete tuto verzi, použijte ikonu vlajky na vidlici
Disk I/O Speed|Rychlost I / O disku
Disk space used|Použitý prostor na disku
DNS setup|Nastavení DNS
Domain/User Blocking|Blokování domén / uživatelů
Domain:|Doména:
Domain|Doména
Dutch|holandský
Dynamic DNS|Dynamický DNS
Edit your translations. The structure of this file is very simple. On the left is English text and on the right is translated text, with the vertical line character as a separator.|Upravte překlady. Struktura tohoto souboru je velmi jednoduchá. Vlevo je anglický text a vpravo je přeložený text, znak vertikální čáry jako oddělovač.
Edit, add or remove blocked domains or users. This applies to Email and XMPP addresses|Upravte, přidávejte nebo odstraňte zablokované domény nebo uživatele. To platí pro adresy E-mail a XMPP
Edith enable login|Edith povolit přihlášení
Email system|Emailový systém
Email/XMPP: USEREMAIL|E-mail / XMPP: USEREMAIL
Enable access via secure shell?|Povolit přístup přes zabezpečený shell?
Enable Updates|Aktivovat aktualizace
English|Angličtina
English (US)|Angličtina (US)
Ensure that dat files are always available|Ujistěte se, že datové soubory jsou vždy k dispozici
Ensure that tor is installed onto your local system:|Zajistěte, aby byl tor nainstalován do místního systému:
Enter a label (which can be any name you choose for the server), the default domain name of the LibreServer or preferably the mumble onion address, your username (which can also be anything) and the mumble password which is the same as the one you originally set up the box with. Leave the port number unchanged.|Zadejte štítek (který může být jakýkoli název, který zvolíte pro server), výchozí název domény LibreServer nebo nejlépe adresu mumble cibule, vaše uživatelské jméno (které může být také cokoli) a heslo mumble, které je stejné jako jedno původně jste nastavili políčko. Ponechte číslo portu beze změny.
Enter a password which will be used to protect the backup|Zadejte heslo, které bude použito k ochraně zálohy
Enter first and second nicknames and check connect to this network on startup.|Zadejte první a druhou přezdívku a při spuštění zkontrolujte připojení k této síti.
Estonian|estonština
Everything installed will be lost|Všechno nainstalované bude ztraceno
Extremely simple note taking|Extrémně jednoduchá poznámka
Factory reset is in progress|Probíhá resetování od výrobce
Farsi|Farsi
Favicon|Favicon
Federated image sharing|Federované sdílení obrázků
Federated microblogging|Federované microblogging
Federated social network|Federovaná sociální síť
Federated wiki|Federovaná wiki
File storage and sync|Ukládání souborů a synchronizace
File synchronization|Synchronizace souborů
Filipino|Filipino
Finnish|Finština
First ensure that tor is installed. Within a terminal:|Nejprve se ujistěte, že je nainstalován tor. V terminálu:
For details see the diagnostics|Podrobnosti naleznete v diagnostice
For details see:|Podrobnosti naleznete v části:
For further information see the website at https://libreserver.org|Další informace naleznete na adrese https://libreserver.org
For the initial login use username: admin password admin|Pro počáteční přihlášení použijte uživatelské jméno: admin admin admin
For the Jabber ID enter the email address from your LibreServer user settings|Pro Jabber ID zadejte e-mailovou adresu z uživatelských nastavení LibreServer
Forward port 80 and 443 from your internet router|Vpřed port 80 a 443 z vašeho internetového směrovače
Forward the following ports from your internet router:|Posílejte z vašeho internetového směrovače následující porty:
Forward the port 64738 from your internet router|Předat port 64738 z vašeho internetového směrovače
Forward the port 6697 from your internet router|Přesměrujte port 6697 z internetového směrovače
Forward the port 8448 from your internet router|Předávejte port 8448 ze svého internetového směrovače
FreeDNS code:|Kód FreeDNS:
LibreServer started in 2013. It was initially based on the Beaglebone Black hardware and inspired by the FreedomBox idea of an inexpensive and simple to manage internet server for the home.|LibreServer začala v roce 2013. Původně byla založena na hardware Beaglebone Black a inspirovala se myšlenkou FreedomBox, že je levný a snadno spravovatelný internetový server pro domov.
French|francouzština
French (Canada)|Francouzština (Kanada)
From the initial screen select 'settings' then 'language'.|Z úvodní obrazovky vyberte 'nastavení' a 'jazyk'.
From the menu select 'Configure' then 'Settings'. Select the 'Advanced' checkbox then select 'Network'. Select 'Force TCP mode' and proxy type 'Socks5'. Hostname should be set to 'localhost' and port should be 9050.|V nabídce vyberte možnost 'Konfigurovat' a potom 'Nastavení'. Vyberte zaškrtávací políčko "Pokročilé" a vyberte možnost "Síť". Zvolte režim Vynucení TCP a typ proxy Socks5. Jméno hostitele by mělo být nastaveno na "localhost" a port by měl být 9050.
Gaelic|gaelština
Gallego|Gallego
Georgian|Georgian
German|Němec
German (Personal)|Němčina (osobní)
Git repo management|Git repo management
Go Back|Vraťte se zpět
Go back to the F-droid initial screen and update the repositories by swiping downwards. You'll see it say "updating repositories". This might take a few minutes.|Vraťte se zpět na počáteční obrazovku F-droidu a aktualizujte úložiště posunutím směrem dolů. Uvidíte, že se jedná o "aktualizaci repozitářů". To může trvat několik minut.
Go back to the initial screen of the Conversations app, select the menu again, then 'Manage accounts'. Add an account by selecting the person icon with the plus next to it.|Vraťte se zpět na počáteční obrazovku aplikace Konverzace, znovu vyberte nabídku a poté 'Spravovat účty'. Přidejte účet výběrem ikony osoby s plusem vedle něj.
Gogs allow new registrations|Gogové umožňují nové registrace
Greek|řecký
Gujarati|Gujarati
Have you written down or saved the login credentials and removed any backup drives from the system?|Zapsali jste nebo ukládali přihlašovací údaje a odebrali jste ze systému všechny zálohovací jednotky?
Hebrew|hebrejština
Help|Pomoc
Helps caregivers track sleep, feedings, diaper changes, and tummy time|Pomáhá ošetřovatelům sledovat spánek, krmení, změny plenky a čas břicha
Helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict babys needs without as much guess work.|Pomáhá ošetřovatelům sledovat spánek, krmení, změny plenky a bříško, aby se dozvěděli a předpověděly potřeby dítěte bez toho, aby tolik práce odhadly.
here|tady
HexChat (formerly XChat) is compatible with proxying via Tor and so provides the best security when connecting to your IRC server. It will allow you to connect to your IRC server's onion address.|HexChat (dříve XChat) je kompatibilní s proxying přes Tor a poskytuje tak nejlepší bezpečnost při připojení k vašemu IRC serveru. Umožní vám připojit se k cibulové adrese serveru IRC.
Hindi|hindština
How to do translations|Jak přeložit
Hungarian|maďarský
Icecast|Icecast
