About|Om
Accept|Acceptere
Accounts software can often be quite complex, and so you'll probably want to refer to the official documentation (https://akaunting.com/docs) for details.|Kontosoftwaren kan ofte være ret kompliceret, og derfor vil du sikkert henvise til den officielle dokumentation (https://akaunting.com/docs) for detaljer.
Add|Tilføje
New Member|Tilføj en ny bruger
Add custom emoji|Tilføj tilpasset emoji
Add mp3 or ogg files to a USB drive|Tilføj mp3 eller ogg filer til et USB-drev
Add the following to your Emacs configuration file:|Tilføj følgende til din Emacs konfigurationsfil:
Add the Syncthing IDs for your other systems and devices here|Tilføj Syncthing ID'erne til dine andre systemer og enheder her
Add your dat links below|Tilføj dine datatilknytninger nedenfor
Add your RSS feeds here. Each line should be [title],[feed URL]|Tilføj dine RSS-feeds her. Hver linje skal være [titel], [feed URL]
Adding music|Tilføjelse af musik
Afrikaans|Afrikaans
Akaunting|Akaunting
Albanian|Albansk
Allow new registrations|Tillad nye registreringer
An upgrade is scheduled|En opgradering er planlagt
App is being removed|Appen fjernes
App is scheduled to be installed|Appen er planlagt til at blive installeret
Apps|Apps
Arabic|arabisk
Backup|Backup
Backup / Restore|Sikkerhedskopiering / gendannelse
Backup drive space used|Backup-drevplads brugt
Backup has failed|Sikkerhedskopiering er mislykket
Backup in progress|Sikkerhedskopiering i gang
Backup is complete|Backup er afsluttet
Backup of keys failed|Sikkerhedskopiering af nøgler mislykkedes
Backup of keys is complete|Sikkerhedskopiering af nøgler er afsluttet
Backup your keys now?|Sikkerhedskopiere dine nøgler nu?
Basque|baskisk
Beginning app install|Begyndelse af appinstallation
Beginning removal of app|Begyndelse fjernelse af app
Belarusian|Hviderussisk
Bosnian|bosnisk
Bulgarian|bulgarsk
Cancel|Afbestille
Catalan|catalan
Chat system|Chat-system
Chinese (Simplified)|Kinesisk forenklet)
Chinese (Traditional)|Kinesisk (traditionel)
Choose the language that you wish to translate from the list.|Vælg det sprog, du vil oversætte fra listen.
Choose your language|Vælg dit sprog
Classic chat system|Klassisk chat system
Click close and then connect.|Klik på Luk og derefter tilslut.
