About|Über
Accept|Akzeptieren
Accounts software can often be quite complex, and so you'll probably want to refer to the official documentation (https://akaunting.com/docs) for details.|Accountsoftware kann oft sehr komplex sein, weshalb Sie für Details auf die offizielle Dokumentation (https://akaunting.com/docs) zurückgreifen möchten.
Add|Hinzufügen
New Member|Fügen Sie einen neuen Benutzer hinzu
Add custom emoji|Füge benutzerdefiniertes Emoji hinzu
Add mp3 or ogg files to a USB drive|Fügen Sie mp3- oder ogg-Dateien zu einem USB-Laufwerk hinzu
Add the following to your Emacs configuration file:|Fügen Sie Ihrer Emacs-Konfigurationsdatei Folgendes hinzu:
Add the Syncthing IDs for your other systems and devices here|Fügen Sie hier die Synchronisierungs-IDs für Ihre anderen Systeme und Geräte hinzu
Add your dat links below|Fügen Sie Ihre Datenlinks hinzu
Add your RSS feeds here. Each line should be [title],[feed URL]|Fügen Sie Ihre RSS-Feeds hier hinzu. Jede Zeile sollte [Titel], [Feed URL] sein
Adding music|Hinzufügen von Musik
Afrikaans|Afrikaans
Akaunting|Akaunting
Albanian|albanisch
Allow new registrations|Erlaube neue Registrierungen
An upgrade is scheduled|Ein Upgrade ist geplant
App is being removed|App wird entfernt
App is scheduled to be installed|Die Installation der App ist geplant
Apps|Apps
Arabic|Arabisch
Backup|Backup
Backup / Restore|Backup wiederherstellen
Backup drive space used|Backup-Laufwerksspeicherplatz belegt
Backup has failed|Die Sicherung ist fehlgeschlagen
Backup in progress|Sicherung läuft
Backup is complete|Die Sicherung ist abgeschlossen
Backup of keys failed|Sicherung der Schlüssel fehlgeschlagen
Backup of keys is complete|Die Sicherung der Schlüssel ist abgeschlossen
Backup your keys now?|Sichern Sie jetzt Ihre Schlüssel?
Basque|baskisch
Beginning app install|Beginn der App-Installation
Beginning removal of app|Beginn der Entfernung der App
Belarusian|Belarussisch
Bosnian|bosnisch
Bulgarian|bulgarisch
Cancel|Stornieren
Catalan|katalanisch
Chat system|Chat-System
Chinese (Simplified)|Vereinfachtes Chinesisch)
Chinese (Traditional)|Chinesische Tradition)
Choose the language that you wish to translate from the list.|Wählen Sie die Sprache, die Sie übersetzen möchten, aus der Liste aus.
Choose your language|Wähle deine Sprache
Classic chat system|Klassisches Chat-System
Click close and then connect.|Klicken Sie auf Schließen und dann verbinden.
Click on "add new" to add a new server and enter the domain name or onion address for the LibreServer, your username (which can be anything) and the VoIP server password which is the same as the password you set up the box with. Accept the self-signed SSL certificate if you don't have a Let's Encrypt certificate set up for your default domain. You are now ready to chat.|Klicken Sie auf "Add new", um einen neuen Server hinzuzufügen und geben Sie den Domainnamen oder die Onion-Adresse für das LibreServer, Ihren Benutzernamen (der alles sein kann) und das Passwort des VoIP-Servers ein. Akzeptieren Sie das selbstsignierte SSL-Zertifikat, wenn für Ihre Standarddomäne kein Let's Encrypt-Zertifikat eingerichtet ist. Sie sind jetzt bereit zu chatten.
Click on the lock icon at the bottom of the screen and enter the password. It should then appear unlocked. If you don't unlock then any edits you make won't be saved.|Klicken Sie auf das Schlosssymbol am unteren Bildschirmrand und geben Sie das Passwort ein. Es sollte dann entsperrt erscheinen. Wenn Sie die Sperre nicht aufheben, werden die von Ihnen vorgenommenen Änderungen nicht gespeichert.
Collaborative document editor|Gemeinsamer Dokumenteneditor
Confirm backup password|Bestätigen Sie das Sicherungskennwort
Continue|Fortsetzen
Copy and paste the translations file and select 'update'.|Kopieren Sie die Übersetzungsdatei, fügen Sie sie ein und wählen Sie "update".
Copy and paste the translations file into your favorite editor.|Kopieren Sie die Übersetzungsdatei und fügen Sie sie in Ihren bevorzugten Editor ein.
Copy and paste this into an email or other messaging app and send it to the LibreServer project.|Kopieren Sie diese Datei und fügen Sie sie in eine E-Mail- oder andere Messaging-App ein und senden Sie sie an das LibreServer-Projekt.
CPU temperature|CPU-Temperatur
CPU usage|CPU auslastung
Croatian|kroatisch
Czech|Tschechisch
Danish|dänisch
DAT Server|DAT-Server
Databaseless blogging|Datenbankloses Bloggen
Databaseless wiki|Datenbankloses Wiki
diagnostics|Diagnose
diagnostics log|Diagnoseprotokoll
Different versions of the same page on different servers are represented by boxes at the bottom right of the screen. You can double click on them to see the different versions, and use the flag icon to fork if you prefer that version|Verschiedene Versionen derselben Seite auf verschiedenen Servern werden durch Felder rechts unten auf dem Bildschirm dargestellt. Sie können auf sie doppelklicken, um die verschiedenen Versionen zu sehen, und verwenden Sie das Flaggensymbol, um zu verzweigen, wenn Sie diese Version bevorzugen
Disk I/O Speed|Festplatten-E / A-Geschwindigkeit
Disk space used|Speicherplatz belegt
DNS setup|DNS-Einrichtung
Domain/User Blocking|Domänen- / Benutzerblockierung
Domain:|Domain:
Domain|Domain
Dutch|Niederländisch
Dynamic DNS|Dynamisches DNS
Edit your translations. The structure of this file is very simple. On the left is English text and on the right is translated text, with the vertical line character as a separator.|Bearbeiten Sie Ihre Übersetzungen. Die Struktur dieser Datei ist sehr einfach. Auf der linken Seite ist englischer Text und auf der rechten Seite ist übersetzter Text, mit dem vertikalen Zeilenzeichen als Trennzeichen.
Edit, add or remove blocked domains or users. This applies to Email and XMPP addresses|Bearbeiten, hinzufügen oder entfernen Sie blockierte Domains oder Benutzer. Dies gilt für E-Mail- und XMPP-Adressen
Edith enable login|Edith aktivieren Login
Email system|E-Mail-System
Email/XMPP: USEREMAIL|E-Mail/XMPP: USEREMAIL
Enable access via secure shell?|Zugang über sichere Shell ermöglichen?
Enable Updates|Aktivieren Sie Updates
English|Englisch
English (US)|Amerikanisches Englisch)
Ensure that dat files are always available|Stellen Sie sicher, dass Datendateien immer verfügbar sind
Ensure that tor is installed onto your local system:|Stellen Sie sicher, dass tor auf Ihrem lokalen System installiert ist:
Enter a label (which can be any name you choose for the server), the default domain name of the LibreServer or preferably the mumble onion address, your username (which can also be anything) and the mumble password which is the same as the one you originally set up the box with. Leave the port number unchanged.|Geben Sie ein Label ein (das kann ein beliebiger Name sein, den Sie für den Server wählen), den Standard-Domain-Namen des LibreServer oder vorzugsweise die Mumble-Onion-Adresse, Ihren Benutzernamen (der auch alles sein kann) und das Mumble-Passwort Du hast die Box ursprünglich mit eingerichtet. Belassen Sie die Portnummer unverändert.
Enter a password which will be used to protect the backup|Geben Sie ein Passwort ein, das zum Schutz der Sicherung verwendet wird
Enter first and second nicknames and check connect to this network on startup.|Geben Sie die ersten und zweiten Spitznamen ein und überprüfen Sie beim Start die Verbindung zu diesem Netzwerk.
Estonian|estnisch
Everything installed will be lost|Alles installierte wird verloren gehen
Extremely simple note taking|Extrem einfache Notizen
Factory reset is in progress|Der Werksreset ist in Bearbeitung
Farsi|Farsi
Favicon|Favicon
Federated image sharing|Verbund-Bildfreigabe
Federated microblogging|Federated Microblogging
Federated social network|Föderiertes soziales Netzwerk
Federated wiki|Föderiertes Wiki
File storage and sync|Dateispeicherung und -synchronisierung
File synchronization|Dateisynchronisierung
Filipino|Filipino
Finnish|finnisch
First ensure that tor is installed. Within a terminal:|Stellen Sie zuerst sicher, dass der Tor installiert ist. Innerhalb eines Terminals:
For details see the diagnostics|Für Details siehe die Diagnose
For details see:|Für Details siehe:
For further information see the website at https://libreserver.org|Weitere Informationen finden Sie auf der Website unter https://libreserver.org
For the initial login use username: admin password admin|Für die erste Anmeldung benutze den Benutzernamen: admin password admin
For the Jabber ID enter the email address from your LibreServer user settings|Für die Jabber-ID geben Sie die E-Mail-Adresse aus Ihren LibreServer-Benutzereinstellungen ein
For the password use the password which you initially wrote down or stored during the setup of the LibreServer system|Verwenden Sie für das Passwort das Passwort, das Sie beim Einrichten des LibreServer-Systems ursprünglich notiert oder gespeichert haben
Forward port 80 and 443 from your internet router|Leiten Sie Port 80 und 443 von Ihrem Internet-Router aus
Forward the following ports from your internet router:|Leiten Sie die folgenden Ports von Ihrem Internet-Router aus:
Forward the port 64738 from your internet router|Leiten Sie den Port 64738 von Ihrem Internet-Router aus
Forward the port 6697 from your internet router|Leiten Sie den Port 6697 von Ihrem Internet-Router aus
Forward the port 8448 from your internet router|Leiten Sie den Port 8448 von Ihrem Internet-Router aus
FreeDNS code:|FreiDNS-Code:
LibreServer started in 2013. It was initially based on the Beaglebone Black hardware and inspired by the FreedomBox idea of an inexpensive and simple to manage internet server for the home.|LibreServer startete im Jahr 2013. Es basierte zunächst auf der Hardware von Beaglebone Black und war inspiriert von der Idee von FreedomBox, einen preiswerten und einfach zu bedienenden Internetserver für zu Hause einzurichten.
French|Französisch
French (Canada)|Französisch (Kanada)
From the initial screen select 'settings' then 'language'.|Wählen Sie auf dem ersten Bildschirm "Einstellungen" und dann "Sprache".
From the menu select 'Configure' then 'Settings'. Select the 'Advanced' checkbox then select 'Network'. Select 'Force TCP mode' and proxy type 'Socks5'. Hostname should be set to 'localhost' and port should be 9050.|Wählen Sie aus dem Menü "Konfigurieren" und dann "Einstellungen". Aktivieren Sie das Kontrollkästchen "Erweitert" und wählen Sie "Netzwerk". Wählen Sie 'TCP-Modus erzwingen' und Proxy-Typ 'Socks5'. Hostname sollte auf 'localhost' gesetzt sein und Port sollte 9050 sein.
Gaelic|gälisch
Gallego|Gallego
Georgian|georgisch
German|Deutsche
German (Personal)|Deutsch (Persönlich)
Git repo management|Git Repomanagement
Go Back|Geh zurück
Go back to the F-droid initial screen and update the repositories by swiping downwards. You'll see it say "updating repositories". This might take a few minutes.|Gehen Sie zurück zum F-Droid-Startbildschirm und aktualisieren Sie die Repositories, indem Sie nach unten wischen. Sie werden sehen, dass "Repositories aktualisieren" angezeigt wird. Das könnte ein paar Minuten dauern.
Go back to the initial screen of the Conversations app, select the menu again, then 'Manage accounts'. Add an account by selecting the person icon with the plus next to it.|Gehe zurück zum Startbildschirm der Conversations-App, wähle erneut das Menü und dann "Konten verwalten". Fügen Sie ein Konto hinzu, indem Sie das Personensymbol mit dem Plus daneben auswählen.
Gogs allow new registrations|Gogs erlauben Neuanmeldungen
Greek|griechisch
Gujarati|Gujarati
Have you written down or saved the login credentials and removed any backup drives from the system?|Haben Sie die Anmeldedaten notiert oder gespeichert und Backup-Laufwerke aus dem System entfernt?
Hebrew|hebräisch
Help|Hilfe
Helps caregivers track sleep, feedings, diaper changes, and tummy time|Hilft Pflegepersonal Schlaf, Fütterungen, Windelwechsel und Bauchzeit zu verfolgen
Helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict babys needs without as much guess work.|Hilft Pflegepersonal, Schlaf, Fütterungen, Windelwechsel und Bauchzeit zu verfolgen, um die Bedürfnisse des Babys kennen zu lernen und zu prognostizieren, ohne viel zu raten.
here|Hier
HexChat (formerly XChat) is compatible with proxying via Tor and so provides the best security when connecting to your IRC server. It will allow you to connect to your IRC server's onion address.|HexChat (ehemals XChat) ist kompatibel mit Proxy über Tor und bietet somit die beste Sicherheit beim Verbinden mit Ihrem IRC Server. Es ermöglicht Ihnen, eine Verbindung zur Zwiebel-Adresse Ihres IRC-Servers herzustellen.
Hindi|Hindi
How to do translations|Wie man Übersetzungen macht
Hungarian|ungarisch
Icecast|Eiscast
Icecast is quite CPU intensive. For example on an A20 based system it takes about 70% of the CPU resource. This is something to be aware of if you're running multiple apps|Icecast ist ziemlich CPU-intensiv. Zum Beispiel benötigt ein A20-basiertes System etwa 70% der CPU-Ressource. Dies ist etwas, auf das Sie achten sollten, wenn Sie mehrere Apps ausführen
Icecast is updating|Icecast wird aktualisiert
Icelandic|isländisch
Icons on the website and user interfaces are by Rashid Mhar.|Icons auf der Website und Benutzeroberflächen sind von Rashid Mhar.
If you are an Emacs user then you can also connect to your IRC server via Emacs.|Wenn Sie ein Emacs-Benutzer sind, können Sie sich auch über Emacs mit Ihrem IRC-Server verbinden.
If you are using the onion address then use SSL should be unchecked and the transport encryption will be handled via the onion address itself.|Wenn Sie die Adresse von onion verwenden, sollte SSL deaktiviert sein und die Transportverschlüsselung wird über die onion Adresse selbst abgewickelt.
If you are using the ordinary domain name (clearnet/ICANN) then make sure that Use SSL is checked.|Wenn Sie den normalen Domänennamen (clearnet / ICANN) verwenden, stellen Sie sicher, dass SSL verwenden aktiviert ist.
If you don't have a domain then just select Continue|Wenn Sie keine Domain haben, wählen Sie einfach Weiter
If you don't have Orbot installed then enable The Guardian Project repository from the drop down menu and install it.|Wenn Sie Orbot nicht installiert haben, aktivieren Sie das Guardian Project-Repository aus dem Dropdown-Menü und installieren Sie es.
If you don't need a password then just leave this blank and select Update|Wenn Sie kein Passwort benötigen, lassen Sie dieses Feld leer und wählen Sie Aktualisieren
If you have a USB plugged in leave it inserted until you can confirm that the stream is working|Wenn Sie einen USB-Anschluss angeschlossen haben, lassen Sie ihn eingesteckt, bis Sie bestätigen können, dass der Stream funktioniert
If you have trouble accessing onion addresses paste some Tor bridges below. See https://bridges.torproject.org/bridges|Wenn Sie Probleme beim Zugriff auf die aion-Adressen haben, fügen Sie einige Tor-Brücken darunter ein. Siehe https://bridges.torproject.org/bridges
If you're using the Element mobile app to access your Matrix homeserver then you can significantly improve battery performance by going to the settings and changing 'Sync request timeout' to 30 seconds and 'Delay between two sync requests' to 600 seconds. Also turning off 'msgs in group chats' will help, since it will avoid getting a notification whenever a group chat event happens, which then wakes up the screen|Wenn Sie die mobile App von Element für den Zugriff auf Ihren Matrix-Homeserver verwenden, können Sie die Akkuleistung erheblich verbessern, indem Sie die Einstellungen auf "Sync-Anforderungs-Timeout" auf 30 Sekunden und "Verzögerung zwischen zwei Synchronisierungsanfragen" auf 600 Sekunden ändern. Auch das Deaktivieren von 'msgs in Gruppenchats' hilft, da eine Benachrichtigung vermieden wird, wenn ein Gruppenchat-Ereignis eintritt, was dann den Bildschirm aufweckt
If your translations are accepted they will later appear in the upstream project and be usable by anyone.|Wenn Ihre Übersetzungen akzeptiert werden, erscheinen sie später im Upstream-Projekt und können von jedem genutzt werden.
Import|Einführen
In a Tor browser navigate to the onion address for Icecast and you can then play the stream|Navigieren Sie in einem Tor-Browser zur Zwiebeladresse für Icecast, und Sie können den Stream abspielen
Indonesian|Indonesisch
Initial login|Erstmalige Anmeldung
Initial Setup|Ersteinrichtung
Install|Installieren
Install APPNAME now?|APPNAME jetzt installieren?
Install F-Droid|Installieren Sie F-Droid
Install HexChat and set up its configuration file. Assuming that you're running on a Debian or Arch based distro, this can be done on your local machine with:|Installieren Sie HexChat und richten Sie seine Konfigurationsdatei ein. Wenn Sie davon ausgehen, dass Sie auf einer Debian- oder Arch-basierten Distribution laufen, können Sie dies auf Ihrem lokalen Rechner tun mit:
Installation|Installation
Installing in Emacs|Installation in Emacs
Installing on Desktop|Installation auf dem Desktop
Invalid Password|Ungültiges Passwort
IRC|IRC
IRC is useful for multi-user chat. The classic use case is for software development where many engineers might need to coordinate their activities, but it's also useful for meetings, parties and general socialising.|IRC ist nützlich für Multi-User-Chat. Der klassische Anwendungsfall ist für Software-Entwicklung, wo viele Ingenieure ihre Aktivitäten koordinieren müssen, aber es ist auch nützlich für Meetings, Partys und allgemeine Geselligkeit.
It can be shown using the command:|Es kann mit dem Befehl angezeigt werden:
It's possible to add jingles which will be played between tracks at random intervals. If some of the audio files on your USB drive are named jingle_something.mp3 then they will be used as jingles|Es ist möglich, Jingles hinzuzufügen, die in zufälligen Intervallen zwischen Titeln abgespielt werden. Wenn einige der Audiodateien auf Ihrem USB-Laufwerk jingle_something.mp3 heißen, werden sie als Jingles verwendet
It's recommended that you add an SRV record for Matrix to your DNS setup. How you do this will depend upon your dynamic DNS provider and their web interface. On FreeDNS on the subdomains settings in addition to the subdomain which you are using for the matrix server create an extra entry as follows:|Es wird empfohlen, dass Sie einen SRV-Eintrag für Matrix zu Ihrem DNS-Setup hinzufügen. Wie Sie dies tun, hängt von Ihrem dynamischen DNS-Anbieter und dessen Weboberfläche ab. Auf FreeDNS auf den Subdomains Einstellungen zusätzlich zu der Subdomain, die Sie für den Matrixserver verwenden, erstellen Sie einen zusätzlichen Eintrag wie folgt:
Italian|Italienisch
Japanese|japanisch
Jingles|Jingles
Kannada|Kannada
Keep changes|Behalte die Änderungen bei
