About|Σχετικά με
Accept|Αποδέχομαι
Accounts software can often be quite complex, and so you'll probably want to refer to the official documentation (https://akaunting.com/docs) for details.|Το Λογισμικό Λογαριασμών μπορεί συχνά να είναι πολύ περίπλοκο και έτσι πιθανότατα θέλετε να ανατρέξετε στην επίσημη τεκμηρίωση (https://akaunting.com/docs) για λεπτομέρειες.
Add|Προσθέτω
New Member|Προσθέστε νέο χρήστη
Add custom emoji|Προσθέστε προσαρμοσμένες emoji
Add mp3 or ogg files to a USB drive|Προσθέστε αρχεία mp3 ή ogg σε μια μονάδα USB
Add the following to your Emacs configuration file:|Προσθέστε τα ακόλουθα στο αρχείο ρύθμισης Emacs:
Add the Syncthing IDs for your other systems and devices here|Προσθέστε εδώ τα αναγνωριστικά συγχρονισμού για τα άλλα σας συστήματα και συσκευές
Add your dat links below|Προσθέστε τους συνδέσμους δεδομένων παρακάτω
Add your RSS feeds here. Each line should be [title],[feed URL]|Προσθέστε τις ροές RSS εδώ. Κάθε γραμμή πρέπει να είναι [τίτλος], [διεύθυνση URL ροής]
Adding music|Προσθήκη μουσικής
Afrikaans|Afrikaans
Akaunting|Akaunting
Albanian|Αλβανός
Allow new registrations|Επιτρέψτε νέες εγγραφές
An upgrade is scheduled|Μια αναβάθμιση έχει προγραμματιστεί
App is being removed|Η εφαρμογή καταργείται
App is scheduled to be installed|Η εφαρμογή έχει προγραμματιστεί να εγκατασταθεί
Apps|Εφαρμογές
Arabic|αραβικός
Backup|Αντιγράφων ασφαλείας
Backup / Restore|Δημιουργία αντιγράφων ασφαλείας / Επαναφορά
Backup drive space used|Χρησιμοποιείται χώρος δίσκου εφεδρείας
Backup has failed|Η δημιουργία αντιγράφων ασφαλείας απέτυχε
Backup in progress|Η δημιουργία αντιγράφων ασφαλείας βρίσκεται σε εξέλιξη
Backup is complete|Η δημιουργία αντιγράφων ασφαλείας ολοκληρώθηκε
Backup of keys failed|Η δημιουργία αντιγράφων ασφαλείας των κλειδιών απέτυχε
Backup of keys is complete|Η δημιουργία αντιγράφων ασφαλείας των πλήκτρων ολοκληρώθηκε
Backup your keys now?|Δημιουργήστε αντίγραφα ασφαλείας των κλειδιών σας τώρα;
Basque|Βασκική
Beginning app install|Έναρξη εγκατάστασης εφαρμογής
Beginning removal of app|Ξεκινώντας την αφαίρεση της εφαρμογής
Belarusian|Λευκορωσίας
Bosnian|Βόσνιο
Bulgarian|Βούλγαρος
Cancel|Ματαίωση
Catalan|Καταλανικά
Chat system|Σύστημα συνομιλίας
Chinese (Simplified)|Απλοποιημένα Κινέζικα)
Chinese (Traditional)|Παραδοσιακά κινέζικα)
Choose the language that you wish to translate from the list.|Επιλέξτε τη γλώσσα που θέλετε να μεταφράσετε από τη λίστα.
Choose your language|Επιλέξτε τη γλώσσα σας
Classic chat system|Κλασικό σύστημα συνομιλίας
Click close and then connect.|Κάντε κλικ στο κλείσιμο και έπειτα στη σύνδεση.
Click on "add new" to add a new server and enter the domain name or onion address for the LibreServer, your username (which can be anything) and the VoIP server password which is the same as the password you set up the box with. Accept the self-signed SSL certificate if you don't have a Let's Encrypt certificate set up for your default domain. You are now ready to chat.|Κάντε κλικ στο κουμπί "Προσθήκη νέου" για να προσθέσετε νέο διακομιστή και εισαγάγετε το όνομα τομέα ή το όνομα κρεμμυδιού για το LibreServer, το όνομα χρήστη σας (το οποίο μπορεί να είναι οτιδήποτε) και ο κωδικός πρόσβασης του διακομιστή VoIP που είναι ο ίδιος με τον κωδικό πρόσβασης με τον οποίο έχετε ρυθμίσει το πλαίσιο. Αποδεχτείτε το πιστοποιητικό SSL που έχει υπογραφεί αυτόματα, εάν δεν έχετε δημιουργήσει ένα πιστοποιητικό "Κλείστε το κρυπτογράφησης" (Let's Encrypt) που έχει ρυθμιστεί για τον προεπιλεγμένο τομέα. Τώρα είστε έτοιμοι να συνομιλήσετε.
Click on the lock icon at the bottom of the screen and enter the password. It should then appear unlocked. If you don't unlock then any edits you make won't be saved.|Κάντε κλικ στο εικονίδιο κλειδώματος στο κάτω μέρος της οθόνης και πληκτρολογήστε τον κωδικό πρόσβασης. Στη συνέχεια θα πρέπει να εμφανίζεται ξεκλείδωτη. Εάν δεν ξεκλειδώσετε, τότε δεν θα αποθηκευτούν οι αλλαγές που κάνετε.
Collaborative document editor|Συντάκτης επεξεργασίας εγγράφων
Confirm backup password|Επιβεβαιώστε τον κωδικό ασφαλείας
Continue|Να συνεχίσει
Copy and paste the translations file and select 'update'.|Αντιγράψτε και επικολλήστε το αρχείο μεταφράσεων και επιλέξτε 'ενημέρωση'.
Copy and paste the translations file into your favorite editor.|Αντιγράψτε και επικολλήστε το αρχείο μεταφράσεων στον αγαπημένο σας επεξεργαστή.
Copy and paste this into an email or other messaging app and send it to the LibreServer project.|Αντιγράψτε και επικολλήστε το σε ένα email ή άλλη εφαρμογή ανταλλαγής μηνυμάτων και στείλτε το στο έργο LibreServer.
CPU temperature|Θερμοκρασία CPU
CPU usage|χρήση επεξεργαστή
Croatian|Κροατία
Czech|Τσέχος
Danish|δανικός
DAT Server|DAT Server
Databaseless blogging|Ιστοσελίδες χωρίς βάσεις δεδομένων
Databaseless wiki|Wiki χωρίς βάσεις δεδομένων
diagnostics|διάγνωσης
diagnostics log|διαγνωστικό αρχείο καταγραφής
Different versions of the same page on different servers are represented by boxes at the bottom right of the screen. You can double click on them to see the different versions, and use the flag icon to fork if you prefer that version|Διαφορετικές εκδόσεις της ίδιας σελίδας σε διαφορετικούς διακομιστές παρουσιάζονται με κουτάκια στην κάτω δεξιά γωνία της οθόνης. Μπορείτε να κάνετε διπλό κλικ πάνω τους για να δείτε τις διαφορετικές εκδόσεις και να χρησιμοποιήσετε το εικονίδιο της σημαίας στο πιρούνι αν προτιμάτε αυτή την έκδοση
Disk I/O Speed|Ταχύτητα εισόδου / εξόδου δίσκου
Disk space used|Χρησιμοποιείται χώρος στο δίσκο
DNS setup|Ρύθμιση DNS
Domain/User Blocking|Αποκλεισμός τομέων / χρηστών
Domain:|Τομέα:
Domain|Τομέα
Dutch|Ολλανδός
Dynamic DNS|Δυναμικό DNS
Edit your translations. The structure of this file is very simple. On the left is English text and on the right is translated text, with the vertical line character as a separator.|Επεξεργαστείτε τις μεταφράσεις σας. Η δομή αυτού του αρχείου είναι πολύ απλή. Στα αριστερά βρίσκεται το αγγλικό κείμενο και στα δεξιά το μεταφρασμένο κείμενο, με τον χαρακτήρα κάθετης γραμμής ως διαχωριστικό.
Edit, add or remove blocked domains or users. This applies to Email and XMPP addresses|Επεξεργασία, προσθήκη ή κατάργηση δεσμευμένων τομέων ή χρηστών. Αυτό ισχύει για τις διευθύνσεις Email και XMPP
