About|Acerca de
Accept|Aceptar
Accounts software can often be quite complex, and so you'll probably want to refer to the official documentation (https://akaunting.com/docs) for details.|El software de cuentas a menudo puede ser bastante complejo, por lo que probablemente desee consultar la documentación oficial (https://akaunting.com/docs) para obtener más información.
Add|Añadir
New Member|Agregar un nuevo usuario
Add custom emoji|Añadir emojis personalizados
Add mp3 or ogg files to a USB drive|Agregue archivos mp3 o ogg a una unidad USB
Add the following to your Emacs configuration file:|Agregue lo siguiente a su archivo de configuración de Emacs:
Add the Syncthing IDs for your other systems and devices here|Agregue los ID de sincronización para sus otros sistemas y dispositivos aquí
Add your dat links below|Agregue sus enlaces de dat a continuación
Add your RSS feeds here. Each line should be [title],[feed URL]|Agregue sus feeds RSS aquí. Cada línea debe ser [title], [feed URL]
Adding music|Agregar música
Afrikaans|africaans
Akaunting|Akaunting
Albanian|albanés
Allow new registrations|Permitir nuevos registros
An upgrade is scheduled|Una actualización está programada
App is being removed|La aplicación está siendo eliminada
App is scheduled to be installed|La aplicación está programada para ser instalada
Apps|Aplicaciones
Arabic|Arábica
Backup|Apoyo
Backup / Restore|Copia de seguridad de restauracion
Backup drive space used|Espacio de unidad de copia de seguridad utilizado
Backup has failed|La copia de seguridad falló
Backup in progress|Respaldo en proceso
Backup is complete|La copia de seguridad está completa
Backup of keys failed|La copia de seguridad de las llaves falló
Backup of keys is complete|La copia de seguridad de las teclas está completa
Backup your keys now?|Copia de seguridad de sus llaves ahora?
Basque|vasco
Beginning app install|Inicio de la instalación de la aplicación
Beginning removal of app|Inicio de la eliminación de la aplicación
Belarusian|Bielorruso
Bosnian|bosnio
Bulgarian|búlgaro
Cancel|Cancelar
Catalan|catalán
Chat system|Sistema de chat
Chinese (Simplified)|Chino simplificado)
Chinese (Traditional)|Chino tradicional)
Choose the language that you wish to translate from the list.|Elija el idioma que desea traducir de la lista.
Choose your language|Elige tu idioma
Classic chat system|Sistema de chat clásico
Click close and then connect.|Haga clic en Cerrar y luego conectarse.
Click on "add new" to add a new server and enter the domain name or onion address for the LibreServer, your username (which can be anything) and the VoIP server password which is the same as the password you set up the box with. Accept the self-signed SSL certificate if you don't have a Let's Encrypt certificate set up for your default domain. You are now ready to chat.|Haga clic en "agregar nuevo" para agregar un nuevo servidor e ingrese el nombre de dominio o la dirección de la cebolla para LibreServer, su nombre de usuario (que puede ser cualquier cosa) y la contraseña del servidor VoIP que es igual a la contraseña con la que configuró la caja. Acepte el certificado SSL autofirmado si no tiene configurado un certificado Let's Encrypt para su dominio predeterminado. Ahora estás listo para chatear.
