About|Noin
Accept|Hyväksyä
Accounts software can often be quite complex, and so you'll probably want to refer to the official documentation (https://akaunting.com/docs) for details.|Tilitysohjelmat voivat usein olla melko monimutkaisia, joten sinun kannattaa viitata viralliseen dokumentaatioon (https://akaunting.com/docs) yksityiskohdista.
Add|Lisätä
New Member|Lisää uusi käyttäjä
Add custom emoji|Lisää omia tunteita
Add mp3 or ogg files to a USB drive|Lisää mp3- tai ogg-tiedostoja USB-asemaan
Add the following to your Emacs configuration file:|Lisää seuraava Emacs-määritystiedostoon:
Add the Syncthing IDs for your other systems and devices here|Lisää tässä muiden järjestelmien ja laitteiden synkronointitunnukset
Add your dat links below|Lisää dat-linkit alla
Add your RSS feeds here. Each line should be [title],[feed URL]|Lisää RSS-syötteesi tähän. Jokainen rivi tulee olla [nimi], [syöttävä URL]
Adding music|Musiikin lisääminen
Afrikaans|afrikaans
Akaunting|Akaunting
Albanian|albanialainen
Allow new registrations|Salli uusia rekisteröintejä
An upgrade is scheduled|Päivitys on ajoitettu
App is being removed|Sovellus poistetaan
App is scheduled to be installed|App on suunniteltu asennettavaksi
Apps|sovellukset
Arabic|arabialainen
Backup|Varmuuskopioida
Backup / Restore|Varmuuskopio
Backup drive space used|Käytettävä varmuuskopiointityökalu
Backup has failed|Varmuuskopiointi epäonnistui
Backup in progress|Varmuuskopiointi käynnissä
Backup is complete|Varmuuskopiointi on valmis
Backup of keys failed|Avainten varmuuskopio epäonnistui
Backup of keys is complete|Avainten varmuuskopiointi on valmis
Backup your keys now?|Varmuuskopioi avaimet nyt?
Basque|baski
Beginning app install|Aloita sovelluksen asennus
Beginning removal of app|App
Belarusian|Valko
Bosnian|Bosnia
Bulgarian|bulgarialainen
Cancel|Peruuttaa
Catalan|katalaani
Chat system|Chat-järjestelmä
Chinese (Simplified)|Yksinkertaistettu kiina)
Chinese (Traditional)|Kiinalainen perinteinen)
Choose the language that you wish to translate from the list.|Valitse kieli, jonka haluat kääntää luettelosta.
Choose your language|Valitse kielesi
Classic chat system|Klassinen chat-järjestelmä
Click close and then connect.|Napsauta sulje ja yhdistä sitten.
Click on "add new" to add a new server and enter the domain name or onion address for the LibreServer, your username (which can be anything) and the VoIP server password which is the same as the password you set up the box with. Accept the self-signed SSL certificate if you don't have a Let's Encrypt certificate set up for your default domain. You are now ready to chat.|Napsauta "lisää uusi" lisätäksesi uuden palvelimen ja anna LibreServern verkkotunnuksen tai sipulin osoitteen, käyttäjänimesi (mikä voi olla mikä tahansa) ja VoIP-palvelimen salasanasta, joka on sama kuin salasanalla, jonka asetit laatikkoon. Hyväksy itse allekirjoitettu SSL-sertifikaatti, jos sinulla ei ole oletusdomeenille asetettua Salaa varmennetta. Olet nyt valmis keskustelemaan.
Click on the lock icon at the bottom of the screen and enter the password. It should then appear unlocked. If you don't unlock then any edits you make won't be saved.|Napsauta näytön alareunassa olevaa lukkokuvaketta ja kirjoita salasana. Sen pitäisi näyttää avautuneena. Jos et avata, kaikki tehdyt muokkaukset eivät tallennu.
Collaborative document editor|Yhteistoiminnallinen dokumentinmuokkaus
Confirm backup password|Varmista varmuuskopiosalasana
Continue|Jatkaa
Copy and paste the translations file and select 'update'.|Kopioi ja liitä käännöstiedosto ja valitse 'päivitä'.
Copy and paste the translations file into your favorite editor.|Kopioi ja liitä käännöstiedosto suosikkieditoriksi.
Copy and paste this into an email or other messaging app and send it to the LibreServer project.|Kopioi ja liitä tämä sähköpostiin tai muuhun viestintäohjelmaan ja lähetä se LibreServer-projektiin.
CPU temperature|CPU lämpötila
CPU usage|prosessorin käyttö
Croatian|kroaatti
Czech|czech
Danish|Tanskan kieli
DAT Server|DAT-palvelin
Databaseless blogging|Databaseless blogging
Databaseless wiki|Tietotaiton wiki
diagnostics|diagnostiikka
diagnostics log|diagnostiikkapäiväkirja
Different versions of the same page on different servers are represented by boxes at the bottom right of the screen. You can double click on them to see the different versions, and use the flag icon to fork if you prefer that version|Erilaisia ​​saman sivun versioita eri palvelimissa edustaa ruudut ruudun oikeassa alakulmassa. Voit kaksoisnapsauttaa niitä nähdäksesi eri versiot ja käyttää lippukuvaketta haarukkaan, jos haluat kyseisen version
Disk I/O Speed|Levy I / O-nopeus
Disk space used|Levytilaa käytetään
DNS setup|DNS-asetukset
Domain/User Blocking|Verkkotunnus / käyttäjän estäminen
Domain:|domain:
Domain|domain
Dutch|Hollannin kieli
Dynamic DNS|Dynaaminen DNS
Edit your translations. The structure of this file is very simple. On the left is English text and on the right is translated text, with the vertical line character as a separator.|Muokkaa käännöksiäsi. Tiedoston rakenne on hyvin yksinkertainen. Vasemmalla on englanninkielinen teksti ja oikealla on käännetty teksti, jossa pystysuora viiva merkki separatorina.
Edit, add or remove blocked domains or users. This applies to Email and XMPP addresses|Muokkaa, lisää tai poista estettyjä verkkotunnuksia tai käyttäjiä. Tämä koskee sähköposti- ja XMPP-osoitteita
Edith enable login|Edith kirjautuu sisään
Email system|Sähköpostijärjestelmä
Email/XMPP: USEREMAIL|Sähköposti / XMPP: USEREMAIL
Enable access via secure shell?|Sallitaan pääsy suojatun suojan kautta?
Enable Updates|Ota päivitykset käyttöön
English|Englanti
English (US)|Englanti me)
Ensure that dat files are always available|Varmista, että datatiedostot ovat aina käytettävissä
Ensure that tor is installed onto your local system:|Varmista, että tor on asennettu paikalliseen järjestelmään:
Enter a label (which can be any name you choose for the server), the default domain name of the LibreServer or preferably the mumble onion address, your username (which can also be anything) and the mumble password which is the same as the one you originally set up the box with. Leave the port number unchanged.|Anna etiketti (mikä tahansa palvelimelle valitsemasi nimi), LibreServern oletusnimialueen nimi tai mieluummin mumma sipuliosoite, käyttäjänimesi (joka voi olla myös mikä tahansa) ja salamansalaatti, joka on sama kuin olet alun perin asettanut laatikkoon. Jätä portin numero ennallaan.
Enter a password which will be used to protect the backup|Anna salasana, jota käytetään suojaamaan varmuuskopio
