About|Sur
Accept|Acceptez
Accounts software can often be quite complex, and so you'll probably want to refer to the official documentation (https://akaunting.com/docs) for details.|Les logiciels de comptabilité peuvent souvent être assez complexes et vous voudrez probablement vous référer à la documentation officielle (https://akaunting.com/docs) pour plus de détails.
Add|Ajouter
New Member|Ajouter un nouvel utilisateur
Add custom emoji|Ajouter un emoji personnalisé
Add mp3 or ogg files to a USB drive|Ajouter des fichiers mp3 ou ogg à un lecteur USB
Add the following to your Emacs configuration file:|Ajoutez ce qui suit à votre fichier de configuration Emacs:
Add the Syncthing IDs for your other systems and devices here|Ajouter les identifiants de synchronisation pour vos autres systèmes et périphériques ici
Add your dat links below|Ajoutez vos liens dat ci-dessous
Add your RSS feeds here. Each line should be [title],[feed URL]|Ajoutez vos flux RSS ici. Chaque ligne doit être [title], [URL du flux]
Adding music|Ajouter de la musique
Afrikaans|afrikaans
Akaunting|Akaunting
Albanian|albanais
Allow new registrations|Autoriser les nouvelles inscriptions
An upgrade is scheduled|Une mise à niveau est prévue
App is being removed|L'application est en cours de suppression
App is scheduled to be installed|L'application doit être installée
Apps|applications
Arabic|arabe
Backup|Sauvegarde
Backup / Restore|Restauration de sauvegarde
Backup drive space used|Espace disque de sauvegarde utilisé
Backup has failed|La sauvegarde a échoué
Backup in progress|Sauvegarde en cours
Backup is complete|La sauvegarde est terminée
Backup of keys failed|La sauvegarde des clés a échoué
Backup of keys is complete|La sauvegarde des clés est terminée
Backup your keys now?|Sauvegardez vos clés maintenant?
Basque|basque
Beginning app install|Installer l'application
Beginning removal of app|Début du retrait de l'application
Belarusian|Biélorusse
Bosnian|Bosniaque
Bulgarian|bulgare
Cancel|Annuler
Catalan|catalan
Chat system|Système de chat
Chinese (Simplified)|Chinois simplifié)
Chinese (Traditional)|Chinois traditionnel
Choose the language that you wish to translate from the list.|Choisissez la langue que vous souhaitez traduire dans la liste.
Choose your language|Choisissez votre langue
Classic chat system|Système de discussion classique
Click close and then connect.|Cliquez sur Fermer puis connectez-vous.
Click on "add new" to add a new server and enter the domain name or onion address for the LibreServer, your username (which can be anything) and the VoIP server password which is the same as the password you set up the box with. Accept the self-signed SSL certificate if you don't have a Let's Encrypt certificate set up for your default domain. You are now ready to chat.|Cliquez sur "Ajouter nouveau" pour ajouter un nouveau serveur et entrez le nom de domaine ou l'adresse d'oignon pour la LibreServer, votre nom d'utilisateur (qui peut être n'importe quoi) et le mot de passe du serveur VoIP identique au mot de passe que vous avez défini. Acceptez le certificat SSL auto-signé si vous n'avez pas de certificat Let's Encrypt configuré pour votre domaine par défaut. Vous êtes maintenant prêt à discuter.
Click on the lock icon at the bottom of the screen and enter the password. It should then appear unlocked. If you don't unlock then any edits you make won't be saved.|Cliquez sur l'icône de verrouillage en bas de l'écran et entrez le mot de passe. Il devrait alors apparaître déverrouillé. Si vous ne débloquez pas, toutes les modifications que vous apportez ne seront pas enregistrées.
Collaborative document editor|Editeur de documents collaboratif
Confirm backup password|Confirmer le mot de passe de sauvegarde
Continue|Continuer
Copy and paste the translations file and select 'update'.|Copiez et collez le fichier de traductions et sélectionnez «mettre à jour».
Copy and paste the translations file into your favorite editor.|Copiez et collez le fichier de traductions dans votre éditeur favori.
Copy and paste this into an email or other messaging app and send it to the LibreServer project.|Copiez et collez-le dans un e-mail ou une autre application de messagerie et envoyez-le au projet LibreServer.
CPU temperature|Température du processeur
CPU usage|l'utilisation du processeur
Croatian|croate
Czech|tchèque
Danish|danois
DAT Server|Serveur DAT
Databaseless blogging|Blogage sans données
Databaseless wiki|Wiki sans données
diagnostics|diagnostic
diagnostics log|journal de diagnostic
Different versions of the same page on different servers are represented by boxes at the bottom right of the screen. You can double click on them to see the different versions, and use the flag icon to fork if you prefer that version|Différentes versions de la même page sur différents serveurs sont représentées par des cases en bas à droite de l'écran. Vous pouvez double-cliquer dessus pour voir les différentes versions, et utiliser l’icône de drapeau pour faire un saut si vous préférez cette version.
Disk I/O Speed|Vitesse d'E / S du disque
Disk space used|Espace disque utilisé
DNS setup|Configuration DNS
Domain/User Blocking|Blocage de domaine / utilisateur
Domain:|Domaine:
Domain|Domaine
Dutch|néerlandais
Dynamic DNS|DNS dynamique
Edit your translations. The structure of this file is very simple. On the left is English text and on the right is translated text, with the vertical line character as a separator.|Modifiez vos traductions. La structure de ce fichier est très simple. À gauche, le texte en anglais et à droite le texte traduit, avec le caractère de la ligne verticale comme séparateur.
Edit, add or remove blocked domains or users. This applies to Email and XMPP addresses|Modifier, ajouter ou supprimer des domaines ou des utilisateurs bloqués. Cela s'applique aux adresses email et XMPP
Edith enable login|Edith activer la connexion
Email system|Système de messagerie
