About|על אודות
Accept|לְקַבֵּל
Accounts software can often be quite complex, and so you'll probably want to refer to the official documentation (https://akaunting.com/docs) for details.|תוכנת חשבונות יכול להיות מורכב למדי, ולכן אתה בטח רוצה להתייחס לתיעוד הרשמי (https://akaunting.com/docs) לפרטים.
Add|לְהוֹסִיף
New Member|הוסף משתמש חדש
Add custom emoji|הוסף אמוג'י מותאם אישית
Add mp3 or ogg files to a USB drive|הוסף קבצי MP3 או ogg לכונן USB
Add the following to your Emacs configuration file:|הוסף את הקבצים הבאים לקובץ התצורה של Emacs:
Add the Syncthing IDs for your other systems and devices here|הוסף את מזהי הסינכרון עבור המערכות וההתקנים האחרים שלך כאן
Add your dat links below|הוסף את הקישורים dat שלך למטה
Add your RSS feeds here. Each line should be [title],[feed URL]|הוסף את הזנות RSS שלך כאן. כל שורה צריכה להיות [כותרת], [עדכון כתובת אתר]
Adding music|הוספת מוסיקה
Afrikaans|אפריקנס
Akaunting|מקוננת
Albanian|אלבנית
Allow new registrations|אפשר רישומים חדשים
An upgrade is scheduled|שדרוג מתוכנן
App is being removed|האפליקציה מוסרת
App is scheduled to be installed|האפליקציה אמורה להיות מותקנת
Apps|יישומים
Arabic|עֲרָבִית
Backup|גיבוי
Backup / Restore|שחזור גיבוי
Backup drive space used|שטח כונן גיבוי בשימוש
Backup has failed|הגיבוי נכשל
Backup in progress|גיבוי בתהליך
Backup is complete|הגיבוי הושלם
Backup of keys failed|גיבוי המפתחות נכשל
Backup of keys is complete|גיבוי המפתחות הושלם
Backup your keys now?|גיבוי המפתחות שלך עכשיו?
Basque|הבאסקים
Beginning app install|מתחיל בהתקנת אפליקציה
Beginning removal of app|תחילת הסרה של אפליקציה
Belarusian|בלארוסית
Bosnian|בוסנית
Bulgarian|בולגרית
Cancel|לְבַטֵל
Catalan|קטלאנית
Chat system|מערכת צ'אט
Chinese (Simplified)|סינית מופשטת)
Chinese (Traditional)|מסורת סינית)
Choose the language that you wish to translate from the list.|בחר את השפה שברצונך לתרגם מהרשימה.
Choose your language|בחר את השפה שלך
Classic chat system|מערכת צ'אט קלאסית
Click close and then connect.|לחץ על סגור ולאחר מכן התחבר.
Click on "add new" to add a new server and enter the domain name or onion address for the LibreServer, your username (which can be anything) and the VoIP server password which is the same as the password you set up the box with. Accept the self-signed SSL certificate if you don't have a Let's Encrypt certificate set up for your default domain. You are now ready to chat.|לחץ על "הוסף חדש" כדי להוסיף שרת חדש והזן את שם התחום או כתובת בצל עבור LibreServer, שם המשתמש שלך (אשר יכול להיות כל דבר) ואת סיסמת שרת ה- VoIP אשר זהה הסיסמה שהגדרת את התיבה עם. קבל את אישור SSL החתימה העצמית אם אין לך אישור של 'הצפן הצפנה' עבור דומיין ברירת המחדל שלך. כעת אתה מוכן לשוחח בצ'אט.
Click on the lock icon at the bottom of the screen and enter the password. It should then appear unlocked. If you don't unlock then any edits you make won't be saved.|לחץ על סמל המנעול בתחתית המסך והזן את הסיסמה. אז זה צריך להיות נעול. אם לא תבטל את הנעילה, כל העריכות שתבצע לא יישמרו.
Collaborative document editor|עורך מסמכים שיתופי
Confirm backup password|אשר את סיסמת הגיבוי
Continue|לְהַמשִׁיך
Copy and paste the translations file and select 'update'.|העתק והדבק את קובץ התרגומים ובחר 'עדכן'.
Copy and paste the translations file into your favorite editor.|העתק והדבק את קובץ התרגומים לעורך המועדף עליך.
Copy and paste this into an email or other messaging app and send it to the LibreServer project.|העתק והדבק זאת בדוא"ל או באפליקציית העברת הודעות אחרת ושלח אותו לפרויקט LibreServer.
CPU temperature|טמפרטורת המעבד
CPU usage|השימוש ב- CPU
Croatian|קרואטית
Czech|צ'כית
Danish|דַנִי
DAT Server|שרת DAT
Databaseless blogging|בלוגים ללא דופי
Databaseless wiki|ויקיציטוט
diagnostics|אבחון
diagnostics log|יומן אבחון
Different versions of the same page on different servers are represented by boxes at the bottom right of the screen. You can double click on them to see the different versions, and use the flag icon to fork if you prefer that version|גרסאות שונות של אותו דף בשרתים שונים מיוצגות על ידי תיבות בפינה השמאלית התחתונה של המסך. אתה יכול ללחוץ לחיצה כפולה על אותם כדי לראות את הגרסאות השונות, ולהשתמש סמל דגל למזלג אם אתה מעדיף את הגירסה
Disk I/O Speed|דיסק I / O מהירות
Disk space used|שטח דיסק בשימוש
DNS setup|הגדרת DNS
Domain/User Blocking|תחום / חסימת משתמשים
Domain:|תְחוּם:
Domain|תְחוּם
Dutch|הוֹלַנדִי
Dynamic DNS|DNS דינמי
Edit your translations. The structure of this file is very simple. On the left is English text and on the right is translated text, with the vertical line character as a separator.|ערוך את התרגומים שלך. מבנה הקובץ הוא פשוט מאוד. בצד שמאל מופיע טקסט באנגלית, מימין טקסט מתורגם, עם תו קו אנכי כמפריד.
Edit, add or remove blocked domains or users. This applies to Email and XMPP addresses|עריכה, הוספה או הסרה של דומיינים או משתמשים חסומים. הדבר חל על כתובות אימייל ו- XMPP
Edith enable login|Edith לאפשר התחברות
Email system|מערכת אימייל
Email/XMPP: USEREMAIL|דוא"ל / XMPP: USEREMAIL
Enable access via secure shell?|אפשר גישה באמצעות פגז מאובטח?
Enable Updates|הפעל עדכונים
English|אנגלית
English (US)|אנגלית ארה"ב)
Ensure that dat files are always available|ודא שקובצי dat זמינים תמיד
Ensure that tor is installed onto your local system:|ודא כי טור מותקן על המערכת המקומית שלך:
Enter a label (which can be any name you choose for the server), the default domain name of the LibreServer or preferably the mumble onion address, your username (which can also be anything) and the mumble password which is the same as the one you originally set up the box with. Leave the port number unchanged.|הזן תווית (אשר יכול להיות כל שם שתבחר עבור השרת), את שם הדומיין של ברירת המחדל של LibreServer או רצוי את כתובת בצל מלמול, שם המשתמש שלך (אשר יכול גם להיות כל דבר) ואת הסיסמה מלמול שהוא זהה אתה במקור להגדיר את התיבה עם. השאר את מספר היציאה ללא שינוי.
Enter a password which will be used to protect the backup|הזן סיסמה שתשמש להגנה על הגיבוי
Enter first and second nicknames and check connect to this network on startup.|הזן כינויים ראשון ושני ובדוק להתחבר לרשת זו בעת האתחול.
Estonian|אסטונית
Everything installed will be lost|הכל מותקן יאבדו
Extremely simple note taking|הערה פשוטה מאוד לוקח
Factory reset is in progress|האיפוס של היצרן נמצא בתהליך
Farsi|פרסית
Favicon|סמל Favicon
Federated image sharing|שיתוף תמונות מאוחד
Federated microblogging|מיקרובלוגים מאוחדים
Federated social network|רשת חברתית מאוחדת
Federated wiki|ויקי
File storage and sync|אחסון קבצים וסנכרון
File synchronization|סינכרון קבצים
Filipino|פיליפינית
Finnish|פִינִית
First ensure that tor is installed. Within a terminal:|ראשית לוודא טור מותקן. בתוך מסוף:
For details see the diagnostics|לפרטים ראה את האבחון
For details see:|לפרטים ראה:
For further information see the website at https://libreserver.org|לקבלת מידע נוסף ראה את האתר בכתובת https://libreserver.org
For the initial login use username: admin password admin|עבור שם המשתמש ההתחברות ההתחברות: admin admin admin
For the Jabber ID enter the email address from your LibreServer user settings|עבור מזהה ג'אבר הזן את כתובת הדואר האלקטרוני מתוך הגדרות המשתמש Freedomone
For the password use the password which you initially wrote down or stored during the setup of the LibreServer system|עבור הסיסמה השתמש בסיסמה שבה רשמת או נשמרת בתחילה במהלך ההתקנה של מערכת LibreServer
Forward port 80 and 443 from your internet router|העבר יציאה 80 ו -443 מהנתב שלך לאינטרנט
Forward the following ports from your internet router:|העבר את היציאות הבאות מהנתב שלך לאינטרנט:
Forward the port 64738 from your internet router|העבר את הנמל 64738 מנתב האינטרנט שלך
Forward the port 6697 from your internet router|העבר את הנמל 6697 מנתב האינטרנט שלך
Forward the port 8448 from your internet router|העבר את היציאה 8448 מהנתב שלך לאינטרנט
FreeDNS code:|קוד FreeDNS:
LibreServer started in 2013. It was initially based on the Beaglebone Black hardware and inspired by the FreedomBox idea of an inexpensive and simple to manage internet server for the home.|LibreServer התחיל בשנת 2013. זה היה מבוסס בתחילה על חומרה Beaglebone שחור בהשראת הרעיון FreedomBox של שרת אינטרנט זול ופשוט לניהול עבור הבית.
French|צָרְפָתִית
French (Canada)|צרפתית (קנדה)
From the initial screen select 'settings' then 'language'.|מהמסך הראשוני בחר 'הגדרות' ולאחר מכן 'שפה'.
From the menu select 'Configure' then 'Settings'. Select the 'Advanced' checkbox then select 'Network'. Select 'Force TCP mode' and proxy type 'Socks5'. Hostname should be set to 'localhost' and port should be 9050.|מהתפריט בחר 'הגדרות' ולאחר מכן 'הגדרות'. בחר בתיבת הסימון 'מתקדם' ולאחר מכן בחר 'רשת'. בחר 'כפה מצב TCP' וסוג proxy 'Socks5'. שם המארח צריך להיות מוגדר כ- localhost ויציאה צריכה להיות 9050.
Gaelic|גאלי
Gallego|גאלגו
Georgian|גיאורגית
German|גֶרמָנִיָת
German (Personal)|גרמנית (אישית)
Git repo management|Git ריפו וניהול
Go Back|תחזור
Go back to the F-droid initial screen and update the repositories by swiping downwards. You'll see it say "updating repositories". This might take a few minutes.|חזור למסך הראשוני של F-droid ועדכן את המאגרים על ידי החלקה כלפי מטה. תראה את זה אומר "עדכון מאגרים". זה עשוי לקחת כמה דקות. Go back to the initial screen of the Conversations app, select the menu again, then 'Manage accounts'. Add an account by selecting the person icon with the plus next to it.|חזור למסך ההתחלתי של האפליקציה 'שיחות', בחר שוב בתפריט ולאחר מכן 'נהל חשבונות'. הוסף חשבון על ידי בחירה בסמל האדם עם הסימן לידו.
Gitea allow new registrations|Gitea מאפשרים רישומים חדשים
Greek|יווני
Gujarati|גוג'ראטית
Have you written down or saved the login credentials and removed any backup drives from the system?|האם רשמת או שמרת את פרטי הכניסה והוצאת את כל כונני הגיבוי מהמערכת?
Hebrew|עִברִית
Help|עֶזרָה
Helps caregivers track sleep, feedings, diaper changes, and tummy time|עוזר למטפלים לעקוב אחר שינה, האכלה, שינויים חיתולים, ובזמן בטן
Helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict babys needs without as much guess work.|עוזרת למטפלים לעקוב אחר שינה, האכלה, שינויים חיתולים, ובטן זמן ללמוד על חיזוי הצרכים Babys בלי לעבוד כמו לנחש.
here|כאן
HexChat (formerly XChat) is compatible with proxying via Tor and so provides the best security when connecting to your IRC server. It will allow you to connect to your IRC server's onion address.|HexChat (לשעבר XChat) תואם proxying דרך Tor ולכן מספק את האבטחה הטובה ביותר בעת חיבור לשרת IRC שלך. זה יאפשר לך להתחבר לכתובת בצל של שרת IRC שלך.
Hindi|הינדי
How to do translations|איך לעשות תרגומים
Hungarian|הוּנגָרִי
Icecast|Icecast
Icecast is quite CPU intensive. For example on an A20 based system it takes about 70% of the CPU resource. This is something to be aware of if you're running multiple apps|Icecast הוא די אינטנסיבי CPU. לדוגמה על מערכת מבוססת A20 זה לוקח בערך 70% של המשאב CPU. זה משהו להיות מודע אם אתה מפעיל יישומים מרובים
Icecast is updating|Icecast מעדכן
Icelandic|איסלנדית
Icons on the website and user interfaces are by Rashid Mhar.|סמלים באתר וממשקי משתמש הם על ידי רשיד מהר.
If you are an Emacs user then you can also connect to your IRC server via Emacs.|אם אתה משתמש Emacs אז אתה יכול גם להתחבר לשרת IRC שלך באמצעות Emacs.
If you are using the onion address then use SSL should be unchecked and the transport encryption will be handled via the onion address itself.|אם אתה משתמש בכתובת בצל אז להשתמש SSL צריך להיות מסומנת והצפנה התחבורה יטופלו באמצעות כתובת בצל עצמו.
If you are using the ordinary domain name (clearnet/ICANN) then make sure that Use SSL is checked.|אם אתה משתמש בשם תחום רגיל (clearnet / ICANN) ולאחר מכן ודא כי השתמש SSL מסומנת.
If you don't have a domain then just select Continue|אם אין לך דומיין אז בחר באפשרות המשך
If you don't have Orbot installed then enable The Guardian Project repository from the drop down menu and install it.|אם אין לך Orbot מותקן ואז להפעיל את המאגר Project Guardian מהתפריט הנפתח ולהתקין אותו.
If you don't need a password then just leave this blank and select Update|אם אתה לא צריך סיסמה ואז פשוט להשאיר את זה ריק ובחר עדכון
If you have a USB plugged in leave it inserted until you can confirm that the stream is working|אם יש לך USB מחובר לחשמל, הוסף אותו עד שתוכל לאשר שהזרם פועל
If you have trouble accessing onion addresses paste some Tor bridges below. See https://bridges.torproject.org/bridges|אם אתה נתקל בבעיות גישה כתובות בצל להדביק כמה גשרי טור להלן. ראה https://bridges.torproject.org/bridges
