About|के बारे में
Accept|स्वीकार करना
Accounts software can often be quite complex, and so you'll probably want to refer to the official documentation (https://akaunting.com/docs) for details.|लेखा सॉफ्टवेयर अक्सर जटिल हो सकते हैं, और इसलिए आप विवरण के लिए आधिकारिक दस्तावेज (https://akaunting.com/docs) का उल्लेख करना चाहेंगे।
Add|जोड़ना
New Member|एक नया उपयोगकर्ता जोड़ें
Add custom emoji|कस्टम इमोजी जोड़ें
Add mp3 or ogg files to a USB drive|एक यूएसबी ड्राइव में एमपी 3 या ogg फ़ाइलों को जोड़ें
Add the following to your Emacs configuration file:|अपने Emacs कॉन्फ़िगरेशन फ़ाइल में निम्न जोड़ें:
Add the Syncthing IDs for your other systems and devices here|यहां अपने अन्य सिस्टम और उपकरणों के लिए सिंकिंग आईडी जोड़ें
Add your dat links below|नीचे अपने डेटा लिंक जोड़ें
Add your RSS feeds here. Each line should be [title],[feed URL]|यहां अपने आरएसएस फ़ीड जोड़ें। प्रत्येक पंक्ति [शीर्षक] होना चाहिए, [फ़ीड यूआरएल]
Adding music|संगीत जोड़ना
Afrikaans|अफ्रीकी
Akaunting|Akaunting
Albanian|अल्बानियन
Allow new registrations|नए पंजीकरण की अनुमति दें
An upgrade is scheduled|एक अपग्रेड निर्धारित है
App is being removed|ऐप हटाया जा रहा है
App is scheduled to be installed|ऐप स्थापित करने के लिए निर्धारित है
Apps|ऐप्स
Arabic|अरबी
Backup|बैकअप
Backup / Restore|बैकअप बहाल
Backup drive space used|बैकअप ड्राइव स्थान का इस्तेमाल किया
Backup has failed|बैकअप विफल रहा है
Backup in progress|बैकअप की प्रगति
Backup is complete|बैकअप पूरा हो गया है
Backup of keys failed|कुंजी का बैकअप विफल रहा
Backup of keys is complete|चाबियों का बैकअप पूरा हो गया है
Backup your keys now?|अब अपनी चाबियाँ बैकअप करें?
Basque|बस्क
Beginning app install|ऐप इंस्टॉल शुरू करना
Beginning removal of app|ऐप को हटाने की शुरुआत
Belarusian|बेलारूसी
Bosnian|बोस्नियाई
Bulgarian|बल्गेरियाई
Cancel|रद्द करना
Catalan|कैटलन
Chat system|चैट सिस्टम
Chinese (Simplified)|सरलीकृत चीनी)
Chinese (Traditional)|चीनी पारंपरिक)
Choose the language that you wish to translate from the list.|उस भाषा का चयन करें जिसे आप सूची से अनुवाद करना चाहते हैं।
Choose your language|अपनी भाषा चुनिए
Classic chat system|क्लासिक चैट सिस्टम
