About|Um
Accept|Samþykkja
Accounts software can often be quite complex, and so you'll probably want to refer to the official documentation (https://akaunting.com/docs) for details.|Reikningur hugbúnaður getur oft verið mjög flókið, og þú munt líklega vilja vísa til opinberra skjala (https://akaunting.com/docs) til að fá nánari upplýsingar.
Add|Bæta við
New Member|Bættu við nýjum notanda
Add custom emoji|Bæta við sérsniðnum emoji
Add mp3 or ogg files to a USB drive|Bættu mp3 eða ogg skrám við USB drif
Add the following to your Emacs configuration file:|Bættu eftirfarandi við Emacs stillingarskránum þínum:
Add the Syncthing IDs for your other systems and devices here|Bættu við Syncthing IDs fyrir önnur kerfi og tæki hér
Add your dat links below|Bættu við tenglinum þínum hér að neðan
Add your RSS feeds here. Each line should be [title],[feed URL]|Bættu við RSS straumum þínum hér. Hver lína ætti að vera [titill], [fæða slóð]
Adding music|Bætir við tónlist
Afrikaans|Afríku
Akaunting|Akaunting
Albanian|Albanska
Allow new registrations|Leyfa nýjum skráningum
An upgrade is scheduled|Uppfærsla er áætlað
App is being removed|Forritið er að fjarlægja
App is scheduled to be installed|App er áætlað að vera uppsett
Apps|Forrit
Arabic|Arabíska
Backup|Öryggisafrit
Backup / Restore|Afritun / Endurheimta
Backup drive space used|Afritunarritunarrými notað
Backup has failed|Afritun hefur mistekist
Backup in progress|Varabúnaður í gangi
Backup is complete|Afritun er lokið
Backup of keys failed|Öryggisafrit af lyklum mistókst
Backup of keys is complete|Afritun lykla er lokið
Backup your keys now?|Afritaðu lyklana núna?
Basque|Baskneska
Beginning app install|Byrjar að setja upp forrit
Beginning removal of app|Byrjar að fjarlægja forrit
Belarusian|Hvítrússneska
Bosnian|Bosníska
Bulgarian|Búlgarska
Cancel|Hætta við
Catalan|Katalónska
Chat system|Spjallkerfi
Chinese (Simplified)|Kínverska (einfölduð)
Chinese (Traditional)|Kínverska (hefðbundin)
Choose the language that you wish to translate from the list.|Veldu tungumálið sem þú vilt þýða úr listanum.
Choose your language|Veldu tungumálið þitt
Classic chat system|Classic spjallkerfi
Click close and then connect.|Smelltu á loka og tengdu síðan.
Click on "add new" to add a new server and enter the domain name or onion address for the LibreServer, your username (which can be anything) and the VoIP server password which is the same as the password you set up the box with. Accept the self-signed SSL certificate if you don't have a Let's Encrypt certificate set up for your default domain. You are now ready to chat.|Smelltu á "bæta við nýjum" til að bæta við nýjum miðlara og sláðu inn lén eða laukfangið fyrir LibreServer, notendanafnið þitt (sem getur verið nokkuð) og lykilorð VoIP-þjónninnar sem er það sama og lykilorðið sem þú setur upp í reitinn með. Samþykkja SSL-vottorðið sem hefur verið undirritað sjálfkrafa ef þú ert ekki með skírteinið um leturskírteini fyrir sjálfgefinn lén. Þú ert nú tilbúinn til að spjalla.
Click on the lock icon at the bottom of the screen and enter the password. It should then appear unlocked. If you don't unlock then any edits you make won't be saved.|Smelltu á læsa táknið neðst á skjánum og sláðu inn lykilorðið. Það ætti þá að birtast opið. Ef þú opnar ekki þá verða ekki vistaðar breytingar sem þú gerir.
Collaborative document editor|Samstarf skjal ritstjóri
Confirm backup password|Staðfestu öryggisafrit lykilorð
Continue|Haltu áfram
Copy and paste the translations file and select 'update'.|Afritaðu og líma þýðingarskráina og veldu 'uppfæra'.
Copy and paste the translations file into your favorite editor.|Afritaðu og límtu þýðingarskrána í uppáhalds ritilinn þinn.
Copy and paste this into an email or other messaging app and send it to the LibreServer project.|Afritaðu og límdu þetta í tölvupósti eða annað skilaboðapapp og sendu það í LibreServer verkefnið.
CPU temperature|CPU hitastig
