about|Di
Accept|Accettare
Accounts software can often be quite complex, and so you'll probably want to refer to the official documentation (https://akaunting.com/docs) for details.|Il software di contabilità può essere spesso piuttosto complesso e quindi probabilmente vorrai fare riferimento alla documentazione ufficiale (https://akaunting.com/docs) per i dettagli.
Add|Inserisci
New Member|Aggiungi un nuovo utente
Add custom emoji|Aggiungi emoji personalizzate
Add mp3 or ogg files to a USB drive|Aggiungi file mp3 o ogg a un'unità USB
Add the following to your Emacs configuration file:|Aggiungi quanto segue al tuo file di configurazione di Emacs:
Add the Syncthing IDs for your other systems and devices here|Aggiungi qui gli ID di sincronizzazione per gli altri tuoi sistemi e dispositivi
Add your dat links below|Aggiungi i tuoi link dat qui sotto
Add your RSS feeds here. Each line should be [title],[feed URL]|Aggiungi i tuoi feed RSS qui. Ogni riga deve essere [titolo], [URL feed]
Adding music|Aggiungere musica
Afrikaans|afrikaans
Akaunting|Akaunting
Albanian|albanese
Allow new registrations|Consenti nuove registrazioni
An upgrade is scheduled|È previsto un aggiornamento
App is being removed|L'app è stata rimossa
App is scheduled to be installed|L'app è programmata per essere installata
Apps|applicazioni
Arabic|Arabo
Backup|di riserva
Backup / Restore|Ripristinare il backup
Backup drive space used|Spazio su disco di backup utilizzato
Backup has failed|Il backup non è riuscito
Backup in progress|Backup in corso
Backup is complete|Il backup è completo
Backup of keys failed|Il backup delle chiavi non è riuscito
Backup of keys is complete|Il backup delle chiavi è completo
Backup your keys now?|Fai il backup delle tue chiavi adesso?
Basque|basco
Beginning app install|Inizio dell'installazione dell'app
Beginning removal of app|Inizio della rimozione dell'app
Belarusian|bielorusso
Bosnian|bosniaco
Bulgarian|bulgaro
Cancel|Annulla
Catalan|catalano
Chat system|Sistema di chat
Chinese (Simplified)|Cinese semplificato)
Chinese (Traditional)|Cinese tradizionale)
Choose the language that you wish to translate from the list.|Scegli la lingua che desideri tradurre dall'elenco.
Choose your language|scegli la tua LINGUA
Classic chat system|Sistema di chat classico
Click close and then connect.|Fai clic chiudi e quindi connettiti.
Click on "add new" to add a new server and enter the domain name or onion address for the LibreServer, your username (which can be anything) and the VoIP server password which is the same as the password you set up the box with. Accept the self-signed SSL certificate if you don't have a Let's Encrypt certificate set up for your default domain. You are now ready to chat.|Fai clic su "aggiungi nuovo" per aggiungere un nuovo server e inserisci il nome del dominio o l'indirizzo di cipolla per LibreServer, il tuo nome utente (che può essere qualsiasi cosa) e la password del server VoIP che è la stessa della password con cui hai impostato la casella. Accetta il certificato SSL autofirmato se non hai un certificato Let's Encrypt impostato per il tuo dominio predefinito. Ora sei pronto per chattare.
Click on the lock icon at the bottom of the screen and enter the password. It should then appear unlocked. If you don't unlock then any edits you make won't be saved.|Fai clic sull'icona del lucchetto nella parte inferiore dello schermo e inserisci la password. Dovrebbe quindi apparire sbloccato. Se non si sblocca, tutte le modifiche apportate non verranno salvate.
Collaborative document editor|Editor di documenti collaborativo
Confirm backup password|Conferma la password di backup
Continue|Continua
Copy and paste the translations file and select 'update'.|Copia e incolla il file di traduzione e seleziona "aggiorna".
Copy and paste the translations file into your favorite editor.|Copia e incolla il file di traduzione nel tuo editor preferito.
Copy and paste this into an email or other messaging app and send it to the LibreServer project.|Copia e incolla questo in un'e-mail o altra app di messaggistica e invialo al progetto LibreServer.
CPU temperature|Temperatura della CPU
CPU usage|uso della CPU
Croatian|croato
Czech|ceco
Danish|danese
DAT Server|Server DAT
Databaseless blogging|Blogging senza database
Databaseless wiki|Wiki senza database
diagnostics|diagnostica
diagnostics log|registro di diagnostica
Different versions of the same page on different servers are represented by boxes at the bottom right of the screen. You can double click on them to see the different versions, and use the flag icon to fork if you prefer that version|Versioni diverse della stessa pagina su server diversi sono rappresentate da caselle in basso a destra dello schermo. È possibile fare doppio clic su di essi per vedere le diverse versioni e utilizzare l'icona della bandiera sul bivio se si preferisce quella versione
Disk I/O Speed|Velocità I / O del disco
Disk space used|Spazio su disco utilizzato
DNS setup|Configurazione DNS
Domain/User Blocking|Dominio / Blocco utente
Domain:|Dominio:
Domain|Dominio
Dutch|olandese
Dynamic DNS|DNS dinamico
Edit your translations. The structure of this file is very simple. On the left is English text and on the right is translated text, with the vertical line character as a separator.|Modifica le tue traduzioni. La struttura di questo file è molto semplice. A sinistra c'è il testo in inglese ea destra il testo tradotto, con il carattere di linea verticale come separatore.
Edit, add or remove blocked domains or users. This applies to Email and XMPP addresses|Modifica, aggiungi o rimuovi domini o utenti bloccati. Questo si applica agli indirizzi Email e XMPP
Edith enable login|Edith abilita il login
Email system|Sistema di posta elettronica
Email/XMPP: USEREMAIL|Email / XMPP: USEREMAIL
Enable access via secure shell?|Abilitare l'accesso tramite shell sicura?
Enable Updates|Abilita aggiornamenti
English|Inglese
English (US)|Inglese (Stati Uniti)
Ensure that dat files are always available|Assicurarsi che i file dat siano sempre disponibili
Ensure that tor is installed onto your local system:|Assicurati che tor sia installato sul tuo sistema locale:
Enter a label (which can be any name you choose for the server), the default domain name of the LibreServer or preferably the mumble onion address, your username (which can also be anything) and the mumble password which is the same as the one you originally set up the box with. Leave the port number unchanged.|Inserisci un'etichetta (che può essere qualsiasi nome tu scelga per il server), il nome di dominio predefinito di LibreServer o preferibilmente l'indirizzo di mumble onion, il tuo nome utente (che può anche essere qualsiasi cosa) e la password mumble che è la stessa di quella in origine hai impostato la scatola con. Lascia il numero di porta invariato.
Enter a password which will be used to protect the backup|Immettere una password che verrà utilizzata per proteggere il backup
Enter first and second nicknames and check connect to this network on startup.|Inserisci il primo e il secondo nickname e verifica la connessione a questa rete all'avvio.
Estonian|estone
Everything installed will be lost|Tutto ciò che è installato andrà perso
Extremely simple note taking|Prendere appunti estremamente semplice
Factory reset is in progress|Il ripristino dei dati è in corso
Farsi|Farsi
Favicon|favicon
Federated image sharing|Condivisione di immagini federate
Federated microblogging|Microblogging federato
Federated social network|Social network federato
Federated wiki|Wiki federato
File storage and sync|Archiviazione e sincronizzazione dei file
File synchronization|Sincronizzazione dei file
Filipino|filippina
Finnish|finlandese
First ensure that tor is installed. Within a terminal:|Prima assicurati che tor sia installato. All'interno di un terminale:
For details see the diagnostics|Per dettagli vedi la diagnostica
For details see:|Per dettagli vedi:
For further information see the website at https://libreserver.org|Per ulteriori informazioni consultare il sito Web all'indirizzo https://libreserver.org
For the initial login use username: admin password admin|Per il login iniziale usa username: admin password admin
For the Jabber ID enter the email address from your LibreServer user settings|Per l'ID Jabber inserisci l'indirizzo email dalle impostazioni utente di LibreServer
For the password use the password which you initially wrote down or stored during the setup of the LibreServer system|Per la password usa la password che hai inizialmente annotato o memorizzato durante l'installazione del sistema LibreServer
Forward port 80 and 443 from your internet router|Inoltra le porte 80 e 443 dal tuo router internet
Forward the following ports from your internet router:|Inoltra le seguenti porte dal tuo router internet:
Forward the port 64738 from your internet router|Inoltra la porta 64738 dal tuo router internet
Forward the port 6697 from your internet router|Inoltra la porta 6697 dal tuo router internet
Forward the port 8448 from your internet router|Inoltra la porta 8448 dal tuo router internet
FreeDNS code:|Codice FreeDNS:
LibreServer started in 2013. It was initially based on the Beaglebone Black hardware and inspired by the FreedomBox idea of an inexpensive and simple to manage internet server for the home.|LibreServer è nato nel 2013. Inizialmente basato sull'hardware Beaglebone Black e ispirato all'idea di FreedomBox di un server internet economico e semplice da gestire per la casa.
French|francese
French (Canada)|Francese (Canada)
From the initial screen select 'settings' then 'language'.|Dalla schermata iniziale selezionare "impostazioni" quindi "lingua".
From the menu select 'Configure' then 'Settings'. Select the 'Advanced' checkbox then select 'Network'. Select 'Force TCP mode' and proxy type 'Socks5'. Hostname should be set to 'localhost' and port should be 9050.|Dal menu selezionare "Configura", quindi "Impostazioni". Seleziona la casella di controllo "Avanzate", quindi seleziona "Rete". Seleziona "Forza modalità TCP" e tipo proxy "Socks5". Il nome host deve essere impostato su "localhost" e la porta deve essere 9050.
Gaelic|gaelico
Gallego|Gallego
Georgian|georgiano
German|Tedesco
German (Personal)|Tedesco (personale)
Git repo management|Gestione del repository Git
Go Back|Torna indietro
Go back to the F-droid initial screen and update the repositories by swiping downwards. You'll see it say "updating repositories". This might take a few minutes.|Torna alla schermata iniziale di F-droid e aggiorna i repository scorrendo verso il basso. Lo vedrai dire "archivi di aggiornamento". Questo potrebbe richiedere alcuni minuti.
Go back to the initial screen of the Conversations app, select the menu again, then 'Manage accounts'. Add an account by selecting the person icon with the plus next to it.|Torna alla schermata iniziale dell'app Conversazioni, seleziona nuovamente il menu, quindi "Gestisci account". Aggiungi un account selezionando l'icona della persona con il segno più vicino.
Gogs allow new registrations|Le gog consentono nuove registrazioni
Greek|greco
Gujarati|Gujarati
Have you written down or saved the login credentials and removed any backup drives from the system?|Avete annotato o salvato le credenziali di accesso e rimosso eventuali unità di backup dal sistema?
Hebrew|ebraico
Help|Aiuto
Helps caregivers track sleep, feedings, diaper changes, and tummy time|Aiuta i caregiver a monitorare il sonno, le poppate, i cambi di pannolino e il tempo di pancia
Helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict babys needs without as much guess work.|Aiuta i caregiver a rintracciare il sonno, le poppate, i cambi di pannolino e il tempo di pancia per conoscere e prevedere i bisogni di babys senza tanto lavoro di indovinare.
here|Qui
HexChat (formerly XChat) is compatible with proxying via Tor and so provides the best security when connecting to your IRC server. It will allow you to connect to your IRC server's onion address.|HexChat (ex XChat) è compatibile con il proxy tramite Tor e quindi fornisce la migliore sicurezza durante la connessione al server IRC. Ti permetterà di collegarti all'indirizzo cipolla del tuo server IRC.
Hindi|hindi
How to do translations|Come fare le traduzioni
Hungarian|ungherese
Icecast|Icecast
Icecast is quite CPU intensive. For example on an A20 based system it takes about 70% of the CPU resource. This is something to be aware of if you're running multiple apps|Icecast è piuttosto impegnativo per la CPU. Ad esempio su un sistema basato su A20 ci vuole circa il 70% della risorsa della CPU. Questo è qualcosa a cui prestare attenzione se stai eseguendo più app
Icecast is updating|Icecast si sta aggiornando
Icelandic|islandese
Icons on the website and user interfaces are by Rashid Mhar.|Le icone sul sito Web e le interfacce utente sono di Rashid Mhar.
If you are an Emacs user then you can also connect to your IRC server via Emacs.|Se sei un utente di Emacs, puoi anche collegarti al tuo server IRC tramite Emacs.
If you are using the onion address then use SSL should be unchecked and the transport encryption will be handled via the onion address itself.|Se si sta utilizzando l'indirizzo di cipolla, utilizzare SSL dovrebbe essere deselezionato e la crittografia di trasporto verrà gestita tramite l'indirizzo stesso.
If you are using the ordinary domain name (clearnet/ICANN) then make sure that Use SSL is checked.|Se si utilizza il nome di dominio ordinario (clearnet / ICANN), assicurarsi che Use SSL sia selezionato.
If you don't have a domain then just select Continue|Se non si dispone di un dominio, selezionare semplicemente Continua
If you don't have Orbot installed then enable The Guardian Project repository from the drop down menu and install it.|Se non hai installato Orbot, abilita il repository di The Guardian Project dal menu a discesa e installalo.
If you don't need a password then just leave this blank and select Update|Se non hai bisogno di una password, lascia vuoto e seleziona Aggiorna
If you have a USB plugged in leave it inserted until you can confirm that the stream is working|Se hai un USB collegato, lascialo inserito fino a quando non puoi confermare che lo streaming funziona
If you have trouble accessing onion addresses paste some Tor bridges below. See https://bridges.torproject.org/bridges|Se hai problemi ad accedere agli indirizzi di cipolla, incolla alcuni ponti Tor qui sotto. Vedi https://bridges.torproject.org/bridges
