About|約
Accept|同意する
Accounts software can often be quite complex, and so you'll probably want to refer to the official documentation (https://akaunting.com/docs) for details.|アカウントソフトウェアは、しばしば複雑なものになることがありますので、詳細は公式文書（https://akaunting.com/docs）を参照してください。
Add|追加
New Member|新しいユーザーを追加する
Add custom emoji|カスタム絵文字を追加
Add mp3 or ogg files to a USB drive|mp3またはoggファイルをUSBドライブに追加する
Add the following to your Emacs configuration file:|Emacsの設定ファイルに以下を追加してください：
Add the Syncthing IDs for your other systems and devices here|あなたの他のシステムやデバイスのシンキングIDをここに追加してください
Add your dat links below|以下のdatリンクを追加してください
Add your RSS feeds here. Each line should be [title],[feed URL]|あなたのRSSフィードをここに追加してください。各行は[title]、[feed URL]
Adding music|音楽を追加する
Afrikaans|アフリカーンス語
Akaunting|あかん
Albanian|アルバニア語
Allow new registrations|新しい登録を許可する
An upgrade is scheduled|アップグレードが予定されている
App is being removed|アプリが削除されています
App is scheduled to be installed|アプリがインストールされる予定です
Apps|アプリ
Arabic|アラビア語
Backup|バックアップ
Backup / Restore|復元する
Backup drive space used|使用されたバックアップドライブスペース
Backup has failed|バックアップに失敗しました
Backup in progress|バックアップが進行中です
Backup is complete|バックアップが完了しました
Backup of keys failed|キーのバックアップに失敗しました
Backup of keys is complete|キーのバックアップが完了しました
Backup your keys now?|今すぐあなたの鍵をバックアップしますか？
Basque|バスク語
Beginning app install|アプリのインストールを開始する
Beginning removal of app|アプリの最初の削除
Belarusian|ベラルーシ語
Bosnian|ボスニア語
Bulgarian|ブルガリア語
Cancel|キャンセル
Catalan|カタロニア語
Chat system|チャットシステム
Chinese (Simplified)|中国語（簡体字）
Chinese (Traditional)|中国の伝統的な）
Choose the language that you wish to translate from the list.|リストから翻訳したい言語を選択してください。
Choose your language|言語を選んでください
Classic chat system|クラシックチャットシステム
Click close and then connect.|閉じるをクリックして接続します。
Click on "add new" to add a new server and enter the domain name or onion address for the LibreServer, your username (which can be anything) and the VoIP server password which is the same as the password you set up the box with. Accept the self-signed SSL certificate if you don't have a Let's Encrypt certificate set up for your default domain. You are now ready to chat.|「新規追加」をクリックして新しいサーバーを追加し、LibreServerのドメイン名または玉ねぎアドレス、ユーザー名（何でもよい）、ボックスを設定したパスワードと同じVoIPサーバーパスワードを入力します。既定のドメインに対して[暗号化しようとしました]証明書が設定されていない場合は、自己署名SSL証明書を受け入れます。これでチャットの準備が整いました。
Click on the lock icon at the bottom of the screen and enter the password. It should then appear unlocked. If you don't unlock then any edits you make won't be saved.|画面下部のロックアイコンをクリックし、パスワードを入力します。その後、ロックされていないように見えるはずです。ロックを解除しないと、編集内容は保存されません。
Collaborative document editor|コラボレーティブなドキュメントエディタ
Confirm backup password|バックアップパスワードを確認する
Continue|持続する
Copy and paste the translations file and select 'update'.|翻訳ファイルをコピーして貼り付け、「更新」を選択します。
Copy and paste the translations file into your favorite editor.|翻訳ファイルをコピーしてお気に入りのエディタに貼り付けます。
Copy and paste this into an email or other messaging app and send it to the LibreServer project.|これを電子メールやその他のメッセージングアプリケーションにコピーして貼り付け、LibreServerプロジェクトに送信します。
CPU temperature|CPU温度
CPU usage|CPU使用率
Croatian|クロアチア語
Czech|チェコ語
Danish|デンマーク語
DAT Server|DATサーバー
Databaseless blogging|データのないブログ
Databaseless wiki|データ無しwiki
diagnostics|診断
diagnostics log|診断ログ
Different versions of the same page on different servers are represented by boxes at the bottom right of the screen. You can double click on them to see the different versions, and use the flag icon to fork if you prefer that version|異なるサーバー上の同じページの異なるバージョンは、画面の右下にボックスで表されます。複数のバージョンを表示するにはそれらをダブルクリックし、バージョンを希望する場合はフラグアイコンを使用してフォークします
Disk I/O Speed|ディスクI / O速度
Disk space used|使用ディスク容量
DNS setup|DNS設定
Domain/User Blocking|ドメイン/ユーザーブロッキング
Domain:|ドメイン：
Domain|ドメイン
Dutch|オランダの
Dynamic DNS|動的DNS
Edit your translations. The structure of this file is very simple. On the left is English text and on the right is translated text, with the vertical line character as a separator.|翻訳を編集します。このファイルの構造は非常に簡単です。左は英語のテキストで、右は翻訳されたテキストで、縦線の文字は区切り文字です。
Edit, add or remove blocked domains or users. This applies to Email and XMPP addresses|ブロックされたドメインまたはユーザーを編集、追加、または削除します。 これはEメールアドレスとXMPPアドレスに適用されます。
Edith enable login|Edithログインを有効にする
Email system|メールシステム
Email/XMPP: USEREMAIL|メール/ XMPP：USEREMAIL
Enable access via secure shell?|安全なシェル経由でアクセスを有効にしますか？
Enable Updates|更新を有効にする
English|英語
English (US)|英語（米国）
Ensure that dat files are always available|datファイルが常に利用可能であることを確認する
Ensure that tor is installed onto your local system:|Torがローカルシステムにインストールされていることを確認します。
Enter a label (which can be any name you choose for the server), the default domain name of the LibreServer or preferably the mumble onion address, your username (which can also be anything) and the mumble password which is the same as the one you originally set up the box with. Leave the port number unchanged.|ラベル（サーバーに選択する任意の名前でもよい）、LibreServerのデフォルトドメイン名、好ましくは玉ねぎのタバコのアドレス、ユーザー名（何でもよい）、およびマンブルパスワードと同じものを入力しますあなたは元々ボックスを設定しました。ポート番号は変更しないでください。
Enter a password which will be used to protect the backup|バックアップを保護するために使用するパスワードを入力してください
Enter first and second nicknames and check connect to this network on startup.|最初のニックネームと2番目のニックネームを入力し、起動時にこのネットワークに接続することを確認します。
Estonian|エストニア語
Everything installed will be lost|インストールされたすべてが失われます。
Extremely simple note taking|非常にシンプルなノートを取る
Factory reset is in progress|工場出荷時のリセットが進行中です
Farsi|ファルシ
Favicon|ファビコン
Federated image sharing|フェデレーションされたイメージの共有
Federated microblogging|連合マイクロブログ
Federated social network|連合されたソーシャルネットワーク
Federated wiki|連合ウィキ
File storage and sync|ファイルの保存と同期
File synchronization|ファイルの同期
Filipino|フィリピン
Finnish|フィンランド語
First ensure that tor is installed. Within a terminal:|まず、torが取り付けられていることを確認します。端末内：
For details see the diagnostics|詳細については、診断を参照してください。
For details see:|詳細は、以下を参照してください。
For further information see the website at https://libreserver.org|詳細はウェブサイトhttps://libreserver.orgを参照してください。
For the initial login use username: admin password admin|最初のログインでは、ユーザ名：admin password admin
For the Jabber ID enter the email address from your LibreServer user settings|Jabber IDには、LibreServerユーザー設定の電子メールアドレスを入力します
For the password use the password which you initially wrote down or stored during the setup of the LibreServer system|パスワードは、LibreServerシステムのセットアップ中に最初に書き留めたり保存したりしたパスワードを使用します
Forward port 80 and 443 from your internet router|インターネットルーターのポート80と443を転送します
Forward the following ports from your internet router:|インターネットルータから次のポートを転送します。
Forward the port 64738 from your internet router|あなたのインターネットルータからポート64738を転送する
Forward the port 6697 from your internet router|インターネットルーターからポート6697を転送する
Forward the port 8448 from your internet router|あなたのインターネットルータからポート8448を転送する
FreeDNS code:|FreeDNSコード：
LibreServer started in 2013. It was initially based on the Beaglebone Black hardware and inspired by the FreedomBox idea of an inexpensive and simple to manage internet server for the home.|LibreServerは2013年に始まりました。当初はBeaglebone Blackハードウェアをベースにしていましたが、安価でシンプルな家庭向けインターネットサーバーのFreedomBoxのアイデアに触発されました。
French|フランス語
French (Canada)|フランス語（カナダ）
From the initial screen select 'settings' then 'language'.|最初の画面で「設定」→「言語」を選択します。
From the menu select 'Configure' then 'Settings'. Select the 'Advanced' checkbox then select 'Network'. Select 'Force TCP mode' and proxy type 'Socks5'. Hostname should be set to 'localhost' and port should be 9050.|メニューから「設定」→「設定」を選択します。 [詳細設定]チェックボックスをオンにし、[ネットワーク]を選択します。 [強制TCPモード]とプロキシタイプ 'Socks5'を選択します。ホスト名は 'localhost'に設定し、ポートは9050に設定する必要があります。
Gaelic|ゲール語
Gallego|ガレゴ
Georgian|ジョージア語
German|ドイツ人
German (Personal)|ドイツ語（個人）
Git repo management|Gitリポジトリ管理
Go Back|戻る
Go back to the F-droid initial screen and update the repositories by swiping downwards. You'll see it say "updating repositories". This might take a few minutes.|F-droidの初期画面に戻り、下にスワイプしてリポジトリを更新します。 「リポジトリの更新」と表示されます。これには数分かかる場合があります。
Go back to the initial screen of the Conversations app, select the menu again, then 'Manage accounts'. Add an account by selecting the person icon with the plus next to it.|会話アプリの最初の画面に戻り、もう一度メニューを選択してから、[アカウントを管理]をクリックします。その横のプラス記号を含む人物アイコンを選択して、アカウントを追加します。
Gitea allow new registrations|ゴッグスは新しい登録を許可する
Greek|ギリシャ語
Gujarati|グジャラート語
Have you written down or saved the login credentials and removed any backup drives from the system?|ログインクレデンシャルを書き留めたり保存したり、システムからバックアップドライブを削除しましたか？
Hebrew|ヘブライ語
Help|助けて
Helps caregivers track sleep, feedings, diaper changes, and tummy time|介護者が睡眠、授乳、おむつの変化、おなかの時間を追跡するのに役立ちます
Helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict babys needs without as much guess work.|介護者は、睡眠、授乳、おむつの変更、おなかの時間を追跡し、多くの推測作業なしに子供のニーズを学び、予測することができます。
here|ここに
HexChat (formerly XChat) is compatible with proxying via Tor and so provides the best security when connecting to your IRC server. It will allow you to connect to your IRC server's onion address.|HexChat（以前のXChat）はTorを使用したプロキシと互換性があり、IRCサーバーに接続するときに最高のセキュリティを提供します。 IRCサーバーのオニオンアドレスに接続することができます。
Hindi|ヒンディー語
How to do translations|翻訳のやり方
Hungarian|ハンガリー語
Icecast|アイスキャスト
Icecast is quite CPU intensive. For example on an A20 based system it takes about 70% of the CPU resource. This is something to be aware of if you're running multiple apps|IcecastはCPUをかなり消費します。たとえば、A20ベースのシステムでは、CPUリソースの約70％を占めます。これは、複数のアプリを実行している場合
Icecast is updating|Icecastが更新中です
Icelandic|アイスランド語
