About|약
Accept|동의
Accounts software can often be quite complex, and so you'll probably want to refer to the official documentation (https://akaunting.com/docs) for details.|계정 소프트웨어는 종종 복잡 할 수 있으므로 자세한 내용은 공식 문서 (https://akaunting.com/docs)를 참조하십시오.
Add|더하다
New Member|새 사용자 추가
Add custom emoji|맞춤법 이모를 추가합니다.
Add mp3 or ogg files to a USB drive|mp3 또는 ogg 파일을 USB 드라이브에 추가하십시오.
Add the following to your Emacs configuration file:|Emacs 설정 파일에 다음을 추가하십시오 :
Add the Syncthing IDs for your other systems and devices here|다른 시스템 및 장치의 Syncthing ID를 여기에 추가하십시오.
Add your dat links below|dat 연결을 아래에 추가하십시오
Add your RSS feeds here. Each line should be [title],[feed URL]|RSS 피드를 여기에 추가하십시오. 각 줄은 [제목], [피드 URL]
Adding music|음악 추가 중
Afrikaans|아프리카 어
Akaunting|예감
Albanian|알바니아
Allow new registrations|새로운 등록 허용
An upgrade is scheduled|업그레이드가 예정되어 있습니다.
App is being removed|앱이 삭제 중입니다.
App is scheduled to be installed|앱 설치 예정
Apps|Apps
Arabic|아라비아 말
Backup|지원
Backup / Restore|백업 / 복원
Backup drive space used|사용 된 백업 드라이브 공간
Backup has failed|백업 실패
Backup in progress|진행중인 백업
Backup is complete|백업이 완료되었습니다.
Backup of keys failed|키 백업 실패
Backup of keys is complete|키 백업이 완료되었습니다.
Backup your keys now?|지금 열쇠를 백업 하시겠습니까?
Basque|바스크 사람
Beginning app install|앱 설치 시작
Beginning removal of app|앱 삭제 시작
Belarusian|벨로루시의
Bosnian|보스니아 인
Bulgarian|불가리아 사람
Cancel|취소
Catalan|카탈로니아 사람
Chat system|채팅 시스템
Chinese (Simplified)|중국어 간체)
Chinese (Traditional)|중국 전통)
Choose the language that you wish to translate from the list.|목록에서 번역 할 언어를 선택하십시오.
Choose your language|당신의 언어를 고르시 오
Classic chat system|클래식 채팅 시스템
Click close and then connect.|닫기를 클릭 한 다음 연결하십시오.
Click on "add new" to add a new server and enter the domain name or onion address for the LibreServer, your username (which can be anything) and the VoIP server password which is the same as the password you set up the box with. Accept the self-signed SSL certificate if you don't have a Let's Encrypt certificate set up for your default domain. You are now ready to chat.|"새로 추가"를 클릭하여 새 서버를 추가하고 LibreServer의 도메인 이름 또는 양파 주소, 사용자 이름 (아무 것도 될 수 있음) 및 상자를 설정 한 암호와 동일한 VoIP 서버 암호를 입력하십시오. 기본 도메인에 Let 's Encrypt 인증서가 설정되어 있지 않으면 자체 서명 된 SSL 인증서를 수락하십시오. 이제 채팅 할 준비가되었습니다.
Click on the lock icon at the bottom of the screen and enter the password. It should then appear unlocked. If you don't unlock then any edits you make won't be saved.|화면 하단의 자물쇠 아이콘을 클릭하고 암호를 입력하십시오. 그런 다음 잠기지 않아야합니다. 잠금을 해제하지 않으면 수정 사항이 저장되지 않습니다.
Collaborative document editor|협업 문서 편집기
Confirm backup password|백업 비밀번호 확인
Continue|잇다
Copy and paste the translations file and select 'update'.|번역 파일을 복사하여 붙여넣고 '업데이트'를 선택하십시오.
