About|Over
Accept|Aanvaarden
Accounts software can often be quite complex, and so you'll probably want to refer to the official documentation (https://akaunting.com/docs) for details.|Accountsoftware kan vaak behoorlijk ingewikkeld zijn en daarom wilt u waarschijnlijk de officiële documentatie (https://akaunting.com/docs) raadplegen voor meer informatie.
Add|Toevoegen
New Member|Voeg een nieuwe gebruiker toe
Add custom emoji|Voeg aangepaste emoji toe
Add mp3 or ogg files to a USB drive|Voeg mp3- of ogg-bestanden toe aan een USB-station
Add the following to your Emacs configuration file:|Voeg het volgende toe aan uw Emacs-configuratiebestand:
Add the Syncthing IDs for your other systems and devices here|Voeg de Syncthing-ID's voor uw andere systemen en apparaten hier toe
Add your dat links below|Voeg uw datalink toe hieronder
Add your RSS feeds here. Each line should be [title],[feed URL]|Voeg hier uw RSS-feeds toe. Elke regel moet [title], [feed URL] zijn
Adding music|Muziek toevoegen
Afrikaans|Afrikaans
Akaunting|Akaunting
Albanian|Albanees
Allow new registrations|Nieuwe registraties toestaan
An upgrade is scheduled|Een upgrade is gepland
App is being removed|App wordt verwijderd
App is scheduled to be installed|App is gepland om te worden geïnstalleerd
Apps|Apps
Arabic|Arabisch
Backup|backup
Backup / Restore|Back-up herstellen
Backup drive space used|Back-up schijfruimte gebruikt
Backup has failed|Back-up is mislukt
Backup in progress|Backup wordt uitgevoerd
Backup is complete|Back-up is voltooid
Backup of keys failed|Back-up van sleutels mislukt
Backup of keys is complete|Back-up van de sleutels is voltooid
Backup your keys now?|Maak nu een back-up van je sleutels?
Basque|baskisch
Beginning app install|App-installatie starten
Beginning removal of app|Beginnen met het verwijderen van de app
Belarusian|belarusian
Bosnian|Bosnisch
Bulgarian|Bulgarian
Cancel|Annuleer
Catalan|Catalan
Chat system|Chat-systeem
Chinese (Simplified)|Versimpeld Chinees)
Chinese (Traditional)|Chinese traditionele)
Choose the language that you wish to translate from the list.|Kies de taal die u wilt vertalen uit de lijst.
Choose your language|Kies je taal
Classic chat system|Klassiek chatsysteem
Click close and then connect.|Klik op Sluiten en maak verbinding.
Click on "add new" to add a new server and enter the domain name or onion address for the LibreServer, your username (which can be anything) and the VoIP server password which is the same as the password you set up the box with. Accept the self-signed SSL certificate if you don't have a Let's Encrypt certificate set up for your default domain. You are now ready to chat.|Klik op "nieuwe toevoegen" om een ​​nieuwe server toe te voegen en voer de domeinnaam of het uienadres in voor de LibreServer, uw gebruikersnaam (die van alles kan zijn) en het VoIP-serverwachtwoord dat hetzelfde is als het wachtwoord waarmee u de box instelt. Accepteer het zelfondertekende SSL-certificaat als u geen Let's Encrypt-certificaat hebt ingesteld voor uw standaarddomein. U bent nu klaar om te chatten.
Click on the lock icon at the bottom of the screen and enter the password. It should then appear unlocked. If you don't unlock then any edits you make won't be saved.|Klik op het slotpictogram onderaan het scherm en voer het wachtwoord in. Het moet dan ontgrendeld lijken. Als u niet ontgrendelt, worden eventuele bewerkingen niet opgeslagen.
Collaborative document editor|Samenwerkingsdocument-editor
Confirm backup password|Bevestig het back-upwachtwoord
Continue|Doorgaan met
Copy and paste the translations file and select 'update'.|Kopieer en plak het vertalingenbestand en selecteer 'update'.
Copy and paste the translations file into your favorite editor.|Kopieer en plak het vertalingenbestand in je favoriete editor.
Copy and paste this into an email or other messaging app and send it to the LibreServer project.|Kopieer en plak dit in een e-mail of andere berichten-app en stuur het naar het LibreServer-project.
CPU temperature|CPU-temperatuur
CPU usage|CPU gebruik
Croatian|Kroatisch
Czech|Tsjechisch
Danish|Deens
DAT Server|DAT-server
Databaseless blogging|Databaseless bloggen
Databaseless wiki|Datablokloze wiki
diagnostics|diagnostiek
diagnostics log|diagnostiek log
Different versions of the same page on different servers are represented by boxes at the bottom right of the screen. You can double click on them to see the different versions, and use the flag icon to fork if you prefer that version|Verschillende versies van dezelfde pagina op verschillende servers worden weergegeven door vakken rechtsonder in het scherm. U kunt erop dubbelklikken om de verschillende versies te bekijken en het vlagpictogram gebruiken om te vorken als u die versie verkiest
Disk I/O Speed|Schijf I / O snelheid
Disk space used|Schijfruimte gebruikt
DNS setup|DNS-instelling
Domain/User Blocking|Domein / Gebruiker blokkeren
Domain:|Domein:
Domain|Domein
Dutch|Nederlands
Dynamic DNS|Dynamische DNS
Edit your translations. The structure of this file is very simple. On the left is English text and on the right is translated text, with the vertical line character as a separator.|Bewerk uw vertalingen. De structuur van dit bestand is heel eenvoudig. Links is Engelse tekst en rechts is vertaalde tekst, met het verticale lijnteken als scheidingsteken.
Edit, add or remove blocked domains or users. This applies to Email and XMPP addresses|Geblokkeerde domeinen of gebruikers bewerken, toevoegen of verwijderen. Dit is van toepassing op e-mail en XMPP-adressen
Edith enable login|Edith maakt inloggen mogelijk
Email system|E-mail systeem
Email/XMPP: USEREMAIL|E-mail / XMPP: USEREMAIL
Enable access via secure shell?|Toegang via beveiligde shell inschakelen?
Enable Updates|Schakel updates in
English|Engels
English (US)|Amerikaans Engels)
Ensure that dat files are always available|Zorg ervoor dat databestanden altijd beschikbaar zijn
Ensure that tor is installed onto your local system:|Zorg ervoor dat tor op uw lokale systeem is geïnstalleerd:
Enter a label (which can be any name you choose for the server), the default domain name of the LibreServer or preferably the mumble onion address, your username (which can also be anything) and the mumble password which is the same as the one you originally set up the box with. Leave the port number unchanged.|Voer een label in (dit kan elke naam zijn die u kiest voor de server), de standaard domeinnaam van de LibreServer of, bij voorkeur, het mompelui-adres, uw gebruikersnaam (die ook alles kan zijn) en het mompelwachtwoord dat hetzelfde is als het wachtwoord waarmee je de box oorspronkelijk hebt opgezet. Laat het poortnummer ongewijzigd.
Enter a password which will be used to protect the backup|Voer een wachtwoord in dat zal worden gebruikt om de back-up te beveiligen
Enter first and second nicknames and check connect to this network on startup.|Voer de eerste en tweede bijnamen in en controleer bij het opstarten verbinding met dit netwerk.
Estonian|Estlands
Everything installed will be lost|Alles dat is geïnstalleerd, gaat verloren
Extremely simple note taking|Zeer eenvoudig notities maken
Factory reset is in progress|De fabrieksreset wordt uitgevoerd
Farsi|Farsi
Favicon|favicon
Federated image sharing|Federatief delen van afbeeldingen
Federated microblogging|Gefedereerde microblogging
Federated social network|Gefedereerd sociaal netwerk
Federated wiki|Gefedereerde wiki
File storage and sync|Bestandsopslag en synchronisatie
File synchronization|Bestandssynchronisatie
Filipino|Filippijn
Finnish|Fins
First ensure that tor is installed. Within a terminal:|Zorg eerst dat tor is geïnstalleerd. Binnen een terminal:
For details see the diagnostics|Zie de diagnostiek voor meer informatie
For details see:|Voor details zie:
For further information see the website at https://libreserver.org|Voor meer informatie, zie de website op https://libreserver.org
For the initial login use username: admin password admin|Gebruik voor de eerste login gebruikersnaam: admin wachtwoord admin
For the Jabber ID enter the email address from your LibreServer user settings|Voor de Jabber-ID voert u het e-mailadres in van uw LibreServer-gebruikersinstellingen
For the password use the password which you initially wrote down or stored during the setup of the LibreServer system|Gebruik voor het wachtwoord het wachtwoord dat u aanvankelijk hebt genoteerd of opgeslagen tijdens de installatie van het LibreServer-systeem
Forward port 80 and 443 from your internet router|Stuur poort 80 en 443 door via uw internetrouter
Forward the following ports from your internet router:|Stuur de volgende poorten door vanaf uw internetrouter:
Forward the port 64738 from your internet router|Stuur poort 64738 door vanaf uw internetrouter
Forward the port 6697 from your internet router|Stuur poort 6697 door vanaf uw internetrouter
Forward the port 8448 from your internet router|Stuur poort 8448 door vanaf uw internetrouter
FreeDNS code:|FreeDNS code:
LibreServer started in 2013. It was initially based on the Beaglebone Black hardware and inspired by the FreedomBox idea of an inexpensive and simple to manage internet server for the home.|LibreServer begon in 2013. Het was in eerste instantie gebaseerd op de Beaglebone Black-hardware en geïnspireerd door het FreedomBox-idee van een goedkope en eenvoudig te beheren internetserver voor thuis.
French|Frans
French (Canada)|Frans (Canada)
From the initial screen select 'settings' then 'language'.|Selecteer vanuit het beginscherm 'instellingen' en vervolgens 'taal'.
From the menu select 'Configure' then 'Settings'. Select the 'Advanced' checkbox then select 'Network'. Select 'Force TCP mode' and proxy type 'Socks5'. Hostname should be set to 'localhost' and port should be 9050.|Selecteer in het menu 'Configureren' en vervolgens 'Instellingen'. Selecteer het selectievakje 'Geavanceerd' en selecteer vervolgens 'Netwerk'. Selecteer 'Force TCP-modus' en proxy-type 'Socks5'. Hostnaam moet zijn ingesteld op 'localhost' en poort 9050.
Gaelic|Gaelisch
Gallego|Gallego
Georgian|Georgisch
German|Duitse
German (Personal)|Duits (persoonlijk)
Git repo management|Git repomanagement
Go Back|Ga terug
Go back to the F-droid initial screen and update the repositories by swiping downwards. You'll see it say "updating repositories". This might take a few minutes.|Ga terug naar het beginscherm van F-droid en werk de repositories bij door naar beneden te vegen. Je zult het zien als "het updaten van repositories". Dit kan een paar minuten duren.
Go back to the initial screen of the Conversations app, select the menu again, then 'Manage accounts'. Add an account by selecting the person icon with the plus next to it.|Ga terug naar het beginscherm van de app Conversaties, selecteer het menu opnieuw en vervolgens 'Beheer accounts'. Voeg een account toe door het persoonspictogram te selecteren met het plusteken ernaast.
Gogs allow new registrations|Gogs staat nieuwe registraties toe
Greek|Grieks
Gujarati|Gujarati
Have you written down or saved the login credentials and removed any backup drives from the system?|Hebt u de aanmeldingsreferenties opgeschreven of opgeslagen en eventuele back-upschijven uit het systeem verwijderd?
Hebrew|Hebreeuws
Help|Helpen
Helps caregivers track sleep, feedings, diaper changes, and tummy time|Helpt caregivers om slaap, voedingen, luierwisselingen en buiktijd te volgen
Helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict babys needs without as much guess work.|Helpt zorgverleners slaap, voedingen, luierwisselingen en buiktijd bij te houden om meer te weten te komen over de behoeften van baby's en deze te voorspellen zonder al te veel giswerk.
here|hier
HexChat (formerly XChat) is compatible with proxying via Tor and so provides the best security when connecting to your IRC server. It will allow you to connect to your IRC server's onion address.|HexChat (voorheen XChat) is compatibel met proxying via Tor en biedt dus de beste beveiliging bij het verbinden met je IRC-server. Hiermee kunt u verbinding maken met het uienadres van uw IRC-server.
Hindi|Hindi
How to do translations|Hoe vertalingen te doen
Hungarian|Hongaars
Icecast|Icecast
Icecast is quite CPU intensive. For example on an A20 based system it takes about 70% of the CPU resource. This is something to be aware of if you're running multiple apps|Icecast is behoorlijk CPU-intensief. Op een op A20 gebaseerd systeem is bijvoorbeeld ongeveer 70% van de CPU-bron nodig. Dit is iets om op te letten als u meerdere apps gebruikt
Icecast is updating|Icecast is aan het updaten
Icelandic|IJslands
Icons on the website and user interfaces are by Rashid Mhar.|Pictogrammen op de website en gebruikersinterfaces zijn van Rashid Mhar.
If you are an Emacs user then you can also connect to your IRC server via Emacs.|Als je een Emacs-gebruiker bent, kun je ook via Emacs verbinding maken met je IRC-server.
If you are using the onion address then use SSL should be unchecked and the transport encryption will be handled via the onion address itself.|Als u het uienadres gebruikt, moet u SSL uitschakelen en de transportversleuteling verwerken via het ui-adres zelf.
If you are using the ordinary domain name (clearnet/ICANN) then make sure that Use SSL is checked.|Als u de gewone domeinnaam gebruikt (clearnet / ICANN), zorg dan dat Use SSL is aangevinkt.
If you don't have a domain then just select Continue|Als u geen domein heeft, selecteert u gewoon Doorgaan
If you don't have Orbot installed then enable The Guardian Project repository from the drop down menu and install it.|Als je Orbot niet hebt geïnstalleerd, schakel dan de The Guardian Project-repository in via het vervolgkeuzemenu en installeer het.
If you don't need a password then just leave this blank and select Update|Als u geen wachtwoord nodig hebt, laat dit dan gewoon leeg en selecteer Bijwerken
If you have a USB plugged in leave it inserted until you can confirm that the stream is working|Als u een USB-stekker hebt aangesloten, laat u deze invoegen totdat u kunt bevestigen dat de stream werkt
If you have trouble accessing onion addresses paste some Tor bridges below. See https://bridges.torproject.org/bridges|Als je problemen hebt met het openen van ui-adressen, plak dan een paar Tor-bruggen hieronder. Zie https://bridges.torproject.org/bridges
If you're using the Element mobile app to access your Matrix homeserver then you can significantly improve battery performance by going to the settings and changing 'Sync request timeout' to 30 seconds and 'Delay between two sync requests' to 600 seconds. Also turning off 'msgs in group chats' will help, since it will avoid getting a notification whenever a group chat event happens, which then wakes up the screen|Als u de mobiele Element-app gebruikt om toegang te krijgen tot uw Matrix homeserver, kunt u de prestaties van de batterij aanzienlijk verbeteren door naar de instellingen te gaan en 'Time-out synchronisatieverzoek' in 30 seconden en 'Vertraging tussen twee synchronisatieverzoeken' in 600 seconden in te stellen. Ook het uitschakelen van 'msgs in groepchats' zal helpen, omdat het zal voorkomen dat er een melding wordt ontvangen wanneer een groepschatgebeurtenis plaatsvindt, waardoor het scherm dan wordt geactiveerd
If your translations are accepted they will later appear in the upstream project and be usable by anyone.|Als uw vertalingen worden geaccepteerd, verschijnen ze later in het upstream-project en kunnen ze door iedereen worden gebruikt.
Import|Importeren
In a Tor browser navigate to the onion address for Icecast and you can then play the stream|In een Tor-browser navigeer je naar het ui-adres voor Icecast en kun je de stream afspelen
Indonesian|Indonesisch
Initial login|Eerste login
Initial Setup|Initiële setup
Install|Installeren
Install APPNAME now?|Installeer APPNAME nu?
Install F-Droid|Installeer F-Droid
Install HexChat and set up its configuration file. Assuming that you're running on a Debian or Arch based distro, this can be done on your local machine with:|Installeer HexChat en stel het configuratiebestand in. Ervan uitgaande dat u op een Debian- of Arch-gebaseerde distro werkt, kan dit op uw lokale computer met:
Installation|Installatie
Installing in Emacs|Installeren in Emacs
Installing on Desktop|Installeren op het bureaublad
Invalid Password|ongeldig wachtwoord
IRC|IRC
IRC is useful for multi-user chat. The classic use case is for software development where many engineers might need to coordinate their activities, but it's also useful for meetings, parties and general socialising.|IRC is handig voor chatten met meerdere gebruikers. De klassieke use case is voor softwareontwikkeling waarbij veel technici hun activiteiten mogelijk moeten coördineren, maar het is ook handig voor vergaderingen, feesten en algemene sociale contacten.
It can be shown using the command:|Het kan worden getoond met behulp van de opdracht:
It's possible to add jingles which will be played between tracks at random intervals. If some of the audio files on your USB drive are named jingle_something.mp3 then they will be used as jingles|Het is mogelijk om jingles toe te voegen die met willekeurige tussenpozen tussen tracks worden afgespeeld. Als sommige van de audiobestanden op uw USB-station jingle_something.mp3 heten, dan zullen ze als jingles worden gebruikt
It's recommended that you add an SRV record for Matrix to your DNS setup. How you do this will depend upon your dynamic DNS provider and their web interface. On FreeDNS on the subdomains settings in addition to the subdomain which you are using for the matrix server create an extra entry as follows:|Het wordt aanbevolen dat u een SRV-record voor Matrix toevoegt aan uw DNS-instellingen. Hoe u dit doet, is afhankelijk van uw dynamische DNS-provider en hun webinterface. Geef op FreeDNS bij de instellingen van de subdomeinen, naast het subdomein dat u gebruikt voor de matrixserver, als volgt een extra item:
Italian|Italiaans
Japanese|Japans
Jingles|jingles
Kannada|Kannada
Keep changes|Verander veranderingen
Khmer|Khmer
Korean|Koreaans
Language|Taal
Lao|Laotiaans
Latvian|Lets
Lithuanian|Litouws
Malayalam|Malayalam
Malaysian|Maleisisch
Manually upgrade now ?|Nu handmatig upgraden?
Maori (Ngai Tahu)|Maori (Ngai Tahu)
