About|O
Accept|Zaakceptować
Accounts software can often be quite complex, and so you'll probably want to refer to the official documentation (https://akaunting.com/docs) for details.|Oprogramowanie kont często może być dość skomplikowane, więc będziesz potrzebować więcej informacji na temat oficjalnej dokumentacji (https://akaunting.com/docs).
Add|Dodaj
New Member|Dodaj nowego użytkownika
Add custom emoji|Dodaj niestandardowy emoji
Add mp3 or ogg files to a USB drive|Dodaj pliki mp3 lub ogg na dysk USB
Add the following to your Emacs configuration file:|Dodaj następujące elementy do pliku konfiguracyjnego Emacs:
Add the Syncthing IDs for your other systems and devices here|W tym miejscu dodaj identyfikatory synchronizacji dla innych systemów i urządzeń
Add your dat links below|Dodaj swoje łącza do danych poniżej
Add your RSS feeds here. Each line should be [title],[feed URL]|Dodaj swoje RSS tutaj. Każda linia powinna być [title], [feed URL]
Adding music|Dodawanie muzyki
Afrikaans|Afrikaans
Akaunting|Akaunting
Albanian|albański
Allow new registrations|Zezwalaj na nowe rejestracje
An upgrade is scheduled|Aktualizacja jest zaplanowana
App is being removed|Aplikacja została usunięta
App is scheduled to be installed|Aplikacja zostanie zaplanowana do zainstalowania
Apps|Aplikacje
Arabic|arabski
Backup|Utworzyć kopię zapasową
Backup / Restore|Przywracania kopii zapasowej
Backup drive space used|Miejsce na dysku kopii zapasowej
Backup has failed|Nie udało się utworzyć kopii zapasowej
Backup in progress|Kopia zapasowa w toku
Backup is complete|Kopia zapasowa została zakończona
Backup of keys failed|Nie udało się wykonać kopii zapasowej kluczy
Backup of keys is complete|Kopia zapasowa kluczy została zakończona
Backup your keys now?|Zrób kopię zapasową swoich kluczy teraz?
Basque|baskijski
Beginning app install|Rozpoczęcie instalacji aplikacji
Beginning removal of app|Rozpoczynam usuwanie aplikacji
Belarusian|Białoruski
Bosnian|bośniacki
Bulgarian|bułgarski
Cancel|Anuluj
Catalan|Kataloński
Chat system|System czatu
Chinese (Simplified)|Uproszczony chiński)
Chinese (Traditional)|Chiński tradycyjny)
Choose the language that you wish to translate from the list.|Wybierz język, który chcesz przetłumaczyć z listy.
Choose your language|Wybierz swój język
Classic chat system|Klasyczny system czatu
Click close and then connect.|Kliknij Zamknij, a następnie połącz.
Click on "add new" to add a new server and enter the domain name or onion address for the LibreServer, your username (which can be anything) and the VoIP server password which is the same as the password you set up the box with. Accept the self-signed SSL certificate if you don't have a Let's Encrypt certificate set up for your default domain. You are now ready to chat.|Kliknij "dodaj nowy", aby dodać nowy serwer i wprowadź nazwę domeny lub adres cebuli dla LibreServer, swoją nazwę użytkownika (która może być dowolna) i hasło do serwera VoIP, które jest takie samo, jak hasło, które ustawiłeś w tym polu. Zaakceptuj samopodpisany certyfikat SSL, jeśli nie masz certyfikatu Let's Encrypt dla domyślnej domeny. Jesteś teraz gotowy do rozmowy.
Click on the lock icon at the bottom of the screen and enter the password. It should then appear unlocked. If you don't unlock then any edits you make won't be saved.|Kliknij ikonę kłódki u dołu ekranu i wprowadź hasło. Powinien pojawić się odblokowany. Jeśli nie odblokujesz, wszystkie wprowadzone zmiany nie zostaną zapisane.
Collaborative document editor|Wspólny edytor dokumentów
Confirm backup password|Potwierdź zapasowe hasło
Continue|dalej
Copy and paste the translations file and select 'update'.|Skopiuj i wklej plik z tłumaczeniami i wybierz "aktualizuj".
Copy and paste the translations file into your favorite editor.|Skopiuj i wklej plik tłumaczeń do ulubionego edytora.
Copy and paste this into an email or other messaging app and send it to the LibreServer project.|Skopiuj i wklej to do wiadomości e-mail lub innej aplikacji do obsługi wiadomości i wyślij ją do projektu LibreServer.
CPU temperature|Temperatura procesora
CPU usage|użycie procesora
Croatian|chorwacki
Czech|Czech
Danish|duński
DAT Server|Serwer DAT
Databaseless blogging|Bezpodstawne blogowanie
Databaseless wiki|Wiki bez bazy danych
diagnostics|diagnostyka
diagnostics log|dziennik diagnostyczny
Different versions of the same page on different servers are represented by boxes at the bottom right of the screen. You can double click on them to see the different versions, and use the flag icon to fork if you prefer that version|Różne wersje tej samej strony na różnych serwerach są reprezentowane przez pola w prawym dolnym rogu ekranu. Możesz dwukrotnie kliknąć na nich, aby zobaczyć różne wersje, i użyć ikony flagi do rozwidlenia, jeśli wolisz tę wersję
Disk I/O Speed|Szybkość we / wy dysku
Disk space used|Wykorzystane miejsce na dysku
DNS setup|Konfiguracja DNS
Domain/User Blocking|Blokowanie domen / użytkowników
Domain:|Domena:
Domain|Domena
Dutch|holenderski
Dynamic DNS|Dynamiczny DNS
Edit your translations. The structure of this file is very simple. On the left is English text and on the right is translated text, with the vertical line character as a separator.|Edytuj swoje tłumaczenia. Struktura tego pliku jest bardzo prosta. Po lewej stronie znajduje się tekst w języku angielskim, a po prawej - przetłumaczony tekst ze znakiem pionowej linii jako separatorem.
Edit, add or remove blocked domains or users. This applies to Email and XMPP addresses|Edytuj, dodaj lub usuń zablokowane domeny lub użytkowników. Dotyczy to adresów e-mail i XMPP
Edith enable login|Edith włącz logowanie
Email system|System e-mail
Email/XMPP: USEREMAIL|E-mail / XMPP: USEREMAIL
Enable access via secure shell?|Włączyć dostęp przez bezpieczną powłokę?
Enable Updates|Włącz aktualizacje
English|język angielski
English (US)|Angielski (amerykański)
Ensure that dat files are always available|Upewnij się, że pliki danych są zawsze dostępne
Ensure that tor is installed onto your local system:|Upewnij się, że tor jest zainstalowany w twoim systemie lokalnym:
Enter a label (which can be any name you choose for the server), the default domain name of the LibreServer or preferably the mumble onion address, your username (which can also be anything) and the mumble password which is the same as the one you originally set up the box with. Leave the port number unchanged.|Wpisz etykietę (która może być dowolną nazwą wybraną dla serwera), domyślną nazwę domeny LibreServer lub najlepiej adres bełkotki, swoją nazwę użytkownika (która może również być dowolna) i mumble hasło, które jest takie samo jak to początkowo ustawiłeś pudełko z. Pozostaw niezmieniony numer portu.
Enter a password which will be used to protect the backup|Wprowadź hasło, które będzie używane do ochrony kopii zapasowej
Enter first and second nicknames and check connect to this network on startup.|Wprowadź pierwszy i drugi nick i sprawdź połączenie z tą siecią podczas uruchamiania.
Estonian|estoński
Everything installed will be lost|Wszystko zainstalowane zostanie utracone
Extremely simple note taking|Niezwykle prosty zapis nutowy
Factory reset is in progress|Resetowanie do ustawień fabrycznych jest w toku
Farsi|Farsi
Favicon|Favicon
Federated image sharing|Udostępnianie obrazów sfederowanych
Federated microblogging|Federowane mikroblogowanie
Federated social network|Federacyjna sieć społecznościowa
Federated wiki|Federacyjne wiki
File storage and sync|Przechowywanie i synchronizacja plików
File synchronization|Synchronizacja plików
Filipino|Filipiński
Finnish|fiński
First ensure that tor is installed. Within a terminal:|Najpierw upewnij się, że tor jest zainstalowany. W terminalu:
For details see the diagnostics|Aby uzyskać szczegółowe informacje, patrz diagnostyka
For details see:|Aby uzyskać szczegółowe informacje, patrz:
For further information see the website at https://libreserver.org|Więcej informacji można znaleźć na stronie https://libreserver.org
For the initial login use username: admin password admin|Do początkowego logowania użyj nazwy użytkownika: admin hasło admin
For the Jabber ID enter the email address from your LibreServer user settings|Dla Jabber ID wprowadź adres e-mail z ustawień użytkownika LibreServer
For the password use the password which you initially wrote down or stored during the setup of the LibreServer system|Do hasła użyj hasła, które zapisałeś lub zapisałeś podczas konfiguracji systemu LibreServer
Forward port 80 and 443 from your internet router|Przekaż port 80 i 443 z routera internetowego
Forward the following ports from your internet router:|Przekaż następujące porty z routera internetowego:
Forward the port 64738 from your internet router|Przekaż port 64738 z routera internetowego
Forward the port 6697 from your internet router|Przekaż port 6697 z routera internetowego
Forward the port 8448 from your internet router|Prześlij port 8448 z routera internetowego
FreeDNS code:|Kod FreeDNS:
LibreServer started in 2013. It was initially based on the Beaglebone Black hardware and inspired by the FreedomBox idea of an inexpensive and simple to manage internet server for the home.|LibreServer powstał w 2013 roku. Początkowo był oparty na sprzęcie Beaglebone Black i zainspirowany ideą FreedomBox niedrogiego i prostego w zarządzaniu serwerem internetowym dla domu.
French|Francuski
French (Canada)|Francuski (Kanada)
From the initial screen select 'settings' then 'language'.|Na ekranie początkowym wybierz "ustawienia", a następnie "język".
From the menu select 'Configure' then 'Settings'. Select the 'Advanced' checkbox then select 'Network'. Select 'Force TCP mode' and proxy type 'Socks5'. Hostname should be set to 'localhost' and port should be 9050.|Z menu wybierz "Konfiguruj", a następnie "Ustawienia". Zaznacz pole wyboru "Zaawansowane", a następnie wybierz "Sieć". Wybierz "Wymuś tryb TCP" i typ proxy "Socks5". Nazwa hosta powinna mieć wartość "localhost", a port powinien mieć wartość 9050.
Gaelic|celtycki
Gallego|Gallego
Georgian|gruziński
German|Niemiecki
German (Personal)|Niemiecki (osobisty)
Git repo management|Zarządzanie repo Git
Go Back|Wróć
Go back to the F-droid initial screen and update the repositories by swiping downwards. You'll see it say "updating repositories". This might take a few minutes.|Wróć do ekranu początkowego F-droid i zaktualizuj repozytoria, przesuwając w dół. Zobaczysz komunikat "aktualizowanie repozytoriów". To może zająć kilka minut.
Go back to the initial screen of the Conversations app, select the menu again, then 'Manage accounts'. Add an account by selecting the person icon with the plus next to it.|Wróć do ekranu początkowego aplikacji Konwersacje, wybierz ponownie menu, a następnie "Zarządzaj kontami". Dodaj konto, wybierając ikonę osoby z plusem obok niej.
Gogs allow new registrations|Gogle pozwalają na nowe rejestracje
Greek|grecki
