About|Sobre
Accept|Aceitar
Accounts software can often be quite complex, and so you'll probably want to refer to the official documentation (https://akaunting.com/docs) for details.|Muitas vezes, o software de contas pode ser bastante complexo e, portanto, você provavelmente desejará consultar a documentação oficial (https://akaunting.com/docs) para obter detalhes.
Add|Adicionar
New Member|Adicione um novo usuário
Add custom emoji|Adicionar emoticons personalizados
Add mp3 or ogg files to a USB drive|Adicione arquivos mp3 ou ogg a um drive USB
Add the following to your Emacs configuration file:|Adicione o seguinte ao seu arquivo de configuração do Emacs:
Add the Syncthing IDs for your other systems and devices here|Adicione os IDs de Sincronização para seus outros sistemas e dispositivos aqui
Add your dat links below|Adicione seus links dat abaixo
Add your RSS feeds here. Each line should be [title],[feed URL]|Adicione seus feeds RSS aqui. Cada linha deve ser [título], [URL do feed]
Adding music|Adicionando música
Afrikaans|afrikaans
Akaunting|Akaunting
Albanian|albanês
Allow new registrations|Permitir novos registros
An upgrade is scheduled|Uma atualização está agendada
App is being removed|App está sendo removido
App is scheduled to be installed|App está programado para ser instalado
Apps|Apps
Arabic|árabe
Backup|Cópia de segurança
Backup / Restore|Restauração de backup
Backup drive space used|Espaço de unidade de backup usado
Backup has failed|O backup falhou
Backup in progress|Backup em andamento
Backup is complete|Backup está completo
Backup of keys failed|Falha no backup de chaves
Backup of keys is complete|Backup de chaves está completo
Backup your keys now?|Backup suas chaves agora?
Basque|Basco
Beginning app install|Instalação inicial do aplicativo
Beginning removal of app|Começando a remoção do aplicativo
Belarusian|Bielorrusso
Bosnian|Bósnio
Bulgarian|búlgaro
Cancel|Cancelar
Catalan|catalão
Chat system|Sistema de bate-papo
Chinese (Simplified)|Chinês simplificado)
Chinese (Traditional)|Chinês tradicional)
Choose the language that you wish to translate from the list.|Escolha o idioma que você deseja traduzir da lista.
Choose your language|Escolha o seu idioma
Classic chat system|Sistema de chat clássico
Click close and then connect.|Clique perto e depois conecte.
Click on "add new" to add a new server and enter the domain name or onion address for the LibreServer, your username (which can be anything) and the VoIP server password which is the same as the password you set up the box with. Accept the self-signed SSL certificate if you don't have a Let's Encrypt certificate set up for your default domain. You are now ready to chat.|Clique em "adicionar novo" para adicionar um novo servidor e digite o nome do domínio ou cebola endereço para o LibreServer, seu nome de usuário (que pode ser qualquer coisa) ea senha do servidor VoIP que é o mesmo que a senha que você configurar a caixa com. Aceite o certificado SSL autoassinado se você não tiver um certificado Let's Encrypt configurado para seu domínio padrão. Agora você está pronto para conversar.
Click on the lock icon at the bottom of the screen and enter the password. It should then appear unlocked. If you don't unlock then any edits you make won't be saved.|Clique no ícone de cadeado na parte inferior da tela e insira a senha. Ele deve então aparecer desbloqueado. Se você não desbloquear, as edições feitas não serão salvas.
Collaborative document editor|Editor colaborativo de documentos
Confirm backup password|Confirme a senha de backup
Continue|Continuar
Copy and paste the translations file and select 'update'.|Copie e cole o arquivo de traduções e selecione "atualizar".
Copy and paste the translations file into your favorite editor.|Copie e cole o arquivo de traduções em seu editor favorito.
Copy and paste this into an email or other messaging app and send it to the LibreServer project.|Copie e cole isso em um e-mail ou outro aplicativo de mensagens e envie-o para o projeto LibreServer.
CPU temperature|Temperatura da CPU
CPU usage|utilização do CPU
Croatian|croata
Czech|Checo
Danish|dinamarquês
DAT Server|Servidor DAT
Databaseless blogging|Blogging sem base de dados
Databaseless wiki|Wiki sem base de dados
diagnostics|diagnósticos
diagnostics log|log de diagnóstico
Different versions of the same page on different servers are represented by boxes at the bottom right of the screen. You can double click on them to see the different versions, and use the flag icon to fork if you prefer that version|Versões diferentes da mesma página em servidores diferentes são representadas por caixas na parte inferior direita da tela. Você pode clicar duas vezes sobre eles para ver as diferentes versões, e usar o ícone de bandeira para bifurcar se você preferir essa versão
Disk I/O Speed|Velocidade de E / S de Disco
Disk space used|Espaço em disco usado
DNS setup|Configuração de DNS
Domain/User Blocking|Bloqueio de domínio / usuário
Domain:|Domínio:
Domain|Domínio
Dutch|holandês
