About|Около
Accept|принимать
Accounts software can often be quite complex, and so you'll probably want to refer to the official documentation (https://akaunting.com/docs) for details.|Программное обеспечение учетных записей часто может быть довольно сложным, поэтому вы, вероятно, захотите обратиться к официальной документации (https://akaunting.com/docs) для получения дополнительной информации.
Add|Добавить
New Member|Добавить нового пользователя
Add custom emoji|Добавить пользовательские эможи
Add mp3 or ogg files to a USB drive|Добавить mp3 или ogg-файлы на USB-накопитель
Add the following to your Emacs configuration file:|Добавьте в конфигурационный файл Emacs следующее:
Add the Syncthing IDs for your other systems and devices here|Добавьте идентификаторы синхронизации для других систем и устройств здесь.
Add your dat links below|Добавьте свои ссылки dat ниже
Add your RSS feeds here. Each line should be [title],[feed URL]|Добавьте сюда свои RSS-каналы. Каждая строка должна быть [title], [feed URL]
Adding music|Добавление музыки
Afrikaans|африкаанс
Akaunting|Akaunting
Albanian|албанский
Allow new registrations|Разрешить новые регистрации
An upgrade is scheduled|Планируется обновление
App is being removed|Приложение удаляется
App is scheduled to be installed|Планируется, что приложение будет установлено
Apps|Программы
Arabic|арабский
Backup|Резервное копирование
Backup / Restore|Восстановления резервной копии
Backup drive space used|Используемое пространство для резервного копирования
Backup has failed|Ошибка резервного копирования
Backup in progress|Выполняется резервное копирование
Backup is complete|Резервирование завершено
Backup of keys failed|Не удалось выполнить резервное копирование ключей
Backup of keys is complete|Резервное копирование ключей завершено
Backup your keys now?|Теперь резервное копирование ключей?
Basque|баскский
Beginning app install|Начало установки приложения
Beginning removal of app|Начало удаления приложения
Belarusian|Белорусский
Bosnian|боснийский
Bulgarian|болгарский
Cancel|Отмена
Catalan|каталонский
Chat system|Система чата
Chinese (Simplified)|Китайский упрощенный)
Chinese (Traditional)|Китайский традиционный)
Choose the language that you wish to translate from the list.|Выберите язык, который вы хотите перевести из списка.
Choose your language|Выберите ваш язык
Classic chat system|Классическая чат-система
Click close and then connect.|Нажмите «Закрыть» и затем подключитесь.
Click on "add new" to add a new server and enter the domain name or onion address for the LibreServer, your username (which can be anything) and the VoIP server password which is the same as the password you set up the box with. Accept the self-signed SSL certificate if you don't have a Let's Encrypt certificate set up for your default domain. You are now ready to chat.|Нажмите «Добавить новое», чтобы добавить новый сервер, и введите имя домена или адрес лука для LibreServer, ваше имя пользователя (которое может быть что угодно) и пароль сервера VoIP, который совпадает с паролем, который вы установили в поле. Примите самоподписанный сертификат SSL, если у вас нет сертификата Let's Encrypt для вашего домена по умолчанию. Теперь вы готовы поболтать.
Click on the lock icon at the bottom of the screen and enter the password. It should then appear unlocked. If you don't unlock then any edits you make won't be saved.|Нажмите на значок замка в нижней части экрана и введите пароль. Затем он должен быть разблокирован. Если вы не разблокируете, любые сделанные вами изменения не будут сохранены.
Collaborative document editor|Редактор совместных документов
Confirm backup password|Подтвердить резервный пароль
Continue|Продолжать
Copy and paste the translations file and select 'update'.|Скопируйте и вставьте файл перевода и выберите «update».
Copy and paste the translations file into your favorite editor.|Скопируйте и вставьте файл перевода в ваш любимый редактор.
Copy and paste this into an email or other messaging app and send it to the LibreServer project.|Скопируйте и вставьте это в электронное письмо или другое приложение для обмена сообщениями и отправьте его в проект LibreServer.
CPU temperature|Температура процессора
CPU usage|использование процессора
Croatian|хорватский
Czech|Чешский
Danish|датский
DAT Server|Сервер DAT
Databaseless blogging|Бесщеточный блог
Databaseless wiki|Databaseless wiki
diagnostics|диагностика
diagnostics log|журнал диагностики
Different versions of the same page on different servers are represented by boxes at the bottom right of the screen. You can double click on them to see the different versions, and use the flag icon to fork if you prefer that version|Различные версии одной и той же страницы на разных серверах представлены блоками в правом нижнем углу экрана. Вы можете дважды щелкнуть по ним, чтобы увидеть разные версии, и использовать значок флага для вилки, если вы предпочитаете эту версию
Disk I/O Speed|Скорость дискового ввода-вывода
Disk space used|Используемое дисковое пространство
DNS setup|Настройка DNS
Domain/User Blocking|Блокирование домена / пользователя
Domain:|Домен:
Domain|Домен
Dutch|Голландский
Dynamic DNS|Динамический DNS
Edit your translations. The structure of this file is very simple. On the left is English text and on the right is translated text, with the vertical line character as a separator.|Отредактируйте свои переводы. Структура этого файла очень проста. Слева находится текст на английском языке, а справа - текст переведенный с символом вертикальной линии в качестве разделителя.
Edit, add or remove blocked domains or users. This applies to Email and XMPP addresses|Редактировать, добавлять или удалять заблокированные домены или пользователей. Это относится к адресам электронной почты и XMPP
Edith enable login|Эдит разрешить логин
Email system|Система электронной почты
Email/XMPP: USEREMAIL|Электронная почта / XMPP: USEREMAIL
Enable access via secure shell?|Включить доступ через защищенную оболочку?
Enable Updates|Включить обновления
English|английский
English (US)|Английский (США)
Ensure that dat files are always available|Убедитесь, что файлы данных всегда доступны.
Ensure that tor is installed onto your local system:|Убедитесь, что tor установлен на вашу локальную систему:
Enter a label (which can be any name you choose for the server), the default domain name of the LibreServer or preferably the mumble onion address, your username (which can also be anything) and the mumble password which is the same as the one you originally set up the box with. Leave the port number unchanged.|Введите метку (которая может быть любым именем, которое вы выбрали для сервера), доменное имя LibreServer по умолчанию или, предпочтительно, адрес лука, имя пользователя (которое также может быть любым) и пароль mumble, который совпадает с именем вы сперва установили коробку с. Оставьте номер порта неизменным.
Enter a password which will be used to protect the backup|Введите пароль, который будет использоваться для защиты резервной копии.
Enter first and second nicknames and check connect to this network on startup.|Введите первое и второе псевдонимы и проверьте подключение к этой сети при запуске.
Estonian|эстонский
Everything installed will be lost|Все установленное будет потеряно
Extremely simple note taking|Чрезвычайно простое замещение
Factory reset is in progress|Выполняется заводская перезагрузка
Farsi|фарси
Favicon|Favicon
Federated image sharing|Совместное использование изображений
Federated microblogging|Федеративные микроблоггинга
Federated social network|Федеративная социальная сеть
Federated wiki|Случайная статья
File storage and sync|Файловое хранилище и синхронизация
File synchronization|Синхронизация файлов
Filipino|Филиппинский
Finnish|финский
First ensure that tor is installed. Within a terminal:|Сначала убедитесь, что тор установлен. В пределах терминала:
For details see the diagnostics|Подробнее см. Диагностику
For details see:|Подробнее см .:
For further information see the website at https://libreserver.org|Дополнительную информацию см. На веб-сайте https://libreserver.org.
For the initial login use username: admin password admin|Для первого входа используйте имя пользователя: admin password admin
For the Jabber ID enter the email address from your LibreServer user settings|Для Jabber ID введите адрес электронной почты из пользовательских настроек LibreServer
For the password use the password which you initially wrote down or stored during the setup of the LibreServer system|Для пароля используйте пароль, который вы изначально записывали или сохраняли во время установки системы LibreServer
Forward port 80 and 443 from your internet router|Передать порт 80 и 443 с вашего интернет-маршрутизатора
Forward the following ports from your internet router:|Переместите следующие порты с вашего интернет-маршрутизатора:
Forward the port 64738 from your internet router|Передать порт 64738 с вашего интернет-маршрутизатора
Forward the port 6697 from your internet router|Переслать порт 6697 с вашего интернет-маршрутизатора
Forward the port 8448 from your internet router|Переслать порт 8448 с вашего интернет-маршрутизатора
FreeDNS code:|Код FreeDNS:
LibreServer started in 2013. It was initially based on the Beaglebone Black hardware and inspired by the FreedomBox idea of an inexpensive and simple to manage internet server for the home.|LibreServer началась в 2013 году. Первоначально он был основан на оборудовании Beaglebone Black и вдохновлен идеей FreedomBox о недорогой и простой в управлении интернет-сервером для дома.
French|Французский
French (Canada)|Французский (Канада)
From the initial screen select 'settings' then 'language'.|На начальном экране выберите «Настройки», затем «Язык».
From the menu select 'Configure' then 'Settings'. Select the 'Advanced' checkbox then select 'Network'. Select 'Force TCP mode' and proxy type 'Socks5'. Hostname should be set to 'localhost' and port should be 9050.|В меню выберите «Настроить», затем «Настройки». Установите флажок «Дополнительно» и выберите «Сеть». Выберите «Force TCP mode» и тип прокси-сервера «Socks5». Имя хоста должно быть установлено на «localhost», а порт должен быть 9050.
Gaelic|гаэльский
Gallego|Гальего
Georgian|грузинский
German|Немецкий
German (Personal)|Немецкий (личный)
Git repo management|Управление репутацией Git
Go Back|Возвращаться
Go back to the F-droid initial screen and update the repositories by swiping downwards. You'll see it say "updating repositories". This might take a few minutes.|Вернитесь на начальный экран F-droid и обновите репозитории, развернув их вниз. Вы увидите, что он говорит «обновлять хранилища». Это может занять несколько минут.
Go back to the initial screen of the Conversations app, select the menu again, then 'Manage accounts'. Add an account by selecting the person icon with the plus next to it.|Вернитесь на начальный экран приложения «Разговоры», снова выберите меню, затем «Управление учетными записями». Добавьте учетную запись, выбрав значок человека с плюсом рядом с ним.
Gogs allow new registrations|Гоги разрешают новые регистрации
Greek|греческий
Gujarati|гуджарати
Have you written down or saved the login credentials and removed any backup drives from the system?|Вы записывали или сохраняли учетные данные для входа и удаляли любые резервные диски из системы?
Hebrew|иврит
Help|Помогите
Helps caregivers track sleep, feedings, diaper changes, and tummy time|Помогает воспитателям отслеживать сон, кормление, изменения пеленок и время живота
Helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict babys needs without as much guess work.|Помогает воспитателям отслеживать сон, кормление, изменения подгузников и время живота, чтобы узнать и предсказать потребности малыша без столь же угадывающей работы.
here|Вот
HexChat (formerly XChat) is compatible with proxying via Tor and so provides the best security when connecting to your IRC server. It will allow you to connect to your IRC server's onion address.|HexChat (ранее XChat) совместим с проксированием через Tor и поэтому обеспечивает лучшую безопасность при подключении к вашему IRC-серверу. Он позволит вам подключиться к лучевому адресу вашего IRC-сервера.
Hindi|хинди
How to do translations|Как сделать перевод
Hungarian|Венгерский
Icecast|Icecast
Icecast is quite CPU intensive. For example on an A20 based system it takes about 70% of the CPU resource. This is something to be aware of if you're running multiple apps|Icecast достаточно интенсивен. Например, в системе на основе A20 она занимает около 70% ресурса ЦП. Это то, что нужно знать, если вы используете несколько приложений
Icecast is updating|Icecast обновляет
Icelandic|исландский
Icons on the website and user interfaces are by Rashid Mhar.|Иконки на веб-сайте и пользовательские интерфейсы принадлежат Рашиду Мхару.
If you are an Emacs user then you can also connect to your IRC server via Emacs.|Если вы являетесь пользователем Emacs, вы также можете подключиться к вашему IRC-серверу через Emacs.
If you are using the onion address then use SSL should be unchecked and the transport encryption will be handled via the onion address itself.|Если вы используете луковый адрес, используйте SSL, чтобы он не был отмечен, и шифрование транспорта будет обрабатываться через сам луковый адрес.
If you are using the ordinary domain name (clearnet/ICANN) then make sure that Use SSL is checked.|Если вы используете обычное доменное имя (clearnet / ICANN), убедитесь, что флажок Использовать SSL.
If you don't have a domain then just select Continue|Если у вас нет домена, просто выберите «Продолжить»
If you don't have Orbot installed then enable The Guardian Project repository from the drop down menu and install it.|Если у вас нет установленного Orbot, включите репозиторий Project Guardian из выпадающего меню и установите его.
If you don't need a password then just leave this blank and select Update|Если вам не нужен пароль, просто оставьте это поле пустым и выберите «Обновить».
If you have a USB plugged in leave it inserted until you can confirm that the stream is working|Если у вас вставлен USB-разъем, он будет вставлен до тех пор, пока вы не сможете подтвердить, что поток работает
If you have trouble accessing onion addresses paste some Tor bridges below. See https://bridges.torproject.org/bridges|Если у вас есть проблемы с доступом к луковым адресам, вставьте несколько мостов Tor ниже. См. Https://bridges.torproject.org/bridges
If you're using the Element mobile app to access your Matrix homeserver then you can significantly improve battery performance by going to the settings and changing 'Sync request timeout' to 30 seconds and 'Delay between two sync requests' to 600 seconds. Also turning off 'msgs in group chats' will help, since it will avoid getting a notification whenever a group chat event happens, which then wakes up the screen|Если вы используете мобильное приложение Element для доступа к вашему серверу Matrix, вы можете значительно повысить производительность батареи, перейдя к настройкам и изменив «Тайм-аут запроса синхронизации» на 30 секунд и «Задержка между двумя запросами синхронизации» до 600 секунд. Также отключить 'msgs в групповых чатах' поможет, так как он избежит получения уведомлений всякий раз, когда происходит событие группового чата, которое затем пробуждает экран
If your translations are accepted they will later appear in the upstream project and be usable by anyone.|Если ваши переводы будут приняты, они позже появятся в проекте вверх и могут быть использованы кем угодно.
Import|Импортировать
In a Tor browser navigate to the onion address for Icecast and you can then play the stream|В браузере Tor перейдите к луковому адресу для Icecast, и затем вы можете воспроизвести поток
Indonesian|индонезийский
Initial login|Начальный логин
Initial Setup|Начальная настройка
Install|устанавливать
Install APPNAME now?|Установить APPNAME сейчас?
Install F-Droid|Установить F-Droid
Install HexChat and set up its configuration file. Assuming that you're running on a Debian or Arch based distro, this can be done on your local machine with:|Установите HexChat и настройте файл конфигурации. Предполагая, что вы работаете на дистрибутиве Debian или Arch, это можно сделать на вашей локальной машине с помощью:
Installation|Монтаж
Installing in Emacs|Установка в Emacs
Installing on Desktop|Установка на рабочий стол
Invalid Password|Неверный пароль
IRC|IRC
IRC is useful for multi-user chat. The classic use case is for software development where many engineers might need to coordinate their activities, but it's also useful for meetings, parties and general socialising.|IRC полезен для многопользовательского чата. Классический вариант использования - для разработки программного обеспечения, где многим инженерам может понадобиться координировать свою деятельность, но это также полезно для встреч, вечеринок и общего общения.
It can be shown using the command:|Его можно показать с помощью команды:
It's possible to add jingles which will be played between tracks at random intervals. If some of the audio files on your USB drive are named jingle_something.mp3 then they will be used as jingles|Можно добавить джинглы, которые будут воспроизводиться между дорожками в произвольные интервалы. Если некоторые аудиофайлы на вашем USB-накопителе называются jingle_something.mp3, то они будут использоваться как джинглы
It's recommended that you add an SRV record for Matrix to your DNS setup. How you do this will depend upon your dynamic DNS provider and their web interface. On FreeDNS on the subdomains settings in addition to the subdomain which you are using for the matrix server create an extra entry as follows:|Рекомендуется добавить SRV-запись для Matrix к настройке DNS. Как вы это сделаете, это будет зависеть от вашего динамического провайдера DNS и их веб-интерфейса. В FreeDNS на настройках поддоменов в дополнение к субдомену, который вы используете для сервера матрицы, создайте дополнительную запись следующим образом:
Italian|итальянский
Japanese|Японский
Jingles|Jingles
Kannada|каннада
