About|Handla om
Accept|Acceptera
Accounts software can often be quite complex, and so you'll probably want to refer to the official documentation (https://akaunting.com/docs) for details.|Kontoprogramvaran kan ofta vara ganska komplex, och så ska du noga referera till den officiella dokumentationen (https://akaunting.com/docs) för detaljer.
Add|Lägg till
New Member|Lägg till en ny användare
Add custom emoji|Lägg till anpassad emoji
Add mp3 or ogg files to a USB drive|Lägg till mp3 eller ogg filer till en USB-enhet
Add the following to your Emacs configuration file:|Lägg till följande i din Emacs konfigurationsfil:
Add the Syncthing IDs for your other systems and devices here|Lägg till Syncthing ID-numren för dina andra system och enheter här
Add your dat links below|Lägg till dina datalänkar nedan
Add your RSS feeds here. Each line should be [title],[feed URL]|Lägg till dina RSS-flöden här. Varje rad ska vara [title], [feed URL]
Adding music|Lägger till musik
Afrikaans|afrikaans
Akaunting|Akaunting
Albanian|albansk
Allow new registrations|Tillåt nya registreringar
An upgrade is scheduled|En uppgradering är planerad
App is being removed|Appen tas bort
App is scheduled to be installed|Appen är planerad att installeras
Apps|Apps
Arabic|arabiska
Backup|Säkerhetskopiering
Backup / Restore|Säkerhetskopiering / återställning
Backup drive space used|Användningsområde för säkerhetskopiering
Backup has failed|Säkerhetskopiering har misslyckats
Backup in progress|Säkerhetskopiering pågår
Backup is complete|Säkerhetskopiering är klar
Backup of keys failed|Säkerhetskopiering av nycklar misslyckades
Backup of keys is complete|Säkerhetskopiering av nycklar är komplett
Backup your keys now?|Säkerhetskopiera dina nycklar nu?
Basque|baskiska
Beginning app install|Börjar appinstallation
Beginning removal of app|Börjar borttagning av app
Belarusian|vitryska
Bosnian|bosnisk
Bulgarian|bulgarisk
Cancel|Annullera
Catalan|katalansk
Chat system|Chatt system
Chinese (Simplified)|Förenklad kinesiska)
Chinese (Traditional)|Traditionell Kinesisk)
Choose the language that you wish to translate from the list.|Välj det språk du vill översätta från listan.
Choose your language|Välj ditt språk
Classic chat system|Klassiskt chatt system
Click close and then connect.|Klicka på stäng och anslut sedan.
Click on "add new" to add a new server and enter the domain name or onion address for the LibreServer, your username (which can be anything) and the VoIP server password which is the same as the password you set up the box with. Accept the self-signed SSL certificate if you don't have a Let's Encrypt certificate set up for your default domain. You are now ready to chat.|Klicka på "Lägg till nytt" för att lägga till en ny server och ange domännamnet eller lökadressen för LibreServer, ditt användarnamn (vilket kan vara vad som helst) och VoIP-serverns lösenord som är samma som lösenordet du skapade rutan med. Acceptera det självsignerade SSL-certifikatet om du inte har ett Låt oss kryptera certifikat inställt för din standarddomän. Du är nu redo att chatta.
Click on the lock icon at the bottom of the screen and enter the password. It should then appear unlocked. If you don't unlock then any edits you make won't be saved.|Klicka på låsikonen längst ned på skärmen och ange lösenordet. Det ska då visas upplåst. Om du inte låser upp så sparas inga ändringar som du gör.
Collaborative document editor|Samarbete dokumentredigerare
Confirm backup password|Bekräfta backup lösenord
Continue|Fortsätta
Copy and paste the translations file and select 'update'.|Kopiera och klistra in översättningsfilen och välj "uppdatera".
Copy and paste the translations file into your favorite editor.|Kopiera och klistra in översättningsfilen till din favoritredigerare.
Copy and paste this into an email or other messaging app and send it to the LibreServer project.|Kopiera och klistra in det här i en e-post eller annan meddelandeprogram och skicka den till LibreServer-projektet.
CPU temperature|CPU-temperatur
CPU usage|CPU-användning
Croatian|Kroatisk
Czech|tjeck
Danish|danska
DAT Server|DAT Server
Databaseless blogging|Databaslös bloggning
Databaseless wiki|Databaslös wiki
diagnostics|diagnostik
diagnostics log|diagnostik logg
Different versions of the same page on different servers are represented by boxes at the bottom right of the screen. You can double click on them to see the different versions, and use the flag icon to fork if you prefer that version|Olika versioner av samma sida på olika servrar representeras av rutor längst ned till höger på skärmen. Du kan dubbelklicka på dem för att se de olika versionerna och använda flaggikonen för att gaffla om du föredrar den versionen
Disk I/O Speed|Disk I / O-hastighet
Disk space used|Diskutrymme som används
DNS setup|DNS-inställning
Domain/User Blocking|Domän / Användarblockering
Domain:|Domän:
Domain|Domän
Dutch|holländska
Dynamic DNS|Dynamisk DNS
Edit your translations. The structure of this file is very simple. On the left is English text and on the right is translated text, with the vertical line character as a separator.|Redigera dina översättningar. Strukturen för den här filen är väldigt enkel. Till vänster finns engelsk text och till höger är översatt text, med den vertikala linjekarakteren som en separator.
Edit, add or remove blocked domains or users. This applies to Email and XMPP addresses|Redigera, lägg till eller ta bort blockerade domäner eller användare. Detta gäller adresser för e-post och XMPP
Edith enable login|Edith aktivera inloggning
Email system|E-postsystem
Email/XMPP: USEREMAIL|E-post / XMPP: USEREMAIL
Enable access via secure shell?|Aktivera åtkomst via säkert skal?
Enable Updates|Aktivera uppdateringar
English|engelsk
English (US)|Engelska oss)
Ensure that dat files are always available|Se till att datfiler alltid är tillgängliga
Ensure that tor is installed onto your local system:|Se till att tor är installerad på ditt lokala system:
Enter a label (which can be any name you choose for the server), the default domain name of the LibreServer or preferably the mumble onion address, your username (which can also be anything) and the mumble password which is the same as the one you originally set up the box with. Leave the port number unchanged.|Ange en etikett (vilket kan vara vilket namn du väljer för servern), LibreServers standard domännamn eller helst mumble lökadressen, ditt användarnamn (vilket också kan vara något) och mumble lösenordet som är detsamma som det du ställa upp rutan med. Lämna portnumret oförändrat.
Enter a password which will be used to protect the backup|Ange ett lösenord som ska användas för att skydda säkerhetskopian
Enter first and second nicknames and check connect to this network on startup.|Ange första och andra smeknamn och kontrollera anslutningen till det här nätverket vid uppstart.
Estonian|estniska
Everything installed will be lost|Allt installerat kommer att gå vilse
Extremely simple note taking|Extremt enkel notering
Factory reset is in progress|Fabriksåterställning pågår
Farsi|Persiska
Favicon|favicon
Federated image sharing|Federated bilddelning
Federated microblogging|Federated microblogging
Federated social network|Federated social network
Federated wiki|Federated wiki
File storage and sync|Fillagring och synkronisering
File synchronization|Filsynkronisering
Filipino|Filippinare
Finnish|finsk
First ensure that tor is installed. Within a terminal:|Kontrollera först att tor är installerad. Inom en terminal:
For details see the diagnostics|Mer information finns i diagnostiken
For details see:|För detaljer se:
For further information see the website at https://libreserver.org|För ytterligare information se webbplatsen på https://libreserver.org
For the initial login use username: admin password admin|För den inledande inloggningen använd användarnamn: admin lösenord admin
For the Jabber ID enter the email address from your LibreServer user settings|För Jabber ID anger du e-postadressen från dina LibreServer användarinställningar
For the password use the password which you initially wrote down or stored during the setup of the LibreServer system|För lösenordet använd det lösenord som du ursprungligen skrev ner eller lagrade under installationen av LibreServer-systemet
Forward port 80 and 443 from your internet router|Framåtport 80 och 443 från din internetrouter
Forward the following ports from your internet router:|Vidarebefordra följande portar från din internetrouter:
Forward the port 64738 from your internet router|Vidarebefordra porten 64738 från din internetrouter
Forward the port 6697 from your internet router|Vidarebefordra porten 6697 från din internetrouter
Forward the port 8448 from your internet router|Vidarebefordra porten 8448 från din internetrouter
FreeDNS code:|FreeDNS-kod:
LibreServer started in 2013. It was initially based on the Beaglebone Black hardware and inspired by the FreedomBox idea of an inexpensive and simple to manage internet server for the home.|LibreServer startade 2013. Det var ursprungligen baserat på Beaglebone Black-hårdvaran och inspirerad av FreedomBox-idén om en billig och enkel hantering av internet-servern för hemmet.
French|franska
French (Canada)|Franska (canada)
From the initial screen select 'settings' then 'language'.|Från startskärmen välj "inställningar" och sedan "språk".
From the menu select 'Configure' then 'Settings'. Select the 'Advanced' checkbox then select 'Network'. Select 'Force TCP mode' and proxy type 'Socks5'. Hostname should be set to 'localhost' and port should be 9050.|Från menyn välj "Konfigurera" och sedan "Inställningar". Markera kryssrutan "Avancerad" och välj sedan "Nätverk". Välj "Tvinga TCP-läge" och proxy-typ "Socks5". Värdnamn bör ställas till "localhost" och porten ska vara 9050.
Gaelic|gaelisk
Gallego|Gallego
Georgian|georgiansk
German|tysk
German (Personal)|Tyska (personliga)
Git repo management|Git repo management
Go Back|Gå tillbaka
Go back to the F-droid initial screen and update the repositories by swiping downwards. You'll see it say "updating repositories". This might take a few minutes.|Gå tillbaka till F-Droid-startskärmen och uppdatera förvaret genom att svepa neråt. Du ser det säga "uppdatering av repositories". Det kan ta några minuter.
Go back to the initial screen of the Conversations app, select the menu again, then 'Manage accounts'. Add an account by selecting the person icon with the plus next to it.|Gå tillbaka till startskärmen i Conversations-appen, välj menyn igen och sedan "Hantera konton". Lägg till ett konto genom att välja personikonen med pluset bredvid det.
Gitea allow new registrations|Gitea tillåter nya registreringar
Greek|grekisk
Gujarati|gujarati
Have you written down or saved the login credentials and removed any backup drives from the system?|Har du skrivit ner eller sparat inloggningsuppgifterna och tagit bort eventuella säkerhetskopior från systemet?
Hebrew|hebreiska
Help|Hjälp
Helps caregivers track sleep, feedings, diaper changes, and tummy time|Hjälper vårdgivare att spåra sömn, matningar, blöjaförändringar och magetid
Helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict babys needs without as much guess work.|Hjälper vårdgivare att spåra sömn, matningar, blöjaförändringar och magetid för att lära sig och förutse babys behov utan lika mycket gissningsarbete.
here|här
HexChat (formerly XChat) is compatible with proxying via Tor and so provides the best security when connecting to your IRC server. It will allow you to connect to your IRC server's onion address.|HexChat (tidigare XChat) är kompatibel med proxying via Tor och ger den bästa säkerheten när du ansluter till din IRC-server. Det låter dig ansluta till din IRC-server lökadress.
Hindi|hindi
How to do translations|Hur man gör översättningar
Hungarian|ungerska
Icecast|Icecast
Icecast is quite CPU intensive. For example on an A20 based system it takes about 70% of the CPU resource. This is something to be aware of if you're running multiple apps|Icecast är ganska CPU-intensiv. Till exempel på ett A20-baserat system tar det cirka 70% av CPU-resursen. Det här är något att vara medveten om om du kör flera appar
Icecast is updating|Icecast uppdateras
Icelandic|isländsk
Icons on the website and user interfaces are by Rashid Mhar.|Ikoner på webbplatsen och användargränssnitt är av Rashid Mhar.
If you are an Emacs user then you can also connect to your IRC server via Emacs.|Om du är en Emacs-användare kan du också ansluta till din IRC-server via Emacs.
If you are using the onion address then use SSL should be unchecked and the transport encryption will be handled via the onion address itself.|Om du använder lökadressen, använd SSL bör avmarkeras och transportkryptering hanteras via lökadressen själv.
If you are using the ordinary domain name (clearnet/ICANN) then make sure that Use SSL is checked.|Om du använder det vanliga domännamnet (clearnet / ICANN) ska du se till att Använd SSL är markerad.
If you don't have a domain then just select Continue|Om du inte har en domän väljer du bara Fortsätt
If you don't have Orbot installed then enable The Guardian Project repository from the drop down menu and install it.|Om du inte har Orbot installerat, aktivera The Guardian Project-förvaret från rullgardinsmenyn och installera det.
If you don't need a password then just leave this blank and select Update|Om du inte behöver ett lösenord lämna det här tomt och välj Uppdatera
If you have a USB plugged in leave it inserted until you can confirm that the stream is working|Om du har en USB-ansluten, lämna den tills den kan bekräfta att strömmen fungerar
If you have trouble accessing onion addresses paste some Tor bridges below. See https://bridges.torproject.org/bridges|Om du har problem med att komma åt lökadresser klistra in några Tor-broar nedan. Se https://bridges.torproject.org/bridges
If you're using the Element mobile app to access your Matrix homeserver then you can significantly improve battery performance by going to the settings and changing 'Sync request timeout' to 30 seconds and 'Delay between two sync requests' to 600 seconds. Also turning off 'msgs in group chats' will help, since it will avoid getting a notification whenever a group chat event happens, which then wakes up the screen|Om du använder mobilappen Element för att komma åt din Matrix homeserver kan du förbättra batteriets prestanda avsevärt genom att gå till inställningarna och ändra "Synkroniseringsförfrågan timeout" till 30 sekunder och "Fördröj mellan två synkroniseringsförfrågningar" till 600 sekunder. Om du också stänger av "msgs i gruppchattar" kommer det att hjälpa, eftersom det kommer att undvika att få ett meddelande när en gruppchatthändelse händer, vilken då väcker skärmen
If your translations are accepted they will later appear in the upstream project and be usable by anyone.|Om dina översättningar accepteras kommer de senare att visas i projektet uppströms och kan användas av någon.
Import|Importera
In a Tor browser navigate to the onion address for Icecast and you can then play the stream|I en Tor-webbläsare navigera till lökadressen för Icecast och du kan sedan spela strömmen
Indonesian|indonesisk
Initial login|Initial login
Initial Setup|Första installationen
Install|Installera
Install APPNAME now?|Installera APPNAME nu?
Install F-Droid|Installera F-Droid
Install HexChat and set up its configuration file. Assuming that you're running on a Debian or Arch based distro, this can be done on your local machine with:|Installera HexChat och konfigurera konfigurationsfilen. Om du antar att du kör på Debian eller Arch-baserad distro kan detta göras på din lokala maskin med:
Installation|Installation
Installing in Emacs|Installera i Emacs
Installing on Desktop|Installera på skrivbordet
Invalid Password|felaktigt lösenord
IRC|IRC
IRC is useful for multi-user chat. The classic use case is for software development where many engineers might need to coordinate their activities, but it's also useful for meetings, parties and general socialising.|IRC är användbar för flera användare chatt. Det klassiska användarfallet är för mjukvaruutveckling där många ingenjörer kan behöva samordna sina aktiviteter, men det är också användbart för möten, fester och allmän socialisering.
It can be shown using the command:|Det kan visas med kommandot:
