About|hakkında
Accept|Kabul etmek
Accounts software can often be quite complex, and so you'll probably want to refer to the official documentation (https://akaunting.com/docs) for details.|Hesaplar yazılımı genellikle oldukça karmaşık olabilir ve bu nedenle ayrıntılar için muhtemelen resmi belgelere (https://akaunting.com/docs) başvurmak isteyeceksiniz.
Add|Eklemek
New Member|Yeni kullanıcı ekle
Add custom emoji|Özel emoji ekle
Add mp3 or ogg files to a USB drive|USB sürücüsüne mp3 veya ogg dosyaları ekle
Add the following to your Emacs configuration file:|Emacs yapılandırma dosyanıza aşağıdakileri ekleyin:
Add the Syncthing IDs for your other systems and devices here|Diğer sistemleriniz ve cihazlarınız için Senkronizasyon kimliklerini buraya ekleyin
Add your dat links below|Aşağıda dat bağlantılarınızı ekleyin
Add your RSS feeds here. Each line should be [title],[feed URL]|RSS akışlarınızı buraya ekleyin. Her satır [başlık], [feed URL] olmalıdır
Adding music|Müzik ekleme
Afrikaans|Afrikaans
Akaunting|Akaunting
Albanian|Arnavut
Allow new registrations|Yeni kayıtlara izin ver
An upgrade is scheduled|Bir yükseltme planlandı
App is being removed|Uygulama kaldırılıyor
App is scheduled to be installed|Uygulama yüklenecek şekilde planlandı
Apps|Uygulamalar
Arabic|Arapça
Backup|yedek
Backup / Restore|Yedekleme / Geri Yükleme
Backup drive space used|Yedek sürücü alanı kullanıldı
Backup has failed|Yedekleme başarısız oldu
Backup in progress|Yedekleme devam ediyor
Backup is complete|Yedekleme tamamlandı
Backup of keys failed|Anahtarların yedeklenmesi başarısız oldu
Backup of keys is complete|Anahtarların yedeklenmesi tamamlandı
Backup your keys now?|Anahtarlarınızı şimdi mi yedekleyin?
Basque|Bask
Beginning app install|Uygulama yükleme başlangıç
Beginning removal of app|Uygulamanın kaldırılmasının başlaması
Belarusian|Beyaz Rusça
Bosnian|Boşnakça
Bulgarian|Bulgar
Cancel|İptal etmek
Catalan|Katalan
Chat system|Sohbet sistemi
Chinese (Simplified)|Basitleştirilmiş Çince)
Chinese (Traditional)|Çin geleneği)
Choose the language that you wish to translate from the list.|Listeden çevirmek istediğiniz dili seçin.
Choose your language|Dilinizi seçin
Classic chat system|Klasik sohbet sistemi
Click close and then connect.|Kapat'a tıklayın ve sonra bağlanın.
Click on "add new" to add a new server and enter the domain name or onion address for the LibreServer, your username (which can be anything) and the VoIP server password which is the same as the password you set up the box with. Accept the self-signed SSL certificate if you don't have a Let's Encrypt certificate set up for your default domain. You are now ready to chat.|Yeni bir sunucu eklemek için "yeni ekle" ye tıklayın ve LibreServer için alan adı veya soğan adresini, kullanıcı adınızı (herhangi bir şey olabilir) ve kutuyu oluşturduğunuz parola ile aynı olan VoIP sunucu parolasını girin. Varsayılan etki alanınız için ayarlanmış bir Let's Encrypt sertifikanız yoksa, kendinden imzalı SSL sertifikasını kabul edin. Artık sohbet etmeye hazırsınız.
Click on the lock icon at the bottom of the screen and enter the password. It should then appear unlocked. If you don't unlock then any edits you make won't be saved.|Ekranın altındaki kilit simgesine tıklayın ve şifreyi girin. Daha sonra kilidi açılmalıdır. Kilidini açmazsanız yaptığınız düzenlemeler kaydedilmez.
Collaborative document editor|İşbirliği belge editörü
Confirm backup password|Yedekleme şifresini onayla
Continue|Devam et
Copy and paste the translations file and select 'update'.|Çeviri dosyasını kopyalayıp yapıştırın ve 'güncelle' seçeneğini seçin.
Copy and paste the translations file into your favorite editor.|Çeviri dosyasını en sevdiğiniz editöre kopyalayıp yapıştırın.
Copy and paste this into an email or other messaging app and send it to the LibreServer project.|Bunu bir e-postaya veya başka bir mesajlaşma uygulamasına kopyalayıp yapıştırın ve LibreServer projesine gönderin.
CPU temperature|CPU sıcaklığı
CPU usage|CPU kullanımı
Croatian|Hırvat
Czech|Çek
Danish|Danimarkalı
DAT Server|DAT Sunucusu
Databaseless blogging|Veritabanında bloglama
Databaseless wiki|Databaseless wiki
diagnostics|tanılama
diagnostics log|tanılama günlüğü
Different versions of the same page on different servers are represented by boxes at the bottom right of the screen. You can double click on them to see the different versions, and use the flag icon to fork if you prefer that version|Aynı sayfanın farklı sunuculardaki farklı sürümleri, ekranın sağ alt köşesindeki kutular ile temsil edilir. Farklı sürümleri görmek için bunlara çift tıklayabilir ve bu sürümü tercih ederseniz bayrak simgesini kullanabilirsiniz.
Disk I/O Speed|Disk G / Ç Hızı
Disk space used|Kullanılan disk alanı
DNS setup|DNS kurulumu
Domain/User Blocking|Alan / Kullanıcı Engelleme
Domain:|Alan:
Domain|Alan
Dutch|Flemenkçe
Dynamic DNS|Dinamik DNS
Edit your translations. The structure of this file is very simple. On the left is English text and on the right is translated text, with the vertical line character as a separator.|Çevirilerinizi düzenleyin. Bu dosyanın yapısı çok basit. Solda ingilizce metin ve sağda metin, bir ayırıcı olarak dikey çizgi karakteri ile çevrilmiştir.
Edit, add or remove blocked domains or users. This applies to Email and XMPP addresses|Engellenen etki alanlarını veya kullanıcıları düzenleyin, ekleyin veya kaldırın. Bu E-posta ve XMPP adresleri için geçerlidir.
Edith enable login|Edith giriş yapabilmek
Email system|E-posta sistemi
Email/XMPP: USEREMAIL|E-posta / XMPP: USEREMAIL
Enable access via secure shell?|Güvenli kabuk yoluyla erişimi etkinleştirin mi?
Enable Updates|Güncellemeleri Etkinleştir
English|ingilizce
English (US)|Amerikan ingilizcesi)
Ensure that dat files are always available|Dat dosyalarının her zaman mevcut olduğundan emin olun
Ensure that tor is installed onto your local system:|Tor sisteminin yerel sisteminize kurulduğundan emin olun:
Enter a label (which can be any name you choose for the server), the default domain name of the LibreServer or preferably the mumble onion address, your username (which can also be anything) and the mumble password which is the same as the one you originally set up the box with. Leave the port number unchanged.|Bir etiket girin (sunucu için seçtiğiniz herhangi bir isim olabilir), LibreServer'un varsayılan alan adı veya tercihen mumble soğan adresi, kullanıcı adınız (herhangi bir şey de olabilir) ve aynı olan mumble şifresi kutuyu orijinal olarak ayarladınız. Bağlantı noktası numarasını değiştirmeden bırakın.
Enter a password which will be used to protect the backup|Yedeklemeyi korumak için kullanılacak bir şifre girin
Enter first and second nicknames and check connect to this network on startup.|İlk ve ikinci takma adları girin ve başlangıçta bu ağa bağlanmayı kontrol edin.
Estonian|Estonyalı
Everything installed will be lost|Yüklenen her şey kaybolacak
Extremely simple note taking|Son derece basit not alma
Factory reset is in progress|Fabrika ayarlarına sıfırlama işlemi devam ediyor
Farsi|Farsi
Favicon|favicon
Federated image sharing|Birleşik görüntü paylaşımı
Federated microblogging|Federal mikroblog
Federated social network|Birleşik sosyal ağ
Federated wiki|Federasyon wiki
File storage and sync|Dosya depolama ve senkronizasyon
File synchronization|Dosya senkronizasyonu
Filipino|Filipinli
Finnish|Fince
First ensure that tor is installed. Within a terminal:|Önce torun takılı olduğundan emin olun. Bir terminal içinde:
For details see the diagnostics|Ayrıntılar için teşhislere bakın
For details see:|Ayrıntılar için bakınız:
For further information see the website at https://libreserver.org|Daha fazla bilgi için https://libreserver.org adresindeki web sitesine bakınız.
For the initial login use username: admin password admin|İlk giriş için kullanıcı adı: admin password admin
For the Jabber ID enter the email address from your LibreServer user settings|Jabber ID için LibreServer kullanıcı ayarlarınızdan e-posta adresini girin.
For the password use the password which you initially wrote down or stored during the setup of the LibreServer system|Parola için LibreServer sisteminin kurulumu sırasında yazdığınız veya sakladığınız parolayı kullanın.
Forward port 80 and 443 from your internet router|İnternet yönlendiricinizden ileri 80 ve 443 numaralı bağlantı noktası
Forward the following ports from your internet router:|İnternet yönlendiricinizden aşağıdaki portları yönlendirin:
Forward the port 64738 from your internet router|İnternet yönlendiricinizden 64738 numaralı bağlantı noktasını yönlendirin
Forward the port 6697 from your internet router|İnternet yönlendiricinizden 6697 numaralı bağlantı noktasını yönlendirin
