About|Про
Accept|Прийміть
Accounts software can often be quite complex, and so you'll probably want to refer to the official documentation (https://akaunting.com/docs) for details.|Програмне забезпечення для облікових записів часто може бути досить складним, і ви, мабуть, захочете звернутися до офіційної документації (https://akaunting.com/docs) для деталей.
Add|Додати
New Member|Додати нового користувача
Add custom emoji|Додайте спеціальну емодію
Add mp3 or ogg files to a USB drive|Додайте файли mp3 або ogg на USB-накопичувач
Add the following to your Emacs configuration file:|Додайте до вашого файлу конфігурації Emacs наступне:
Add the Syncthing IDs for your other systems and devices here|Тут додайте ідентифікатори синхронізації для інших систем та пристроїв
Add your dat links below|Додайте свої посилання dat внизу
Add your RSS feeds here. Each line should be [title],[feed URL]|Додайте RSS-канали тут. Кожен рядок повинен бути [title], [feed URL]
Adding music|Додавання музики
Afrikaans|Африкаанс
Akaunting|Акаунтінг
Albanian|Албанська
Allow new registrations|Дозволити нові реєстрації
An upgrade is scheduled|Планується оновлення
App is being removed|Програма видаляється
App is scheduled to be installed|Заплановано встановлення додатка
Apps|Додатки
Arabic|Арабська
Backup|Резервне копіювання
Backup / Restore|Резервне копіювання / відновлення
Backup drive space used|Резервне копіювання дискового простору
Backup has failed|Резервне копіювання не відбулося
Backup in progress|Резервне копіювання в процесі
Backup is complete|Резервне копіювання завершено
Backup of keys failed|Резервне копіювання ключів не відбулося
Backup of keys is complete|Резервне копіювання ключів завершено
Backup your keys now?|Резервне копіювання ключів зараз?
Basque|Баскський
Beginning app install|Початок встановлення додатка
Beginning removal of app|Початок видалення програми
Belarusian|Білоруський
Bosnian|Боснійський
Bulgarian|Болгарський
Cancel|Скасувати
Catalan|Каталонська
Chat system|Система чату
Chinese (Simplified)|Китайська (спрощена)
Chinese (Traditional)|Китайський традиційний)
Choose the language that you wish to translate from the list.|Виберіть мову, яку ви хочете перевести зі списку.
Choose your language|Виберіть свою мову
Classic chat system|Класична система чату
Click close and then connect.|Натисніть "Закрити", а потім підключіться.
Click on "add new" to add a new server and enter the domain name or onion address for the LibreServer, your username (which can be anything) and the VoIP server password which is the same as the password you set up the box with. Accept the self-signed SSL certificate if you don't have a Let's Encrypt certificate set up for your default domain. You are now ready to chat.|Клацніть на "add new", щоб додати новий сервер, і введіть ім'я домену або адресу цибулі для LibreServer, ваше ім'я користувача (яке може бути що завгодно) та пароль для VoIP сервера, який є таким самим, як пароль, який ви встановили. Прийміть самопідписаний SSL-сертифікат, якщо у вас немає сертифіката Let's Encrypt для вашого домену за замовчуванням. Тепер ви готові спілкуватися в чаті.
Click on the lock icon at the bottom of the screen and enter the password. It should then appear unlocked. If you don't unlock then any edits you make won't be saved.|Натисніть значок замка в нижній частині екрана та введіть пароль. Потім він повинен з'явитися розблокованим. Якщо ви не розблокуєте, то будь-які внесені вами зміни не будуть збережені.
Collaborative document editor|Редактор спільного документа
Confirm backup password|Підтвердити пароль для резервування
Continue|Продовжуй
Copy and paste the translations file and select 'update'.|Скопіюйте та вставте файл перекладу та виберіть "оновити".
Copy and paste the translations file into your favorite editor.|Скопіюйте та вставте файл перекладу у свій улюблений редактор.
Copy and paste this into an email or other messaging app and send it to the LibreServer project.|Скопіюйте та вставте це в електронний лист або інше додаток для обміну повідомленнями та відправте його в проект LibreServer.
CPU temperature|Температура процесора
CPU usage|Використання процесора
Croatian|Хорватська
Czech|Чеська мова
Danish|Датська мова
DAT Server|DAT-сервер
Databaseless blogging|База даних без ведення блогів
Databaseless wiki|Бездоганна вікі
diagnostics|діагностика
diagnostics log|журнал діагностики
Different versions of the same page on different servers are represented by boxes at the bottom right of the screen. You can double click on them to see the different versions, and use the flag icon to fork if you prefer that version|Різні версії однієї сторінки на різних серверах відображаються у вікнах у нижньому правому куті екрана. Ви можете двічі натиснути на них, щоб побачити різні версії, і використовувати значок прапора у форках, якщо ви віддаєте перевагу цій версії
Disk I/O Speed|Швидкість введення / виводу диска
Disk space used|Використовується дисковий простір
DNS setup|Налаштування DNS
Domain/User Blocking|Домен / Блокування користувача
Domain:|Область:
Domain|Область
Dutch|Голландський
Dynamic DNS|Динамічний DNS
Edit your translations. The structure of this file is very simple. On the left is English text and on the right is translated text, with the vertical line character as a separator.|Відредагуйте свої переклади. Структура цього файлу дуже проста. Зліва англійський текст, а справа - перекладений текст, з символом вертикальної лінії як роздільник.
Edit, add or remove blocked domains or users. This applies to Email and XMPP addresses|Редагування, додавання або видалення заблокованих доменів або користувачів. Це стосується адрес електронної пошти та XMPP
