About|Trong khoảng
Accept|Chấp nhận
Accounts software can often be quite complex, and so you'll probably want to refer to the official documentation (https://akaunting.com/docs) for details.|Phần mềm tài khoản thường có thể khá phức tạp và vì vậy bạn có thể muốn tham khảo tài liệu chính thức (https://akaunting.com/docs) để biết chi tiết.
Add|Thêm vào
New Member|Thêm người dùng mới
Add custom emoji|Thêm biểu tượng cảm xúc tùy chỉnh
Add mp3 or ogg files to a USB drive|Thêm tệp mp3 hoặc ogg vào ổ USB
Add the following to your Emacs configuration file:|Thêm phần sau vào tệp cấu hình Emacs của bạn:
Add the Syncthing IDs for your other systems and devices here|Thêm ID Đồng bộ hóa cho các hệ thống và thiết bị khác của bạn tại đây
Add your dat links below|Thêm liên kết dat của bạn bên dưới
Add your RSS feeds here. Each line should be [title],[feed URL]|Thêm nguồn cấp dữ liệu RSS của bạn tại đây. Mỗi dòng phải là [title], [feed URL]
Adding music|Thêm nhạc
Afrikaans|Tiếng Afrikaans
Akaunting|Akaunting
Albanian|Người Albania
Allow new registrations|Cho phép đăng ký mới
An upgrade is scheduled|Nâng cấp được lên lịch
App is being removed|Ứng dụng đang bị xóa
App is scheduled to be installed|Ứng dụng được lên lịch để cài đặt
Apps|Ứng dụng
Arabic|tiếng Ả Rập
Backup|Sao lưu
Backup / Restore|Phục hồi dữ liệu đã lưu
Backup drive space used|Không gian ổ đĩa sao lưu được sử dụng
Backup has failed|Sao lưu không thành công
Backup in progress|Đang tiến hành sao lưu
Backup is complete|Sao lưu hoàn tất
Backup of keys failed|Sao lưu các khóa không thành công
Backup of keys is complete|Sao lưu các khóa đã hoàn tất
Backup your keys now?|Sao lưu các khóa của bạn ngay bây giờ?
Basque|Tiếng Basque
Beginning app install|Bắt đầu cài đặt ứng dụng
Beginning removal of app|Bắt đầu xóa ứng dụng
Belarusian|Tiếng Belarus
Bosnian|Tiếng Bosnia
Bulgarian|Tiếng Bungari
Cancel|Hủy bỏ
Catalan|Tiếng Catalan
Chat system|Hệ thống trò chuyện
Chinese (Simplified)|Tiếng Trung Quốc (Giản thể)
Chinese (Traditional)|Truyền thống Trung Hoa)
Choose the language that you wish to translate from the list.|Chọn ngôn ngữ bạn muốn dịch từ danh sách.
Choose your language|Chọn ngôn ngữ của bạn
Classic chat system|Hệ thống trò chuyện cổ điển
Click close and then connect.|Nhấp vào đóng và sau đó kết nối.
Click on "add new" to add a new server and enter the domain name or onion address for the LibreServer, your username (which can be anything) and the VoIP server password which is the same as the password you set up the box with. Accept the self-signed SSL certificate if you don't have a Let's Encrypt certificate set up for your default domain. You are now ready to chat.|Nhấp vào "add new" để thêm một máy chủ mới và nhập tên miền hoặc địa chỉ hành tây cho LibreServer, tên người dùng của bạn (có thể là bất kỳ thứ gì) và mật khẩu máy chủ VoIP giống với mật khẩu bạn thiết lập hộp. Chấp nhận chứng chỉ SSL tự ký nếu bạn không thiết lập chứng chỉ mã hóa cho miền mặc định của mình. Bạn đã sẵn sàng trò chuyện.
Click on the lock icon at the bottom of the screen and enter the password. It should then appear unlocked. If you don't unlock then any edits you make won't be saved.|Nhấp vào biểu tượng khóa ở cuối màn hình và nhập mật khẩu. Sau đó nó sẽ xuất hiện mở khóa. Nếu bạn không mở khóa thì mọi chỉnh sửa bạn thực hiện sẽ không được lưu.
Collaborative document editor|Trình soạn thảo tài liệu cộng tác
Confirm backup password|Xác nhận mật khẩu sao lưu
Continue|Tiếp tục
Copy and paste the translations file and select 'update'.|Sao chép và dán tệp bản dịch và chọn 'cập nhật'.
Copy and paste the translations file into your favorite editor.|Sao chép và dán tệp bản dịch vào trình chỉnh sửa yêu thích của bạn.
Copy and paste this into an email or other messaging app and send it to the LibreServer project.|Sao chép và dán mã này vào email hoặc ứng dụng nhắn tin khác và gửi đến dự án LibreServer.
CPU temperature|Nhiệt độ CPU
CPU usage|Sử dụng CPU
Croatian|Tiếng Croatia
Czech|Tiếng Séc
Danish|người Đan Mạch
DAT Server|Máy chủ DAT
Databaseless blogging|Viết blog không cần thiết
Databaseless wiki|Wiki không cần thiết
diagnostics|chẩn đoán
diagnostics log|nhật ký chẩn đoán
Different versions of the same page on different servers are represented by boxes at the bottom right of the screen. You can double click on them to see the different versions, and use the flag icon to fork if you prefer that version|Các phiên bản khác nhau của cùng một trang trên các máy chủ khác nhau được thể hiện bằng các hộp ở dưới cùng bên phải của màn hình. Bạn có thể nhấp đúp vào chúng để xem các phiên bản khác nhau và sử dụng biểu tượng cờ để ngã ba nếu bạn thích phiên bản đó
Disk I/O Speed|Tốc độ đĩa I / O
Disk space used|Dung lượng đĩa được sử dụng
DNS setup|Thiết lập DNS
Domain/User Blocking|Chặn tên miền / người dùng
Domain:|Miền:
Domain|Miền
Dutch|Người hà lan
Dynamic DNS|Thuốc nổ DNS
Edit your translations. The structure of this file is very simple. On the left is English text and on the right is translated text, with the vertical line character as a separator.|Chỉnh sửa bản dịch của bạn. Cấu trúc của tệp này rất đơn giản. Ở bên trái là văn bản tiếng Anh và bên phải là văn bản được dịch, với ký tự dòng dọc làm dấu phân cách.
Edit, add or remove blocked domains or users. This applies to Email and XMPP addresses|Chỉnh sửa, thêm hoặc xóa tên miền hoặc người dùng bị chặn. Điều này áp dụng cho các địa chỉ Email và XMPP
Edith enable login|Edith cho phép đăng nhập
Email system|Hệ thống email
Email/XMPP: USEREMAIL|Email / XMPP: USEREMAIL
Enable access via secure shell?|Cho phép truy cập thông qua trình bao an toàn?
Enable Updates|Bật Cập nhật
English|Anh
English (US)|Tiếng Anh (Mỹ)
Ensure that dat files are always available|Đảm bảo rằng các tệp tin dat luôn có sẵn
Ensure that tor is installed onto your local system:|Đảm bảo rằng tor được cài đặt vào hệ thống cục bộ của bạn:
Enter a label (which can be any name you choose for the server), the default domain name of the LibreServer or preferably the mumble onion address, your username (which can also be anything) and the mumble password which is the same as the one you originally set up the box with. Leave the port number unchanged.|Nhập một nhãn (có thể là bất kỳ tên nào bạn chọn cho máy chủ), tên miền mặc định của LibreServer hoặc tốt hơn là địa chỉ hành động mumble, tên người dùng của bạn (cũng có thể là bất kỳ thứ gì) và mật khẩu mumble giống như ban đầu bạn thiết lập hộp với. Để lại số cổng không thay đổi.
Enter a password which will be used to protect the backup|Nhập mật khẩu sẽ được sử dụng để bảo vệ bản sao lưu
Enter first and second nicknames and check connect to this network on startup.|Nhập biệt hiệu thứ nhất và thứ hai và kiểm tra kết nối với mạng này khi khởi động.
Estonian|Tiếng Estonia
Everything installed will be lost|Mọi thứ đã cài đặt sẽ bị mất
Extremely simple note taking|Ghi chú cực kỳ đơn giản
Factory reset is in progress|Đang khôi phục cài đặt gốc
Farsi|Farsi
Favicon|Favicon
Federated image sharing|Chia sẻ hình ảnh liên kết
Federated microblogging|Tiểu blog liên kết
Federated social network|Mạng xã hội liên kết
Federated wiki|Liên kết wiki
File storage and sync|Lưu trữ và đồng bộ hóa tệp
File synchronization|Đồng bộ hóa tệp
Filipino|Người Philippines
Finnish|Tiếng Phần Lan
First ensure that tor is installed. Within a terminal:|Trước tiên hãy đảm bảo rằng tor được cài đặt. Trong một thiết bị đầu cuối:
