About|关于
Accept|接受
Accounts software can often be quite complex, and so you'll probably want to refer to the official documentation (https://akaunting.com/docs) for details.|帐户软件通常非常复杂，因此您可能需要参考官方文档（https://akaunting.com/docs）了解详细信息。
Add|加
New Member|添加新用户
Add custom emoji|添加自定义表情符号
Add mp3 or ogg files to a USB drive|将mp3或ogg文件添加到USB驱动器
Add the following to your Emacs configuration file:|将以下内容添加到Emacs配置文件中：
Add the Syncthing IDs for your other systems and devices here|在此处为您的其他系统和设备添加Syncthing ID
Add your dat links below|在下面添加您的数据链接
Add your RSS feeds here. Each line should be [title],[feed URL]|在此处添加RSS源。每行应为[标题]，[提要网址]
Adding music|添加音乐
Afrikaans|南非荷兰语
Akaunting|Akaunting
Albanian|阿尔巴尼亚人
Allow new registrations|允许新注册
An upgrade is scheduled|计划升级
App is being removed|应用程序正在删除
App is scheduled to be installed|计划安装应用程序
Apps|应用
Arabic|阿拉伯
Backup|备用
Backup / Restore|备份/还原
Backup drive space used|使用备份驱动器空间
Backup has failed|备份失败
Backup in progress|正在备份
Backup is complete|备份完成
Backup of keys failed|密钥备份失败
Backup of keys is complete|密钥备份已完成
Backup your keys now?|现在备份你的钥匙？
Basque|巴斯克
Beginning app install|开始应用安装
Beginning removal of app|开始删除应用程序
Belarusian|白俄罗斯
Bosnian|波斯尼亚
Bulgarian|保加利亚语
Cancel|取消
Catalan|加泰罗尼亚
Chat system|聊天系统
Chinese (Simplified)|简体中文）
Chinese (Traditional)|中国传统的）
Choose the language that you wish to translate from the list.|从列表中选择您要翻译的语言。
Choose your language|选择你的语言
Classic chat system|经典聊天系统
Click close and then connect.|单击关闭然后连接。
Click on "add new" to add a new server and enter the domain name or onion address for the LibreServer, your username (which can be anything) and the VoIP server password which is the same as the password you set up the box with. Accept the self-signed SSL certificate if you don't have a Let's Encrypt certificate set up for your default domain. You are now ready to chat.|单击“添加新”以添加新服务器并输入LibreServer的域名或洋葱地址，您的用户名（可以是任何内容）和VoIP服务器密码，该密码与您设置的密码相同。如果您没有为默认域设置Let's Encrypt证书，请接受自签名SSL证书。你现在准备聊天了。
Click on the lock icon at the bottom of the screen and enter the password. It should then appear unlocked. If you don't unlock then any edits you make won't be saved.|单击屏幕底部的锁定图标，然后输入密码。它应该显示为解锁。如果您没有解锁，则不会保存您所做的任何编辑。
Collaborative document editor|协作文档编辑器
Confirm backup password|确认备份密码
Continue|继续
Copy and paste the translations file and select 'update'.|复制并粘贴翻译文件，然后选择“更新”。
Copy and paste the translations file into your favorite editor.|将翻译文件复制并粘贴到您喜欢的编辑器中。
Copy and paste this into an email or other messaging app and send it to the LibreServer project.|将其复制并粘贴到电子邮件或其他消息应用程序中，然后将其发送到LibreServer项目。
CPU temperature|CPU温度
CPU usage|CPU使用率
Croatian|克罗地亚
Czech|捷克
Danish|丹麦
DAT Server|DAT服务器
Databaseless blogging|无数据库博客
Databaseless wiki|无数据库的wiki
diagnostics|诊断
diagnostics log|诊断日志
Different versions of the same page on different servers are represented by boxes at the bottom right of the screen. You can double click on them to see the different versions, and use the flag icon to fork if you prefer that version|不同服务器上同一页面的不同版本由屏幕右下方的框表示。您可以双击它们以查看不同的版本，如果您喜欢该版本，可以使用标志图标进行分叉
Disk I/O Speed|磁盘I / O速度
Disk space used|使用的磁盘空间
DNS setup|DNS设置
Domain/User Blocking|域/用户阻止
Domain:|域：
Domain|域
Dutch|荷兰人
Dynamic DNS|动态DNS
Edit your translations. The structure of this file is very simple. On the left is English text and on the right is translated text, with the vertical line character as a separator.|编辑您的翻译。这个文件的结构非常简单。左侧是英文文本，右侧是翻译文本，垂直线条字符作为分隔符。
Edit, add or remove blocked domains or users. This applies to Email and XMPP addresses|编辑，添加或删除被阻止的域或用户。 这适用于电子邮件和XMPP地址
Edith enable login|Edith启用登录
Email system|电邮系统
Email/XMPP: USEREMAIL|电子邮件/ XMPP：USEREMAIL
Enable access via secure shell?|通过安全shell启用访问？
Enable Updates|启用更新
English|英语
English (US)|英语（美国）
Ensure that dat files are always available|确保dat文件始终可用
Ensure that tor is installed onto your local system:|确保tor已安装到本地系统上：
