About|關於
Accept|接受
Accounts software can often be quite complex, and so you'll probably want to refer to the official documentation (https://akaunting.com/docs) for details.|帳戶軟件通常非常複雜，因此您可能需要參考官方文檔（https://akaunting.com/docs）了解詳細信息。
Add|加
New Member|添加新用戶
Add custom emoji|添加自定義表情符號
Add mp3 or ogg files to a USB drive|將mp3或ogg文件添加到USB驅動器
Add the following to your Emacs configuration file:|將以下內容添加到Emacs配置文件中：
Add the Syncthing IDs for your other systems and devices here|在此處為您的其他系統和設備添加Syncthing ID
Add your dat links below|在下面添加您的數據鏈接
Add your RSS feeds here. Each line should be [title],[feed URL]|在此處添加RSS源。每行應為[標題]，[提要網址]
Adding music|添加音樂
Afrikaans|南非荷蘭語
Akaunting|Akaunting
Albanian|阿爾巴尼亞人
Allow new registrations|允許新註冊
An upgrade is scheduled|計劃升級
App is being removed|應用程序正在刪除
App is scheduled to be installed|計劃安裝應用程序
Apps|應用
Arabic|阿拉伯
Backup|備用
Backup / Restore|備份/還原
Backup drive space used|使用備份驅動器空間
Backup has failed|備份失敗
Backup in progress|正在備份
Backup is complete|備份完成
Backup of keys failed|密鑰備份失敗
Backup of keys is complete|密鑰備份已完成
Backup your keys now?|現在備份你的鑰匙？
Basque|巴斯克
Beginning app install|開始應用安裝
Beginning removal of app|開始刪除應用程序
Belarusian|白俄羅斯
Bosnian|波斯尼亞
Bulgarian|保加利亞語
Cancel|取消
Catalan|加泰羅尼亞
Chat system|聊天系統
Chinese (Simplified)|簡體中文）
Chinese (Traditional)|中國傳統的）
Choose the language that you wish to translate from the list.|從列表中選擇您要翻譯的語言。
Choose your language|選擇你的語言
Classic chat system|經典聊天系統
Click close and then connect.|單擊關閉然後連接。
Click on "add new" to add a new server and enter the domain name or onion address for the LibreServer, your username (which can be anything) and the VoIP server password which is the same as the password you set up the box with. Accept the self-signed SSL certificate if you don't have a Let's Encrypt certificate set up for your default domain. You are now ready to chat.|單擊“添加新”以添加新服務器並輸入LibreServer的域名或洋蔥地址，您的用戶名（可以是任何內容）和VoIP服務器密碼，該密碼與您設置的密碼相同。如果您沒有為默認域設置Let's Encrypt證書，請接受自簽名SSL證書。你現在準備聊天了。
Click on the lock icon at the bottom of the screen and enter the password. It should then appear unlocked. If you don't unlock then any edits you make won't be saved.|單擊屏幕底部的鎖定圖標，然後輸入密碼。它應該顯示為解鎖。如果您沒有解鎖，則不會保存您所做的任何編輯。
Collaborative document editor|協作文檔編輯器
Confirm backup password|確認備份密碼
Continue|繼續
Copy and paste the translations file and select 'update'.|複製並粘貼翻譯文件，然後選擇“更新”。
Copy and paste the translations file into your favorite editor.|將翻譯文件複製並粘貼到您喜歡的編輯器中。
Copy and paste this into an email or other messaging app and send it to the LibreServer project.|將其複制並粘貼到電子郵件或其他消息應用程序中，然後將其發送到LibreServer項目。
CPU temperature|CPU溫度
CPU usage|CPU使用率
Croatian|克羅地亞
Czech|捷克
Danish|丹麥
DAT Server|DAT服務器
Databaseless blogging|無數據庫博客
Databaseless wiki|無數據庫的wiki
diagnostics|診斷
diagnostics log|診斷日誌
Different versions of the same page on different servers are represented by boxes at the bottom right of the screen. You can double click on them to see the different versions, and use the flag icon to fork if you prefer that version|不同服務器上同一頁面的不同版本由屏幕右下方的框表示。您可以雙擊它們以查看不同的版本，如果您喜歡該版本，可以使用標誌圖標進行分叉
Disk I/O Speed|磁盤I / O速度
Disk space used|使用的磁盤空間
DNS setup|DNS設置
Domain/User Blocking|域/用戶阻止
Domain:|域：
Domain|域
Dutch|荷蘭人
Dynamic DNS|動態DNS
Edit your translations. The structure of this file is very simple. On the left is English text and on the right is translated text, with the vertical line character as a separator.|編輯您的翻譯。這個文件的結構非常簡單。左側是英文文本，右側是翻譯文本，垂直線條字符作為分隔符。
Edit, add or remove blocked domains or users. This applies to Email and XMPP addresses|編輯，添加或刪除被阻止的域或用戶。 這適用於電子郵件和XMPP地址
Edith enable login|Edith啟用登錄
Email system|電郵系統
Email/XMPP: USEREMAIL|電子郵件/ XMPP：USEREMAIL
Enable access via secure shell?|通過安全shell啟用訪問？
Enable Updates|啟用更新
English|英語
English (US)|英語（美國）
Ensure that dat files are always available|確保dat文件始終可用
Ensure that tor is installed onto your local system:|確保tor已安裝到本地系統上：
Enter a label (which can be any name you choose for the server), the default domain name of the LibreServer or preferably the mumble onion address, your username (which can also be anything) and the mumble password which is the same as the one you originally set up the box with. Leave the port number unchanged.|輸入一個標籤（可以是您為服務器選擇的任何名稱），LibreServer的默認域名，或者最好是嘟嘟洋蔥地址，您的用戶名（也可以是任何內容）和嘟嘟密碼與該密碼相同你最初設置的盒子。保持端口號不變。
Enter a password which will be used to protect the backup|輸入用於保護備份的密碼
Enter first and second nicknames and check connect to this network on startup.|輸入第一個和第二個暱稱，並在啟動時檢查連接到此網絡。
Estonian|愛沙尼亞語
Everything installed will be lost|安裝的一切都將丟失
Extremely simple note taking|非常簡單的筆記
Factory reset is in progress|恢復出廠設置正在進行中
Farsi|波斯語
Favicon|網站圖標
Federated image sharing|聯合圖像共享
Federated microblogging|聯邦微博
Federated social network|聯邦社交網絡
Federated wiki|聯邦維基
File storage and sync|文件存儲和同步
File synchronization|文件同步
Filipino|菲律賓
Finnish|芬蘭
First ensure that tor is installed. Within a terminal:|首先確保安裝了tor。在終端內：
For details see the diagnostics|有關詳細信息，請參閱診斷
For details see:|詳情見：
For further information see the website at https://libreserver.org|有關詳細信息，請訪問https://libreserver.org網站
For the initial login use username: admin password admin|對於初始登錄，請使用用戶名：admin password admin
For the Jabber ID enter the email address from your LibreServer user settings|對於Jabber ID，請輸入LibreServer用戶設置中的電子郵件地址
For the password use the password which you initially wrote down or stored during the setup of the LibreServer system|對於密碼，請使用最初在LibreServer系統設置期間記下或存儲的密碼
Forward port 80 and 443 from your internet router|從您的互聯網路由器轉發端口80和443
Forward the following ports from your internet router:|從您的互聯網路由器轉發以下端口：
Forward the port 64738 from your internet router|從您的互聯網路由器轉發端口64738
Forward the port 6697 from your internet router|從您的互聯網路由器轉發端口6697
Forward the port 8448 from your internet router|從您的互聯網路由器轉發端口8448
FreeDNS code:|FreeDNS代碼：
LibreServer started in 2013. It was initially based on the Beaglebone Black hardware and inspired by the FreedomBox idea of an inexpensive and simple to manage internet server for the home.|LibreServer始於2013年。它最初基於Beaglebone Black硬件，靈感來自FreedomBox的想法，即為家庭提供廉價且易於管理的互聯網服務器。
French|法國
French (Canada)|法語（加拿大）
From the initial screen select 'settings' then 'language'.|從初始屏幕選擇“設置”，然後選擇“語言”。
From the menu select 'Configure' then 'Settings'. Select the 'Advanced' checkbox then select 'Network'. Select 'Force TCP mode' and proxy type 'Socks5'. Hostname should be set to 'localhost' and port should be 9050.|從菜單中選擇“配置”，然後選擇“設置”。選中“高級”複選框，然後選擇“網絡”。選擇“強制TCP模式”和代理類型“Socks5”。主機名應設置為“localhost”，端口應為9050。
Gaelic|蓋爾
Gallego|加列戈
Georgian|格魯吉亞
German|德語
German (Personal)|德語（個人）
Git repo management|Git回購管理
Go Back|回去
Go back to the F-droid initial screen and update the repositories by swiping downwards. You'll see it say "updating repositories". This might take a few minutes.|返回F-droid初始屏幕並向下滑動以更新存儲庫。你會看到它說“更新存儲庫”。這可能需要幾分鐘時間。
Go back to the initial screen of the Conversations app, select the menu again, then 'Manage accounts'. Add an account by selecting the person icon with the plus next to it.|返回“對話”應用的初始屏幕，再次選擇菜單，然後選擇“管理帳戶”。通過選擇旁邊帶有加號的人員圖標來添加帳戶。
Gogs allow new registrations|Gogs允許新的註冊
Greek|希臘語
Gujarati|古吉拉特語
Have you written down or saved the login credentials and removed any backup drives from the system?|您是否已記下或保存了登錄憑據並從系統中刪除了所有備份驅動器？
Hebrew|希伯來語
Help|幫幫我
Helps caregivers track sleep, feedings, diaper changes, and tummy time|幫助護理人員跟踪睡眠，餵養，尿布變化和肚子時間
Helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict babys needs without as much guess work.|幫助護理人員跟踪睡眠，餵養，尿布變化和肚子時間，以了解和預測寶寶的需求，而無需盡可能多的猜測工作。
here|這裡
HexChat (formerly XChat) is compatible with proxying via Tor and so provides the best security when connecting to your IRC server. It will allow you to connect to your IRC server's onion address.|HexChat（以前稱為XChat）與Tor代理兼容，因此在連接到IRC服務器時提供最佳安全性。它將允許您連接到IRC服務器的洋蔥地址。
Hindi|印地語
How to do translations|怎麼做翻譯
Hungarian|匈牙利
Icecast|的Icecast
Icecast is quite CPU intensive. For example on an A20 based system it takes about 70% of the CPU resource. This is something to be aware of if you're running multiple apps|Icecast非常佔用CPU。例如，在基於A20的系統上，它佔用了大約70％的CPU資源。如果您正在運行多個應用程序，請注意這一點
Icecast is updating|Icecast正在更新
Icelandic|冰島的
Icons on the website and user interfaces are by Rashid Mhar.|網站和用戶界面上的圖標由Rashid Mhar提供。
If you are an Emacs user then you can also connect to your IRC server via Emacs.|如果您是Emacs用戶，則還可以通過Emacs連接到IRC服務器。
If you are using the onion address then use SSL should be unchecked and the transport encryption will be handled via the onion address itself.|如果您正在使用洋蔥地址，則應取消選中使用SSL，並通過洋蔥地址本身處理傳輸加密。
If you are using the ordinary domain name (clearnet/ICANN) then make sure that Use SSL is checked.|如果您使用普通域名（clearnet / ICANN），請確保選中使用SSL。
If you don't have a domain then just select Continue|如果您沒有域，則只需選擇繼續
If you don't have Orbot installed then enable The Guardian Project repository from the drop down menu and install it.|如果您沒有安裝Orbot，請從下拉菜單中啟用Guardian Project存儲庫並進行安裝。
If you don't need a password then just leave this blank and select Update|如果您不需要密碼，請將其留空並選擇更新
If you have a USB plugged in leave it inserted until you can confirm that the stream is working|如果您已插入USB，請將其插入，直到您可以確認該流正常工作
If you have trouble accessing onion addresses paste some Tor bridges below. See https://bridges.torproject.org/bridges|如果您無法訪問洋蔥地址，請在下方粘貼一些Tor橋。請參閱https://bridges.torproject.org/bridges
